"# of Use","# за ползване"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s продукт(а)"
"(Copy data from: %s)","(Копиране на данни от: %s)"
"(Will make search for the query above return results for this search.)","(Ще направи търсене за заявката по горе.)"
"* Required Fields","* Required Fields"
"-- Please Select --","-- Моля изберете --"
"A name is required","Изисква се име"
"ALL GROUPS","Всички групи"
"AM","AM"
"Action","Действие"
"Add Attribute","Добави атрибут"
"Add Design Change","Добави промяна по дизайна"
"Add Group","Добави Група"
"Add Items to Cart","Добавят продукти в кошницата"
"Add New","Добави ново"
"Add New Attribute","Добави нов атрибут"
"Add New Attribute Set","Добави нова група атрибути"
"Add New Group","Добави нова група"
"Add New Images","Добави нови снимки"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add New Search Term","Добавяни нова фраза за търсене"
"Add New Set","Добави нов комплект"
"Add Option","Добави опция"
"Add Product","Добави Продукт"
"Add Product To Websites","Добавяне на продукт към Уебсайтове"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Add Tier","Добави отстъпки за количество"
"Add to Cart","Добави в количката"
"Add to Compare","Добави за сравняване"
"Add to My Wishlist","Добави в Моят списък с желания"
"Add to Wishlist","Добави към списък с желания"
"Additional Information","Допълнителна информация"
"All","Всички"
"All Product Types","Всички видове продукти"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"Apply To","Приложи за"
"Apply To Configurable/Grouped Product","Приложи към Конфигурируем/Групиран Продукт"
"Approved","Одобрени"
"Are you sure you want to delete this category?","Сигурни ли сте, че искате да изтриете тази категория?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","Сигурни ли сте, че искате да премахнете този продукт от листа за сравнение?"
"Are you sure?","Сигурни ли сте?"
"As low as:","Ниско колкото:"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","Асоциирани продукти"
"Attrib. Set Name","Име на комплекта атрибути"
"Attribute Code","Код на атрибут"
"Attribute Information","Атрибути Информация"
"Attribute Label","Етикет за атрибути"
"Attribute Model","Модел за атрибути"
"Attribute Name:","Име на атрибута:"
"Attribute Properties","Свойства на атрибута"
"Attribute Set","Комплект атрибути"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","Модела за атрибути не е определен"
"Attribute with the same code already exists","Атрибутът е със същия код вече съществува"
"Attributes","Атрибути"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Генерирай автоматично"
"Availability","Availability"
"Availability: In stock.","Наличност: На склад."
"Availability: Out of stock.","Наличност: Изчерпана."
"Back","Назад"
"Backend Model","Бекенд Модел"
"Backend Table","Бекенд Таблица"
"Backend Table Title","Заглавие на бекенд таблица"
"Backorders","Предишни поръчки"
"Base directory to upload image file is not specified","Главната директория за качване на изображение не е указана"
"Based On","Базирано на"
"Best Value","Най-добра цена"
"Block after Info Column","Block after Info Column"
"Bottom/Left","Най-долу / ляво"
"Bottom/Right","Най-долу / дясно"
"Browse By","Преглед на"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Can be used only with catalog input type Dropdown","Може да бъде използван само с каталог тип падащо меню"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Може да бъде използван само с каталог тип падащо меню, множествен избор и цена"
"Can't create image.","Can't create image."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","Атрибут на артикул в количката"
"Catalog","Каталог"
"Catalog Input Type for Store Owner","Тип вход за собственик на магазина"
"Catalog Price Scope","Обхват на каталог цени"
"Catalog Section","Catalog Section"
"Catalog, Search","Каталог, Търсене"
"Categories","Категории"
"Categories Sitemap","Категории Карта на сайта"
"Category","Категория"
"Category API","Category API"
"Category Data","Данни на категория"
"Category Navigation:","Категория Навигация:"
"Category Products","Категория Продукти"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category delete error","Грешка при изтриване на категория"
"Category deleted","Категория изтрита"
"Category move error","Грешка при преместване на категория"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","Категория записани"
"Change","Промени"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Промяна на статус"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose an Option...","Избери опция ..."
"Choose option...","Избери опция ..."
"Clear All","Clear All"
"Clear All Items","Изчистване на всички артикули"
"Close Window","Затвори прозореца"
"Collapse All","Collapse All"
"Comparable","Сравними"
"Comparable on Front-end","Сравними на фронтенд"
"Compare Items","Сравни артикулите"
"Compare Products","Сравни продуктите"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","Сравни продукт - %d артикул(а)"
"Compare Products List","Сравни списък с продукти"
"Compare list successfully cleared","Сравнете списък успешно изчиства"
"Conditions Combination","Комбинация условия"
"Configurable Product","Конфигурируем продукт"
"Configurable Product Settings","Настройки на конфигурируем продукт"
"Continue","Продължи"
"Copy From Configurable","Копиране от конфигурируеми"
"Country/State","Country/State"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create Empty","Създай празен"
"Create Product Settings","Настройки при създаване на продукт"
"Create Simple Associated Product","Създай прост асоцииран продукт"
"Create new category","Create new category"
"Create new product","Create new product"
"Cross-sells","Свързани продажби"
"Currently Shopping by","В момента се пазарува от"
"Custom Design","Персонализиран дизайн"
"Custom Options","Custom Options"
"Customer Group","Група клиенти"
"Customers Reviews","Потребителски отзиви"
"Customers Tagged Product","Тагнат продукт"
"Customers for alert %s was successfuly added to queue","Клиенти за аларма %s беше успешно добавен към опашката"
"Data Type for Saving in Database","Типа данни за съхраняване в базата данни"
"Date","Дата"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Subscribed","Записан на дата"
"Date fields order","Date fields order"
"Datetime","Дата/час"
"Decimal","Десетични"
"Decimal Number","Десетичен Брой"
"Declare attribute value saving scope","Декларирай обхват на стойността на атрибута"
"Default Qty","Стандартно количество"
"Default Values","Стандартни ценности"
"Default price","Стандартна цена"
"Default value","Стандартна стойност"
"Delete","Изтрий"
"Delete Attribute","Изтрий атрибута"
"Delete Attribute Set","Изтрий комплект атрибути"
"Delete Category","Изтрий категория"
"Delete Option","Изтрий вариант"
"Delete Row","Delete Row"
"Delete Search","Изтрий търсенето"
"Delete Selected Group","Изтрий избраната група"
"Delete category","Delete category"
"Delete product","Delete product"
"Depends on design theme","Depends on design theme"
"Design","Дизайн"
"Disabled","Изключено"
"Display in Suggested Terms","Покажи в предложените условия"
"Double click on a group to rename it","Щракнете два пъти върху група, за да я преименувате"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Dropdown","Падащо меню"
"Duplicate","Направи дубликат"
"Duplicate website tier price customer group and quantity.","Направи дубликат на сайта"
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Edit","Редактирай"
"Edit Attribute Set '%s'","Редактирай атрибути ""%s"""
"Edit Product Attribute","Редактирай атрибут на продукт"
"Edit Product Attribute ""%s""","Редактирай атрибут на продукт ""%s"""
"Edit Search","Редактирай търсенето"
"Edit Search '%s'","Промяна на търсенето ""%s"""
"Email","Имейл"
"Email to a Friend","Изпрати на приятел"
"Empty","Изпразни"
"Enabled","Включено"
"Error during retrieval of option value: %s","Грешка при прочитане на опция със стойност: %s"
"Error while adding customers for %s alert. Message: %s","Грешка при добавяне на клиенти за %s предупреждение. Съобщение: %s"
"Error while saving this group. Group with the same name already exists.","Грешка при съхраняване на тази група. Група със същото име вече съществува."
"Error while saving this group. Please try again later.","Грешка при съхраняване на тази група. Моля опитайте отново по-късно."
"Exclude","Изключване"
"Expand All","Expand All"
"Failed","Неуспешно"
"Failed to move file: %s","Неуспех при преместване на файл: %s"
"Feature Products","Избрани продукти"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","Моля, декларирайте име на филтър модела"
"Filter must be as object. Set correct filter please","Филтъра трябва да бъде обект. Задайте правилен филтър, моля"
"Filterable (no results)","Филтрируемо (няма резултати)"
"Filterable (with results)","Филтрируемо (с резултати)"
"Filters must be as array","Филтрите трябва да са в масив"
"First Name","Собствено име"
"Fixed","Оправено"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","За вътрешна употреба. Трябва да е уникално, без интервали"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Фронтенд"
"Frontend Model","Фронтенд модел"
"Frontend Properties","Фронтенд свойства"
"Gallery","Галерия"
"General Information","Обща информация"
"Get special price","Get special price"
"Global","Глобално"
"Globally Editable","Глобално редактируеми"
"Go to Home Page","Към началната страница"
"Grid","Таблица"
"Grouped Product","Групиран Продукт"
"Groups","Групи"
"Home","Начало"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Изображение"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image file not found","Изображението не е намерено"
"Image not exists","Изображението не съществува"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","Типът изображение и информация трябва да бъдат специфицирани отделно за всеки магазин."
"In Stock","На склад"
"In stock","На склад"
"In stock.","In stock."
"Incl. Tax","Incl. Tax"
"Input Type","Input Type"
"Input Validation for Store Owner","Валидация на входящата информация за собственик на магазина"
"Integer","Цяло  число"
"Integer Number","Цяло число"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Невалидна атрибут опция за определен атрибут %s (%s). Игнорирано."
"Invalid attribute set specified, skipping the record","Невалиден атрибут е посочен. Игнорирано."
"Invalid block: %s","Невалиден блок:%s"
"Invalid category","Invalid category"
"Invalid category IDs","Невалидна категория идентификатори"
"Invalid image file type","Невалиден тип изображение."
"Invalid image type.","Invalid image type."
"Invalid option id specified for %s (%s), skipping the record","Невалидна опция ID за %s (%s). Игнорирано."
"Invalid product type specified, skipping the record","Посочен е невалиден тип продукт. Игнорирано."
"Invalid store specified","Невалиден магазин."
"Invalid store specified, skipping the record","Невалиден магазин. Игнорирано."
"Inventory","Инвентар"
"Is Default","е по подразбиране"
"Is Required","Is Required"
"Items %s to %s of %s total","Точки %s до %s от %s общо"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Тези елементи, които не желаете да се показват в търсенето или в каталога, трябва да са със статус 'Изключено'"
"Label","Етикет"
"Last Name","Фамилно име"
"Last Notification","Последна нотификация"
"Learn More","Научете повече"
"Length of text is too long","Length of text is too long"
"Letters","Писма"
"Letters(a-zA-Z) or Numbers(0-9)","Букви (a-zA-Z) или цифри (0-9)"
"Line %d, Email: %s","Ред %d, E-mail: %s"
"Line %d, SKU: %s","Ред %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List","Списък"
"List Mode","Режим на списък"
"Manage Attribute Sets","Управление на комплекти атрибути"
"Manage Attributes","Управление на атрибути"
"Manage Catalog Categories","Управление на категориите в каталога"
"Manage Categories","Управление на категориите"
"Manage Label / Options","Управление Етикет / Опции"
"Manage Options (values of your attribute)","Управление Опции (стойности на вашия атрибут)"
"Manage Product Attributes","Управление на атрибутите на продуктите"
"Manage Product Sets","Управление на комплекти продукти"
"Manage Products","Управление Продукти"
"Manage Stock","Manage Stock"
"Manage Titles (Size, Color, etc.)","Управление на заглавия (размер, цветове и т.н.)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","Максимално количество разрешено в кошницата"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Maximum number of characters"
"Media Image","Медия изображение"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","Минимално количество разрешено в кошницата"
"Minimum Qty for Item's Status to be Out of Stock","Минимално количество за да бъде изчерпана стоката"
"Missing SKU, skipping the record","Липсващ SKU. Игнорирано."
"More Views","Още изгледи"
"Move","Move"
"Move category in tree","Move category in tree"
"Multiple Select","Множествен избор"
"Name","Име"
"Name In %s","Име %s"
"Name<br/>(For internal use)","Име <br/> (за вътрешно ползване)"
"New Category","Нова категория"
"New Product","Нов продукт"
"New Product Attribute","Нови атрибут на продукт"
"New Products","Нови продукти"
"New Search","Ново търсене"
"New Set Name","Нов сет"
"Next","Следващ"
"No","Не"
"No image","Няма изображения"
"No layout updates","Няма актуализация на подредбите"
"No options of this product are available.","Няма опции на разположение."
"No product collections found","Няма намерени колекции на този продукт"
"None","Никой"
"Not shared with other products","Не се споделя с други продукти"
"Notify Low Stock RSS","RSS за ниско количество"
"Notify for Quantity Below","Уведомявай за количество под"
"Nowhere","Никъде"
"Number of Uses","Брой употреби"
"Number of results<br/>(For last time placed)","Брой резултати <br/> (За последен път поставени)"
"OR","ИЛИ"
"Old Price:","Стара цена:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","Опция:"
"Options Control","Контрол на опции"
"Options is required","Опции е задължителна"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Не е налично"
"Out of stock","Не е налично"
"Out of stock.","Не е налично"
"PM","PM"
"Page Title Separator","Page Заглавие Разделител"
"Page:","Страница:"
"Parent Category","Родителска категория"
"Pending","Висящ"
"Pending Reviews RSS","До Ревюта RSS"
"Percentage","Процент"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on Close Window button if it won't be closed automatically","Моля, кликнете върху бутона Затвори прозореца, ако не се затвори автоматично"
"Please enter a new group name","Моля въведете ново име на групата"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","Моля изберете един или повече атрибути."
"Please select product(s)","Моля, изберете продукт(и)"
"Please select products for attributes update","Моля изберете продукти за обновяването на атрибути"
"Please select static block ...","Моля изберете статичен блок ..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","Позиция"
"Position In Layered Navigation","Позиция в Слоева навигация"
"Position of attribute in layered navigation block","Позиция на атрибута в блока на навигацията по нива"
"Prev","Предишен"
"Previous","Предишен"
"Price","Цена"
"Price Type","Price Type"
"Price values for options should be specified in system base currency.","Цена стойности за опции трябва да бъдат уточнени в системата базова валута."
"Price:","Цена:"
"Print This Page","Отпечатай тази страница"
"Problem saving the collection, aborting. Error: %s","Проблем при записване на събирането. Грешка:%s"
"Product","Product"
"Product %s successfully added to compare list","Продукт %s е добавен успешно в списъка за сравнение"
"Product %s successfully removed from compare list","Продукт %s е успешно премахнат от списъка за сравнение"
"Product API","Product API"
"Product Alerts","Сигнали за продукт"
"Product Attribute","Продуктов атрибут"
"Product Attributes","Продукт Атрибути"
"Product Categories","Продуктови категории"
"Product Description","Описание на продукта"
"Product Image Placeholders","Рамка на изображението на продукта"
"Product Image Watermarks","Водни знаци на продукта"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product In Websites","Продукт В Уебсайтове"
"Product Info Column","Product Info Column"
"Product Information","Информация относно продукта"
"Product Name","Наименование"
"Product Reviews","Мнения за продукта"
"Product Tags","Тагове на продукта"
"Product Tier Price API","Product Tier Price API"
"Product Type","Тип на Продукта"
"Product URL Suffix","Product URL Suffix"
"Product attribute sets API","Product attribute sets API"
"Product attribute was successfully deleted","Атрибутът беше успешно изтрит"
"Product attribute was successfully saved","Атрибутът беше успешно записан"
"Product attributes API","Product attributes API"
"Product collection expected","Очаква се да въведете колекция на продукт"
"Product deleted","Продуктът беше изтрит"
"Product duplicated","Продуктът е дублиран"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Product listing sort by"
"Product saving error.","Грешка при записване на продукта."
"Product saving error. ","Product saving error. "
"Product types API","Product types API"
"Product was successfully created.","Продукт е успешно създаден."
"Product was successfully saved.","Продукт бе успешно записан."
