"* Required Fields","* Задължителни полета"
"A new password was sent","Новата парола беше изпратена"
"Account Dashboard","Акаунт табло"
"Account Information","Информация за профила"
"Account Sharing Options","Опции за споделяне на акаунта"
"Account information was successfully saved","Информацията за акаунта беше успешно записана"
"Action","Действие"
"Add New Address","Добави нов адрес"
"Add New Customer","Добави нова класация"
"Add New Customer Group","Добави нова потребителска група"
"Added From","Добавен От"
"Additional Address Entries","Допълнителни записи на адрес"
"Address","Адрес"
"Address Book","Адресната книга"
"Address Information","Информация за Адрес"
"Addresses","Адреси"
"Admin","Администратор"
"All","Всички"
"All Store Views","Всички изгледи на магазини"
"All countries","Всички страни"
"Always optional","Always optional"
"Amount","Количество"
"Approved","Одобрени"
"Are you sure that you want to remove this item?","Сигурни ли сте, че искате да премахнете този елемент?"
"Are you sure you want to cancel adding of this address?","Сигурни ли сте, че искате да откажете добавянето на този адрес?"
"Are you sure you want to delete this address?","Сигурни ли сте, че искате да изтриете този адрес?"
"Are you sure?","Сигурен ли сте?"
"Array of Entity collections is expected","Очаква се масив на колекциите"
"Assign a customer group","Възложете клиентска група"
"Average Sale","Средни продажби"
"Back","Отзад"
"Back to Login","Към Вход"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Информация за плащането"
"Bought From","Закупен от"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ако създадете профил в нашия магазин, ще можете да пазарувате по-бързо, съхранявате множество адреси за доставка, да разглеждате и проследявате Вашите поръчки в акаунта си и други."
"CSV","CSV"
"Can't save address","Не може да се запази адрес"
"Can't save customer","Не може да се запази клиент"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Отмени"
"Change Account Password","Промяна на паролата"
"Change Billing Address","Промяна на Разплащателния Адрес"
"Change Password","Смяна на Парола"
"Change Shipping Address","Промяна на адрес за доставка"
"City","Град"
"Company","Компания"
"Config","Настройка"
"Confirm New Password","Потвърдете Нова Парола"
"Confirm Password","Потвърди парола"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Информация за контакт"
"Continue Shopping","Продължаване за пазаруване"
"Country","Страна"
"Create","Create"
"Create New Account Options","Създаване на нов акаунт Опции"
"Create New Customer Account","Създаване на нова сметка на клиенти"
"Create Order","Създайте Поръчай"
"Create an Account","Създаване на нов акаунт"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Настояща Парола"
"Customer","Клиент"
"Customer Addresses","Потребителски Адреси"
"Customer Api","Customer Api"
"Customer Configuration","Потребителска конфигурация"
"Customer Group","Потребителска група"
"Customer Group was successfully deleted","Потребителската група беше успешно изтрита"
"Customer Group was successfully saved","Потребителска група беше успешно записана"
"Customer Groups","Потребителски групи"
"Customer Information","Информация за клиента"
"Customer Login","Вход за Потребител"
"Customer Since","Потребител от"
"Customer View","Преглед на Потребител"
"Customer collection expected","Очаква се Потребителска колекция"
"Customer doesn't have primary billing address","Клиентът няма основен адрес за фактуриране"
"Customer email already exists","Потребител с такъв имейл вече съществува"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Клиенти"
"Customers Only","Клиентите Само"
"Customers Section","Customers Section"
"DD","DD"
"Date","Дата"
"Date Added","Дата на добавяне"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Дни в списъка с желания"
"Default Addresses","По подразбиране Адреси"
"Default Billing Address","По подразбиране Разплащателния Адрес"
"Default Email Domain","Основен Email Домейн"
"Default Group","Група по подразбиране"
"Default Shipping Address","Основен адрес за доставка"
"Default Welcome Email","Default Welcome Email"
"Delete","Изтрий"
"Delete Address","Изтрий адрес"
"Delete Customer","Изтрий клиент"
"Delete Customer Group","Изтриване на потребителска група"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Изтрити Магазини"
"Details","Подробности"
"Disabled","Деактивирано"
"Edit","Редактиране"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Редактиране на информация за профила"
"Edit Address","Редактирайте Адрес"
"Edit Address Entry","Редактирайте Адрес Влизане"
"Edit Customer Group ""%s""","Редактиране на потребителска група ""%s"""
"Edit Customer Groups","Редактиране потребителски групи"
"Edit Customer's Address","Редактиране на потребителския адрес"
"Edit Group","Редактиране на групата"
"Edit Newsletter Subscription","Редактиране на абонамент за бюлетин"
"Edit Newsletters","Редактиране на бюлетини"
"Edit Personal Information","Редактиране на персонална информация"
"Email","Имейл"
"Email Address","Email адрес"
"Email Sender","Email подател"
"Entity collection is expected","Очаква се обект на колекцията"
"Error during retrieval of option value: %s","Грешка при изтегляне на опция със стойност: %s"
"Ext. Price","Цена за всички"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Факс"
"First Name","Собствено име"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Забравили сте Email подател"
"Forgot Email Template","Забравили сте Email шаблона"
"Forgot Your Password?","Забравена парола?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","От таблото на Моят профил  имате възможността да разгледате активността на вашия акаунт и да актуализирате информацията за своя профил. Изберете линка долу, за да видите или редактирате информация."
"General Subscription","Общи Абонамент"
"Global","Глобален"
"Go to Address Book","Отидете в адресната книга"
"Grand Total","Общо"
"Grand Total: %s","Общо: %s"
"Group","Група"
"Group ""%s"" can not be deleted","Група ""%s"" не може да бъде изтрита"
"Group Information","Информация за групата"
"Group Name","Име на групата"
"Guest","Гост"
"HTML","HTML"
"Hello, %s!","Здравейте, %s!"
"ID","ID"
"IP Address","IP Адрес"
"If you have an account with us, please log in.","Моля използвайте данните за вход ако имате вече създаден профил."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Указана е невалидна опция за атрибут %s  (%s), пропускане на записа"
"Invalid attribute set specified, skipping the record","Указана е невалидна група атрибути, пропускане на записа"
"Invalid current password","Невалидна текущата парола"
"Invalid customer data","Невалиден клиент данни"
"Invalid email address","Невалиден имейл адрес"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Invalid login or password."
"Invalid option id specified for %s (%s), skipping the record","Указан е невалиден номер на опция за %s (%s), пропускане на записа"
"Invalid store specified, skipping the record","Указан е невалиден магазин, пропускане на записа"
"Items Order","Поръчай артикул"
"Last 5 Orders","Последните 5 Поръчки"
"Last Activity","Последна Дейност"
"Last Name","Фамилно име"
"Last Url","Последно Url"
"Last Viewed Items","Последно видян Точки"
"Last date subscribed","Последна дата записания"
"Last date unsubscribed","Последна дата отписахте"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Продажбите през живота"
"Log In","Вход"
"Log Out","Изход"
"Log in or Create an Account","Log in or Create an Account"
"Login","Влез"
"Login Information","Данни за вход"
"Login and password are required","Потребителско име и парола са задължителни"
"Login or Create an Account","Вход или Създаване на профил"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Управление Адреси"
"Manage Customers","Управление на клиентите"
"Missing email, skipping the record","Липсващ имейл. Игнорирано."
"Missing firstname, skipping the record","Липсващо име. Игнорирано."
"Missing lastname, skipping the record","Липсваща фамилия. Игнорирано."
"Month","Month"
"My Account","Моят акаунт"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","Моето Табло"
"My Orders","Моите поръчки"
"My Reviews","Моите отзиви"
"My Tags","Моите тагове"
"My Wishlist","Моят списък с желания"
"Name","Име"
"Name and Address Options","Name and Address Options"
"Never","Никога"
"New Address","Нов Адрес"
"New Address Entry","Нов Адрес Влизане"
"New Customer","Нов Клиент"
"New Customer Address","Нова класация Адрес"
"New Customer Group","Нова класация на групата"
"New Customer Groups","Нова класация на групи"
"New Customers","Нови клиенти"
