"Attempt to add an invalid object","Опит за добавяне на невалиден обект."
"Attribute '%s' used in configurable products.","Атрибут '%s' използван в конфигурируеми продукти."
"Attribute set with the ""%s"" name already exists","Attribute set with the ""%s"" name already exists"
"Attribute used in configurable products.","Атрибут използван в конфигурируеми продукти."
"Attribute with the same code","Атрибут със същия код."
"Data integrity: No header row found for attribute","Целокупност на данните: Не е намерен заглавен ред за атрибута."
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"Default option value is not defined","Не е дефинирана опция по подразбиране."
"EAV types and attributes","EAV types and attributes"
"Entity collection expected","Очаква се обект на колекцията."
"Entity collections expected","Очакват се обекти на колекцията."
"Entity is not initialized","Обекта не е инициализиран."
"Failed to load node %s from config.","Failed to load node %s from config."
"Frontend label is not defined","Фронтенд заглавието не е дефинирано"
"Invalid alias, already exists in joined attributes","Това име на атрибут вече съществува в списъка с атрибути"
"Invalid attribute name: %s","Грешно име на атрибут: %s"
"Invalid attribute requested: %s","Заявен е грешен атрибут: %s"
"Invalid attribute type","Грешен тип на атрибут"
"Invalid character encountered in increment ID: %s","Невалиден знак в нарастващото ID: %s"
"Invalid data object key","Грешен ключ на обектните данни"
"Invalid entity specified","Грешен обект"
"Invalid entity supplied","Грешен обект"
"Invalid entity supplied: %s","Грешен обект: %s"
"Invalid entity type","Грешен тип на обект"
"Invalid entity_id, skipping the record","Грешен entity_id, skipping the record"
"Invalid entity_type specified: %s","Грешен entity_type specified: %s"
"Invalid foreign key","Грешен външен ключ"
"Invalid joined fields","Грешни обединени полета."
"Invalid store specified","Грешен магазин."
"Joined field or attribute expression with this alias is already declared","Обединени полета или декларации на атрибут с това име вече са декларирани."
"Joined field with this alias (%s) is already declared","Обединени полета с името на този атрибут (%s) вече са декларирани."
"Joined field with this alias is already declared","Обединени полета с името на този атрибут вече са декларирани."
"Loaded %d records","Заредени са %d запис(а)"
"No","Не"
"No options found in config node %s","No options found in config node %s"
"Problem loading a record, aborting. Error: %s","Проблем при зареждането на запис, aborting. Грешка: %s"
"Problem loading the collection, aborting. Error: %s","Проблем при зареждането на колекция, aborting. Грешка: %s"
"Problem saving a record, aborting. Error: ","Problem saving a record, aborting. Error: "
"Problem saving the collection, aborting. Error: %s","Проблем при записа на запис, aborting. Грешка: %s"
"Saved ","Запаметено "
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed, because the attribute is used in configurable products."
"The attribute code '%s' is reserved by system. Please, try another attribute code.","The attribute code '%s' is reserved by system. Please, try another attribute code."
"Unknown parameter","Невалиден параметър."
"Valid store_id is expected!","Очаква се валидно store_id!"
"Value of attribute ""%s"" must be unique","Стойността на атрибута ""%s"" трябва да е уникален"
"Wrong attribute ID","Грешен атрибут ID"
"Wrong attribute group ID","Грешен атрибут group ID"
"Wrong attribute set ID","Грешен атрибут set ID"
"Wrong entity ID","Грешен обект ID"
"Yes","Да"
