"%d Review(s)","%d Мнение(я)"
"%s Review(s)","%s Мнение(я)"
"(Posted on %s)","(Публикувано на %s)"
"1 star","1 звезда"
"2 stars","2 звезди"
"3 stars","3 звезди"
"4 stars","4 звезди"
"5 stars","5 звезди"
"Add New Review","Добави ново мнение"
"Add Your Review","Добави мнение"
"Administrator","Администратор"
"All Reviews","Всички мнения"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","Сигурни ли сте, че желаете да продължите?"
"Are you sure?","Сигурни ли сте?"
"Average Customer Rating","Среден клиентски рейтинг"
"Average Customer Rating:","Среден клиентски рейтинг:"
"Back","Обратно"
"Back to Main Product Info","Обратно към продукта"
"Back to My Reviews","Обратно към моите мнения"
"Back to Product Reviews","Обратно към мненията за продукта"
"Be the first to review this product","Бъдете първи - добавете мнение"
"Created On","Създадени на"
"Customer","Клиент"
"Customer Reviews","Потребителски мнения"
"Delete","Изтрий"
"Delete Review","Изтрий мнение"
"Detailed Rating","Подробен рейтинг"
"Edit Review '%s'","Промени мнението '%s'"
"Guest","Гост"
"How do you rate this product?","Как ще оцените този продукт?"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Моите мнения за продукти"
"My Recent Reviews","Моите скорошни мнения"
"Name","Име"
"Name In Store","Име в магазина"
"New Review","Ново мнение"
"Nickname","Псевдоним"
"Pending Reviews","Необработени мнения"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Моля изберете продукт"
"Please select one of each of the ratings above","Моля, изберете по една от всички оценки по-горе"
"Posted By","Написано от"
"Price","Цена"
"Product","Продукт"
"Product Name","Продукт име"
"Product Rating","Продукт рейтинг"
"Product Rating:","Продукт рейтинг:"
"Product Review (submitted on %s):","Продукт мнение (написано на %s):"
"Product Reviews","Продукт мнения"
"Product SKU","Кат. номер"
"Qty","Количество"
"Rating:","Рейтинг:"
"Review","Мнение"
"Review Details","Преглед на детайли"
"Review by %s","Мнение от %s"
"Reviews and Ratings","Reviews and Ratings"
"SKU","каталожен номер (SKU)"
"Save Review","Запиши мнение"
"Status","Статус"
"Submit Review","Изпрати мнението"
"Summary Rating","Рейтинг"
"Summary of Review","Кратко мнение"
"Summary of Your Review","Кратко мнение/Заглавие"
"Summary of review","Кратко мнение/Заглавие"
"Title","Заглавие"
"Type","Тип"
"Unable to post review. Please, try again later.","Мнението не е изпратено. Моля, опитайте по-късно."
"Update status","Обнови статус"
"View All Reviews","Виж всички мнения"
"View Details","Виж детайли"
"Visible In","Видимо в"
"Websites","Websites"
"Write Your Own Review","Споделете Вашето мнение"
"You have submitted no reviews.","Все още нямате добавени мнения."
"You're reviewing: %s","Вие разглеждате: %s"
"Your Rating:","Вашият рейтинг:"
"Your Review (submitted on %s):","Вашето мнение (дадено на %s):"
"Your review has been accepted for moderation","Вашето мнение бе прието за обработка"
"OR","OR"
"My Product Reviews","My Product Reviews"
