" The customer doesn't exist in the system anymore"," Клиентът вече не излиза от системата"
"""%s"" coupon code is not valid.","""%s"" кода за ваучер не е валиден."
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) successfully canceled","%s order(s) successfully canceled"
"%s order(s) successfully put on hold","%s поръчка(и) са в статус ""изчакване"""
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"About This Order:","Относно тази поръчка:"
"About Your Order","Относно Вашата поръчка"
"Account Information","Информация за акаунта"
"Action","Действие"
"Actions","Действия"
"Add","Добави"
"Add Gift Messsage","Add Gift Messsage"
"Add New Address","Добави нов адрес"
"Add Order Comments","Добави коментари към поръчката"
"Add Products","Add Products"
"Add Selected Product(s) to Option","Add Selected Product(s) to Option"
"Add Selected Product(s) to Order","Добави избраните продукти към поръчката"
"Add To Order","Добави към поръчката"
"Add Tracking Number","Добави номер за проследяване"
"Add a gift message for <strong>each gift item</strong>","Добави поздравително съобщение към <strong>всеки отделен артикул</strong>"
"Add a gift message for the <strong>entire order</strong>","Добави поздравително съобщение <strong>цялата поръчка</strong>"
"Add comment to order","Add comment to order"
"Add new comment to shipment","Add new comment to shipment"
"Add new tracking number","Add new tracking number"
"Add to Cart","Добави към количката"
"Address","Адрес"
"Adjustment Fee","Коригираща такса"
"Adjustment Fee:","Коригираща такса:"
"Adjustment Refund","Възстановяване на коригиращата такса"
"Adjustment Refund:","Възстановяване на коригиращата такса:"
"Allow Reorder","Позволи пренареждане"
"Amount","Количество"
"Append Comments","Закачи коментари"
"Apply","Приложи"
"Apply Coupon Code","Приложи код за ваучер"
"Are you sure you want to cancel this order?","Сигурни ли сте, че искате да отмените тази поръчка?"
"Are you sure?","Сигурни ли сте?"
"Are you sure? This order will be cancelled and a new one will be created instead","Сигурни ли сте? Тази поръчка ще бъде отменена и ще бъде създадена нова на нейно място"
"Back to My Orders","Обратно към поръчки"
"Backordered","Неизпълнена"
"Bill to First name","Сметка към първо име"
"Bill to Last name","Сметка към последно име"
"Bill to Name","Сметка към име"
"Billing Address","Адрес по сметка"
"Buy %s for price %s","Buy %s for price %s"
"Can not add order history.","Не може да се добави история на поръчката."
"Can not create block ""%s""","Не може да се създаде елемента ""%s"""
"Can not do invoice for order.","Can not do invoice for order."
"Can not do shipment for order.","Не може да се извърши доставка за поръчката."
"Can not register existing creditmemo","Не може да се регистрира разплащателната бележка"
"Can not register existing invoice","Не може да се регистрира фактура"
"Can not register existing shipment","Не може да се регистрира доставка"
"Can't get order instance","Не може да се вземе информация за поръчката"
"Cancel","Отмени"
"Cancel invoice","Cancel invoice"
"Cancel order","Cancel order"
"Canceled","Отменен/а"
"Cannot create an empty shipment.","Cannot create an empty shipment."
"Capture","Приспадане"
"Capture Amount","Размер на приспадане"
"Capture Offline","Офлайн приспадане"
"Capture Online","Онлайн приспадане"
"Capture invoice","Capture invoice"
"Carrier","Превозвач"
"Change Status","Промени статуса"
"Change status, add comments","Change status, add comments"
"Checkout totals sort order","Ред на сортиране на сумите на поръчката"
