"Actions","Действия"
"Active","Активно"
"Add New Rule","Добави ново правило"
"Apply","Приложи"
"Apply the rule only if the following conditions are met (leave blank for all products)","Приложи правилото само ако следните условия са изпълнени (остави празно за всички продукти)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Приложи правилото само към продуктите в количката които съвпадат със следните условия (остави празно за всички продукти)"
"Apply the rule to cart items matching the following conditions","Приложи правилото към продуктите в количката които съвпадат със следните условия"
"Apply to","Приложи към"
"Buy X get Y free (discount amount is Y)","Купи X и вземи Y безплатно (сумата за намаление е Y)"
"By Fixed Amount","По фиксирана сума"
"By Fixed value","По фиксирана стойност"
"By Percentage","По процент"
"By Percentage of the original price","По процент от оригиналната цена"
"Cart Attribute","Атрибут на количката"
"Catalog","Каталог"
"Conditions","Условия"
"Conditions combination","Комбинация от условия"
"Coupon Code","Ваучер код"
"Coupon code","Ваучер код"
"Customer Groups","Клиентски групи"
"Customer is new buyer: %s","Клиентът е нов купувач: %s"
"Customer registered: %s","Клиентът е регистриран: %s"
"Date Expire","Изтича на"
"Date Start","Стартира на"
"Delete Rule","Изтрий правило"
"Description","Описание"
"Description: %s","Описание: %s"
"Discount Qty Step (Buy X)","Стъпка на количествено намаление (купи X)"
"Discount amount","Размер на намалението"
"Edit Rule","Промени правило"
"Edit Rule '%s'","Промени правило '%s'"
"Expire at: %s","Изтича на: %s"
"Fixed amount discount","Фиксиран размер на намалението"
"Fixed amount discount for whole cart","Фиксиран размер на намалението за цялата количка"
"For matching items only","Само за съвпадащи продукти"
"For shipment with matching items","За доставка със съвпадащи продукти"
"Free shipping","Безплатна доставка"
"From Date","От дата"
"General Information","Обща информация"
"ID","ID"
"Inactive","Неактивен"
"Maximum Qty Discount is Applied to","Максимално намаление е приложено на"
"NOT LOGGED IN","НЕ СЕ ВЛЕЗЛИ В СИСТЕМАТА"
"Name: %s","Име: %s"
"New Rule","Ново правило"
"No","Не"
"Payment Method","Метод на плащане"
"Percent of product price discount","Процент от намалената цена на продукта"
"Price in cart","Цена в количката"
"Priority","Приоритет"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Promotions","Промоции"
"Public In RSS Feed","Публикувай в RSS новини"
"Quantity in cart","Количество в количката"
"Row total in cart","Редове в количката"
"Rule Information","Информация за правилото"
"Rule Name","Име на правило"
"Rule was successfully deleted","Успешно изтриване на правилото"
"Rule was successfully saved","Успешно запазване на правилото"
"Save Rule","Запази правило"
"Shipping Country","Държава"
"Shipping Method","Метод на доставката"
"Shipping Postcode","Пощенски код на доставката"
"Shipping Region","Регион на доставката"
"Shipping State/Province","Област"
"Shopping Cart Price Rule","Правило за цени в количката"
"Shopping Cart Price Rules","Правила за цени в количката"
"Special price","Специална цена"
"Start at: %s","Старт на: %s"
"Status","Статус"
"Stop further rules processing","Спри бъдещата обработка на правила"
"Subtotal","Сума"
"The page you are trying to save no longer exists","Страницата, която се опитвате да запишете вече не съществува"
"This rule no longer exists","Това правило повече не съществува"
"To Date","Към дата"
"To Fixed Amount","По фиксиран размер"
"To Fixed Value","По фиксирана стойност"
"To Percentage","По процент"
"To Percentage of the original price","По процент от оригиналната цена"
"Total Items Quantity","Общ брой записи"
"Total Weight","Общо тегло"
"Unable to find a page to delete","Не е открита страница за изтриване"
"Update prices using the following information","Обнови цените използвайки следната информация"
"Update product's %s %s: %s","Обнови продуктите %s %s: %s"
"Update the Product","Обнови продукт"
"Uses per coupon","Използвания на ваучер"
"Uses per customer","Използвания на клиент"
"Yes","Да"
