"Add Recipient","Добави Получател"
"Allow for Guests","Позволи за Гости"
"Email Address","Имейл адрес"
"Email Address:","Имейл адрес:"
"Email templates","Имейл шаблони"
"Email to a Friend","Изпрати на приятел"
"Email:","Имейл:"
"Enabled","Активно"
"Limit Sending By","Ограничени за изпращане по"
"Link to a friend was sent.","Писмо до приятел(и) с линк към този продукт беше успешно изпратен."
"Max Products Sent in 1 Hour","Максимален брой продукти за изпращане за 1 час"
"Max Recipients","Максимален брой получатели"
"Maximum %d email addresses allowed.","Позволени са максимално %d имейл адреса."
"Message:","Съобщение:"
"Name","Име"
"Name:","Име:"
"Recipient:","Получател:"
"Remove Email","Изтриване на имейла"
"Select email template","Изберете имейл шаблон"
"Send email","Изпрати"
"Send product to a friend","Изпрати продукт на приятел"
"Sender:","Подател:"
"Some emails was not sent","Някой имейли не са изпратени"
"Some problems with data.","Има някакви проблеми с данните."
"You cannot email this product to a friend","Невъзможно е изпращането на линк към този продукт на приятел"
"You cannot send more than %d times in an hour","Не можете да изпратите повече от %d пъти на час"
