"# of Uses","бр. използвано"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Действие"
"Actions","Действия"
"Add New Tag","Добави нова ключова дума"
"Add Tags","Добави ключови думи"
"Add Your Tags:","Добави към Вашите ключови думи:"
"Add to Cart","Купи"
"Add to Wishlist","Добави към Списък желания"
"All Tags","Всички ключови думи"
"Approved","Одобрено"
"Are you sure that you want to delete this tag?","Сигурни ли сте, че желаете да изтриете тази ключова дума?"
"Are you sure you want to delete this tag?","Сигурни ли сте, че желаете да изтриете тази ключова дума?"
"Are you sure you want to do this?","Сигурни ли сте, че желаете да продължите?"
"Are you sure?","Сигурни ли сте?"
"Back","Обратно"
"Back to Tags List","Обратно към списък с ключови думи"
"Back to view Tag","Обратно към ключова дума"
"Block Information","Блок информация"
"CSV","CSV"
"Change status","Промени статус"
"Click on a tag to view your corresponding products.","Клик на ключовата дума за преглед на съответните продукти."
"Country","Държава"
"Customer Since","Клиент от"
"Customers","Потребители"
"Customers Tagged '%s'","Клиентски ключови думи '%s'"
"Delete","Изтриване"
"Delete Tag","Изтриване на ключова дума"
"Disabled","Неактивно"
"Edit Tag","Редакция ключова дума"
"Edit Tag '%s'","Редакция на ключова дума '%s'"
"Email","Имейл"
"First Name","Собствено име"
"General Information","Основна информация"
"Grid","Таблица"
"ID","ID"
"Last Name","Фамилия"
"List","Списък"
"My Recent Tags","Моите скорошни ключови думи"
"My Tags","Моите ключови думи"
"Name","Име"
"New Tag","Нова ключова дума"
"No matches found.","Няма намерени съвпадения."
"Other people marked this product with these tags:","Други потребители са маркирали този продукт със следните ключови думи:"
"Pending","В изчакване"
"Pending Tags","Ключови думи в изчакване"
"Popular","Популярен"
"Popular Tags","Популярни ключови думи"
"Popularity","Популярност"
"Price","Цена"
"Product Name","Продукт име"
"Product SKU","Продукт Кат. №"
"Product Tags","Ключови думи"
"Products","Продукти"
"Products Tagged with '%s'","Продукти отбелязани с '%s'"
"Products tagged with '%s'","Продукти отбелязани с '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Продукти отбелязани с '%s' (<a href='%s'>RSS</a>)"
"SKU","Каталожен номер"
"Save Tag","Запиши"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Резултати от търсенето за '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Статус"
"Tag","Ключова дума"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Информация за ключова дума"
"Tag Name","Ключова дума"
"Tag Name: %s","Ключова дума: %s"
"Tag can't be empty.","Ключовата дума, не може да бъде празна."
"Tagged in","Отбелязано в"
"Tags","Ключови думи"
"Tags Aren't Available","Няма ключови думи за показване"
"Tags:","Ключови думи:"
"Telephone","Телефон"
"Thank you. Your tag has been accepted for moderation.","Благодарим Ви. Вашата ключова дума бе приета за одобрение."
"Unable to find any products tagged with '%s' in the current store","Невъзможно е намирането на продукти отбелязани с '%s'"
"Unable to remove tag. Please, try again later.","Не е възможно премахването на ключовата дума. Моля, опитайте отново по-късно."
"Unable to save tag(s)","Ключовата дума(и) не е записана"
"Unable to save your tag. Please, try again later.","Не е възможен записа на Вашата ключова дума. Моля опитайте отново"
"Use spaces to separate tags. Use single quotes (') for phrases.","Използвайте празни места, за да отделяте ключовите думи. Използвайте единични кавички (') за фразите."
"Uses","Използвания"
"View All","Виж всички"
"View All Tags","Виж всички ключови думи"
"View Customers","Виж клиенти"
"View Products","Виж продукти"
"Visible In","Видимо в"
"XML","XML"
"You have not tagged any products yet.","Вие все още не сте маркирали продукти с ключови думи."
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Пощенски код"
"You have not tagged any products yet.","You have not tagged any products yet."
