"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s беше успешно добавен във вашия списък с желани продукти. Кликнете <a href=""%2$s"">тук</a> за да продължите да пазарувате"
"%s's Wishlist","Списък с желани продукти на %s"
"* Required Fields","* Задължителни полета"
"Add All to Cart","Добави всички към количката"
"Add to Cart","Добави към количката"
"Add to Wishlist","Добави към желани"
"Added On","Добавено"
"Are You sure?","Сигурни ли сте?"
"Are you sure you want to remove this product from your wishlist?","Сигурен ли сте, че искате да премахнете продукта от списъка с желани продукти?"
"Are you sure you would like to remove this item from the wishlist?","Сигурни ли сте, че ще искате да премахнете този продукт от списъка с желани продукти?"
"Back","Назад"
"Can't save description %s","Не може да запази описанието %s"
"Cannot create wishlist","Не може да се създаде списък с желани продукти"
"Cannot specify product","Не може да определи продукт"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Маркирайте този чекбокс ако искате да вземете RSS към вашия списък с желани продукти."
"Comment","Коментар"
"Email Sender","Изпращач"
"Email Template","Темплейт на имейла"
"Email address can't be empty.","Имейл адрес не може да бъде празен."
"Email addresses, separated by commas","Имейл адресите, разделени със запетайка"
"Enabled","Активиран"
"General Options","Основни параметри"
"Go to Wishlist","Към списъка с желани продукти"
"Last Added Items","Последно добавени неща"
"Message","Съобщение"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Моят списък (%d продукт)"
"My Wishlist (%d items)","Моят списък (%d продукта)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Моля въведете валидни имейл адреси разделени със запетайки. На пример johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Моля, въведете вашите коментари..."
"Product","Продукт"
"RSS Feed","RSS новини"
"RSS link to %s's wishlist","RSS връзка към списъка с желани продукти на %s"
"Remove Item","Премахване на продукт"
"Share Wishlist","Сподели списъка с желани продукти"
"Share Your Wishlist","Сподели своя списък с желани продукти"
"Share options","Опции за споделянеShare options"
"Sharing Information","информация за споделянето"
"There was an error while adding item to wishlist.","Има грешка при добавяне на продукт към списъка с желани."
"There was an error while adding item to wishlist: %s","Има грешка при добавяне на продукт към списъка с желани: %s"
"There was an error while deleting item from wishlist.","Има грешка при премахване на продукт към списъка с желани."
"There was an error while deleting item from wishlist: %s","Има грешка при премахване на продукт към списъка с желани: %s"
"This product(s) is currently out of stock:","Този продукт(и) не са налични в момента:"
"Update Wishlist","Обновете списъка с желани продукти"
"View Product","Преглед на продукт"
"Wishlist","Списък с желани продукти"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Споделяне на списъка с желани продукти"
"Wishlist is empty now.","Списъкът с желани продукти е празен."
"You have no items in your wishlist.","Нямате продукти във вашия списък с желани."
"You input not valid email address.","Въвели сте невалиден имейл адрес."
"Your Wishlist was successfully shared","Вашия списък е успешно споделен"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Моя списък с желани продукти"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
