" The customer doesn't exist in the system anymore"," El client ja no existeix en el sistema"
"(Starting with)","(Comença amb)"
"(Leave empty for first spreadsheet)","(Deixeu buit en el primer full)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Els productes seran agregats/actualitzats en aquesta botiga si la columna 'botiga' està buida o no es troba en l'fitxer d'importació)"
"(You have to increase php memory_limit before changing this value)","(Heu d'incrementar el memory_limit de php abans de canviar aquest valor)"
"(For US 2-letter state names)","(Per a USA, noms d'estats de 2 lletres)"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Ruta absoluta o relativa a l'arrel d'instal·lació de Magento, ex. var/export)"
"(Shift-)Click or drag to change value","(Shift-) Clicar o arrastrar per canviar el valor"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Si 'No', només els camps vinculats seran importats. Al vincular-los, utilitzeu 'column1', 'column2', etc.)"
"(If left empty will be auto-generated)","(Si ho dexeu buit serà auto-generat)"
"(\t for tab)","(\t for tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - Si existeix el procés, mata el procés i reengega el procés"
"- Click on any of the time parts to increase it","- Clic a qualsevol part per incrementar"
"- or click and drag for faster selection.","- o click i arrossega per accelerar la selecció."
"- or Shift-click to decrease it","- o Shift-clic per desincrementar"
"--Please Select--","-- Seleccioneu --"
"-- Please Select --","-- Seleccioneu --"
"-- Please select a category --","-- Trieu una categoria --"
"-- Please select --","--Selecciona--"
"YTD","1 any a partir d'avui"
"1 Hour","1 hora"
"12 Hours","12 hores"
"12h AM/PM","12h AM/PM"
"2YTD","2 anys a partir avui"
"2 Hours","2 hores"
"24 Hours","24 hores"
"24h","24h"
"6 Hours","6 hores"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Accés denegat</h1><p>Accés denegat.</p>"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Error 404</h1><p>Pàgina no trobada.</p>"
"In","A"
"In Database:","A la base de dades:"
"store(%s) scope","abast de botiga(%s)"
"Current Configuration Scope:","Abast de la configuració actual"
"website(%s) scope","abast del lloc web(%s)"
"Default scope","Abast per defecte"
"Resource Access","Accés a recurs"
"Access Deny","Accés denegat"
"Access Denied.","Accés denegat"
"Log into Magento Admin Page","Accededeix a la pàgina d'administració de Magento"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Accessoris amb preus dinàmics no es poden incloure en les opcions definides per l'usuari. No es desaran les opcions."
"Action","Acció"
"Profile Action","Acció del perfil"
"Actions","Accions"
"Profile Actions XML","Accions del perfil XML"
"Actions XML","Accions XML"
"Active","Actiu"
"Update","Actualitza"
"Upgrade","Actualitza"
"Upgrade all packages","Actualitza tots els paquets"
"Upgrade All Available Packages","Actualitza tots els paquets disponibles"
"Upgrade all available packages","Actualitza tots els paquets disponibles"
"Upgrading $pkg, please wait...","Actualitzant $pkg, si us plau espereu..."
"Upgrading selected packages, please wait...","Actualitzant els paquets seleccionats, si us plau espereu..."
"Upgrading all available packages, please wait...","Actualitzant tots els paquets disponibles, si us plau espereu..."
"Upgrading all packages, please wait...","Actualitzant tots els paquets, si us plau espereu..."
"Updated At","Actualitzat el"
"Magento Admin","Administració de Magento"
"Admin","Administrador"
"Shipping address","Adreça d'enviament"
"Shipping Address","Adreça d'enviament"
"Email Address:","Adreça de correu electrònic"
"Billing address","Adreça de facturació"
"Billing Address","Adreça de facturació"
"Primary Billing Address","Adreça de facturació principal"
"IP Address","Adreça de IP"
"Add","Afegeix"
"Add Maintainer","Afegeix desenvolupador"
"Add after","Afegeix després"
"Add Exception","Afegeix excepció"
"Add new store view map","Afegeix nou mapa store view"
"Add new website map","Afegeix nou mapa website"
"Add New Profile","Afegeix un nou perfil"
"Add New osCommerce Profile","Afegeix un nou perfil osCommerce"
"Add new Role","Afegeix un nou rol"
"Add New Role","Afegeix un nou rol"
"Add New User","Afegeix un nou usuari"
"Add Subpackage dependency","Afegeix una dependència d'un subpaquet"
"Add Package dependency","Afegeix una dependència de paquet"
"Add PHP Extension dependency","Afegeix una nova dependència d'extenció de PHP"
"Add New Image","Afegeix una nova imatge"
"Add New Template","Afegeix una nova plantilla"
"Add New Urlrewrite","Afegeix una nova reescriptura de URL"
"Add Urlrewrite","Afegeix Urlrewrite"
"Add Urlrewrite for a Product","Afegeix Urlrewrite pel producte"
"Add Urlrewrite for a Category","Afegeix Urlrewrite per la Categoria"
"Add Field Mapping","Afegeix vinculació de camp"
"Add Field with URL:","Afegir camp amb URL:"
"Get help for this page","Ajuda per a aquesta pàgina"
"In File:","Al fitxer:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alguns articles en aquesta comanda tenen tipus de factura i d'enviament diferents. Podeu crear l'enviament només després de que la factura s'hagi creat."
"Some of the ordered items don't exist in the catalog anymore and will be removed if you try to edit the order.","Alguns dels articles demanats ja no existeixen en el catàleg i seran eliminats si editeu la comanda."
"Both (without and with tax)","Ambdós (sense i amb impost)"
"Year","Any"
"API:","API:"
"This attribute shares the same value in all the stores","Aquest atribut comparteix el mateix valor en totes les botigues"
"This account is inactive.","Aquest compte es troba inactiu."
"This attribute set don't have attributes which we can use for configurable product","Aquest conjunt d'atributs no té atributs que es puguin utilitzar per a productes configurables"
"This product is currently disabled","Aquest producte es troba desactivat en aquests moments"
"This user no longer exists","Aquest usuari no existeix més."
"This tab contains invalid data. Please solve the problem before saving.","Aquesta pestanya conté dades invàlides. Solucioneu-les abans de desar."
"This section is not allowed.","Aquesta secció no està permesa."
"Drag to move","Arrossega per moure"
"Individual Item","Article individual"
"Items","Articles"
"Bundle Items","Articles accessoris"
"Items to merge","Articles per fusionar"
"items selected","articles seleccionats"
"Last Month","Últim mes"
"Latest Message:","Últim missatge:"
"Last Logged In:","Últim que ha accedit:"
"Last Logged In (%s):","Última vegada registrat (%s)"
"Last 24 hours","Últimes 24 hores"
"Last 5 Orders","Últimes 5 comandes"
"Last 5 Search Terms","Últims 5 termes cercats"
"Last 7 days","Últims 7 dies"
"Please make sure that your changes were saved before running the profile.","Assegureu-vos que els vostres canvis estan desats abans d'executar el perfil"
"Please make sure your passwords match.","Assegureu-vos que les vostres contrasenyes coincideixen"
"Please make sure that all global admin search modules are installed and activated.","Assegureu-vos que tots els mòduls de cerca global estan instal·lats i activats."
"Assigned","Assignat"
"Subject","Assumpte"
"Template Subject","Assumpte de la plantilla"
"Warning: Please don't close window during importing/exporting data","Atenció! no tanqui la finestra en el procés importació/exportació de dades"
"Warning! Empty value can cause problems with CSV format.","Atenció! Valors buits pot causar problemes amb el CSV."
"Global Attribute","Atribut global"
"Attributes","Atributs"
"NOTICE","AVÍS"
"notice","avís"
"Go Today","Avui"
"Search Index","Índex Cerca"
"Search Index was rebuilt successfully","Índex Cerca reconstuit correctament"
"Layered Navigation Indices","Índexs de la navegació per capes"
"Area","Àrea"
"Dashboard","Àrea d'administració"
"b","b"
"Invalid parrent block for this block","Bloc pare invàlid per a aquest bloc"
"Store","Botiga"
"Store:","Botiga:"
"Store: ","Botiga:"
"Radio Buttons","Botons de selecció"
"Clear","Buida"
"Field","Camp"
"This is a required field.","Camp requerit"
"Channel","Canal"
"Channel:","Canal:"
"Cancel","Cancel·la"
"None","Cap"
"Layered Navigation indexing queued","Capa de navegació en cua"
"Load Template","Carrega la plantilla"
"Load default template","Carrega la plantilla per defecte"
"Load local Package","Carrega paquet local"
"Loading...","Carregant..."
"Checkbox","Casella"
"Catalog","Catàleg"
"Category","Categoria"
"Category:","Categoria:"
"Backup","Còpia de seguretat"
"Backups","Còpies de seguretat"
"Bcc","Cco"
"Search","Cerca"
"Global Record Search","Cerca de registre global"
"Browse Files...","Cerca fitxers..."
"Global Search","Cerca global"
"Browse Available Extensions","Cerca les extensions disponibles"
"Browse Available Remote Extensions","Cerca les extensions remotes disponibles"
"Lifetime Sales","Cicle de vendes"
"Shopping Cart from %s","Cistella de la compra des de %s"
"Api Key","Clau Api"
"Invalid Form Key. Please refresh the page.","Clau invàlida. Refresqui la pàgina."
"Invalid Secret Key. Please refresh the page.","Clau secreta invàlida. Refresqui la pàgina."
"Customer","Client"
"Customer Since:","Client des de:"
"Customers","Clients"
"SKU","Codi"
"Coupon Code","Codi de cupó"
"Card Verification Number","Codi de seguretat de Targeta"
"Zip/Postal Code","Codi Postal"
"Zip/Postal Code:","Codi Postal:"
"SKU:","Codi:"
"Lastname","Cognom"
"Last Name","Cognom"
"Last Name:","Cognom:"
"Help Us Keep Magento Healthy - Report All Bugs","Col·labora amb el desenvolupament de Magento - Informa de tots els errors"
"Order #%s","Comanda #%s"
"Order #%s (%s)","Comanda #%s (%s)"
"Orders","Comandes"
"Recent Orders","Comandes recents"
"Starting profile execution, please wait...","Començant l'execució del perfil. Si us plau espereu..."
"Invoice #%s comment added","Comentari afegit a factura #%s"
"Shipment Comments","Comentaris de l'enviament"
"Complete","Completa"
"Please fill in 'email' field.","Completeu el camp 'correu electrònic'."
"Account Created on (%s):","Compte creat a (%s):"
"Account Created in:","Compte creat a:"
"Account Created on:","Compte creat el:"
"Configuration","Configuració"
"Wrong tab configuration","Configuració de pestanya errònia"
"Mapping Configuration","Configuració del mapeig"
"PEAR config","Configuració PEAR"
"Default Config","Configuració per defecte"
"Api Key Confirmation","Confirmació clau Api"
"Password Confirmation","Confirmació de contrasenya"
"Please confirm site switching. All data that hasn't been saved will be lost.","Confirmeu que voleu canviar de lloc. Totes les dades no desades es perdran."
"Module version conflict!","Conflicte enn la versió del mòdul!"
"Conflicts","Conflictes"
"Connect with the Magento Community","Connecta amb la Comunitat de Magento"
"PEAR Console","Consola PEAR"
"Template Content","Contingut de la plantilla"
"Contents","Continguts"
"Password","Contrasenya"
"Password:","Contrasenya:"
"Changelog","Control de canvis"
"Cache Control","Control memòria cau"
"Cache Control (beta)","Control memòria cau (beta)"
"Convert to Plain Text","Converteix a text pla"
"Guest","Convidat"
"Order confirmation email sent","Correu de confirmació de comanda enviada"
"Order confirmation email not sent","Correu de confirmació de comanda no enviada"
"Email","Correu electrònic"
"Email to a Friend","Correu electrònic a un amic"
"Confirmed email:","Correu electrònic confirmat:"
"User Email","Correu electrònic de l'usuari"
"PayPal Email","Correu electrònic PayPal"
"Email:","Correu electrònic:"
"Transactional Emails","Correus electrònics transaccionals"
"CRITICAL","CRÍTICA"
"critical","crític"
"Create","Crea"
"Create a backup","Crea còpia de seguretat"
"Create DB Backup","Crea còpia seguretat base de dades"
"Create New Attribute","Crea un nou atribut"
"Create New Staging Store View","Crea un nou Store View Staging"
"Create Extension Package","Crea un paquet d'extensions"
"Finished items creation.","Creació finalitzada."
"Create Urlrewrite:","Crear Urlrewrite:"
"Created <strong>%s</strong> items","Creat <strong>%s</strong> elements"
"Created At","Creat el"
"CSV","CSV"
"CSV / Tab separated","CSV / separat amb tabulacions"
"Queue Refresh","Cua d'actualització"
"Queued... Cancel","Cua... cancel·lada"
"Coupons","Cupons"
"Invalid input data for %s => %s rate","Dades ingressades no vàlids per a %s => %s taxa"
"Date","Data"
"Date & Time","Data & Hora"
"Date Updated","Data actualitzada"
"Date Added","Data afegida"
"Expiration Date","Data d'expiració"
"Expiration Date: %s/%s","Data d'expiració %s/%s"
"Start Date","Data d'inici"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Data d'inici de la targeta Switch/Sol/Mestre (UK Nacional): %s/%s"
"Switch/Solo card start Date: %s/%s","Data d'inici de la targeta Switch/Sol: %s/%s"
"Date:","Data:"
"of %s pages","de %s pàgina(es)"
"Leave empty to use tax identifier","Deixar buit per utilitzar l'identificador d'impostos"
"Dependencies","Dependències"
"From","Des de"
"from","des de"
"Save","Desa"
"Save As...","Desa com..."
"Save Account","Desa el  compte"
"Save package with custom package file name","Desa el paquet amb el nom de fitxer personalitzat"
"Save Profile","Desa el perfil"
"Save Role","Desa el rol"
"Save and Continue Editing","Desa i continua editant"
"Save And Continue Edit","Desa i continua editant"
"Save & Generate","Desa i genera"
"Save User","Desa l'usuari"
"Save Config","Desa la configuració"
"Save cache settings","Desa la configuració de la memòria cau"
"Save PEAR Config","Desa la configuració PEAR"
"Save Template","Desa la plantilla"
"Save data and Create Package","Desa les dades i crea el paquet"
"Save Currency Rates","Desa les taxes de canvi"
"Download Remote File","Descarrega fitxer remot"
"Download and Install","Descarrega i instal·la"
"Downloading and installing $pkg, please wait...","Descarregant i instal·lant $pkg, si us plau espereu..."
"Unknown","Desconegut"
"Description","Descripció"
"Description:","Descripció:"
"Unselect All","Deseleccionat tot"
"Unselect Visible","Deseleccionat visible"
"Maintainers","Desenvolupadors"
"Disable","Deshabilita"
"Disabled","Deshabilitat"
"Uninstall","Desinstal·la"
"Uninstalling $pkg, please wait...","Desinstal·lant $pkg, si us plau espereu..."
"Uninstalling selected packages, please wait...","Desinstal·lant els paquets seleccionats, si us plau espereu..."
"Drop-down","Desplegable"
"Target Path","Destinació de la ruta"
"Day","Dia"
"Profile Direction","Direcció del perfil"
"Direction:","Direcció:"
"Invalid directory: %s","Directori no vàlid : %s"
"Recursive Dir","Directori recursiu"
"Design","Disseny"
"Distributed under GNU LGPL. See %s for details.","Distribuït sota llicència GNU LGPL. Veurre %s per més detalls"
"Edit","Edita"
"Edit Role","Edita el rol"
"Edit Website","Edita el Website"
"Edit Tag","Edita l'etiqueta"
"Edit User","Edita l'usuari"
