"Percent Discount","% decompte"
"--Select--","--Seleccioneu-"
"Add New Option","Afegeix nova opció"
"Add Selection","Afegeix selecció"
"This product is also part of bundle(s)","Aquest producte ja forma part d'accessori(s)"
"Bundle Items","Articles accessori"
"Is Required","És obligatori"
"Radio Buttons","Botons de selecció"
"None","Cap"
"Checkbox","Casella"
"Buy %1$s with %2$s discount each","Compra %1$s amb descompte de %2$s cadascu"
"From:","Des de"
"From","Des de"
"Drop-down","Desplegable"
"Dynamic","Dinàmic"
"Price as configured","El preu ha estat configurat"
"Ship Bundle Items","Envia articles accessoris"
"Shipment","Enviament"
"Choose a selection...","Escolliu una selecció..."
"Excl. Tax","Excl. Impostos"
"Fixed","Fixat"
"Price Range","Gamma de preus"
"Incl. Tax","Incl. Impostos"
"Please enter search conditions to view products.","Introduiu condicions de cerca per veure productes."
"Gift Message","Missatge de regal"
"Message:","Missatge:"
"N/A","N/A"
"There is no defined renderer for ""%s"" option type","No hi ha definida una visualització pel tipus d'opció %s"
"No options of this product are available.","No hi ha opcions disponibles per aquest producte."
"Required options not selected.","Opcions obligatòries no seleccionades."
"Selected required options not available.","Opcions obligatòries seleccionades no disponibles."
"To","Per"
"Default","Per defecte"
"To:","Per:"
"Percent","Percentatge"
"Position","Posició"
"Bundle Product","Producte accessor"
"User Defined Qty","Qtat definida per l'usuari"
"Default Qty","Qtat per defecte"
"Qty:","Qtat:"
"Multiple Select","Selecció múltiple"
"Please specify product option(s)","Seleccioneu opcions del producte"
"Please select options for product.","Seleccioneu opcions pel producte."
"Please select products to add","Seleccioneu productes a afegir"
"Separately","Separadament"
"Close","Tanca"
"As low as","Tant baix com"
"Default Title","Títol per defecte"
"Store View Title","Títol vista de botiga"
"Price Type","Tipus de preus"
"Input Type","Tipus entrada"
"Together","Tot juny"
