"# of Use","# d'ús"
"%1$s incl tax.","%1$s taxes incloses"
"%s - %s","%s - %s"
"%s Item(s)","%s Article(s)"
"(Copy data from: %s)","(copia dades des de: %s)"
"(Will make search for the query above return results for this search.)","(Es cercarà en els resultats anteriors perquè retorni resultats per a aquesta cerca.)"
"* Required Fields","*Camps necessaris"
"-- Please Select --","-- Seleccioneu --"
"Scope","Abast"
"Catalog Price Scope","Abast del preu del catàleg"
"Action","Acció"
"Enabled","Activat"
"Update","Actualitza"
"Update Attributes","Actualitza atributs"
"Update attributes","Actualitza atributs"
"Update category","Actualitza categoria"
"Update product link","Actualitza enllaç de producte"
"Update product image","Actualitza imatge del producte"
"Update Tier Price","Actualitza nivell de preus"
"Update product tier prices","Actualitza preus escalonats de producte"
"Update product","Actualitza producte"
"Update assigned product","Actualitza producte assignat"
"Currently Shopping by","Actualment està comprant per"
"Add to Cart","Afegeix a la cistella"
"Add to Wishlist","Afegeix a la llista d'articles d'interès"
"Add to Compare","Afegeix a la llista de comparació"
"Add to My Wishlist","Afegeix a la meva llista d'articles d'interès"
"Add Items to Cart","Afegeix articles a la cistella"
"Add New","Afegeix nou"
"Add New Row","Afegeix nova fila"
"Add New Option","Afegeix nova opció"
"Add New Images","Afegeix noves imatges"
"Add Product To Websites","Afegeix producte als llocs web"
"Add Attribute","Afegeix un atribut"
"Add Design Change","Afegeix un canvi de disseny"
"Add Group","Afegeix un grup"
"Add New Attribute","Afegeix un nou atribut"
"Add New Set","Afegeix un nou conjunt"
"Add New Attribute Set","Afegeix un nou conjunt d'atributs"
"Add New Group","Afegeix un nou grup"
"Add Tier","Afegeix un nou nivell"
"Add New Search Term","Afegeix un nou terme de cerca"
"Add Product","Afegeix un producte"
"Add Option","Afegeix una opció"
"Add Root Category","Afegir categoria pare"
"Add Tax","Afegir Impost"
"Add Subcategory","Afegir subcategoria"
"Maximum image height","Alçada màxima imatge"
"Product Alerts","Alertes del producte"
"Zoom Out","Allunya"
"AM","AM"
"Maximum image width","Amplada màxima de la imatge"
"Category attributes API","API atributs de categoria"
"Product attributes API","API atributs de producte"
"Category API","API categoria"
"Product attribute sets API","API conjunts d'atributs de producte"
"Product links API (related, cross sells, up sells)","API enllaços de producte (relacionats, vendes creuades, vendes suggerides)"
"Product Images API","API imatges de producte"
"Product Tier Price API","API preu escalonat del producte"
"Product API","API producte"
"Product types API","API tipus de productes"
"Apply To","Aplica a"
"Apply To Configurable/Grouped Product","Aplica a productes configurables/agrupats"
"Zoom In","Apropa"
"Approved","Aprovat"
"This attribute no longer exists","Aquest atribut no existeix més"
"This group contains system attributes. Please move system attributes to another group and try again.","Aquest grup conté atributs del sistema. Traslladeu els atributs del sistema a un altre grup i intenteu-ho novament."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Aquest grup conté els atributs utilitzats en els productes configurables. Si us plau, mogui aquests atributs a un altra grup i torni a intentar-ho."
"This is a required option","Aquesta és una opció obligatòria"
"This search no longer exists","Aquesta cerca no existeix més"
"Root","Arrel"
"Items %s to %s of %s total","Articles %s a %s de %s totals"
"Image file not found","Arxiu d'imatge no trobat"
"Last Notification","Última notificació"
"Assign","Assigna"
"Assign product link","Assigna enllaç de producte"
"Assign product to category","Assigna producte a categoria"
"Cart Item Attribute","Atribut de l'article de la cistella"
"Product Attribute","Atribut del producte"
"Unknown attribute: %s","Atribut desconegut: %s"
"Attributes","Atributs"
"Product Attributes","Atributs del producte"
"Unassigned Attributes","Atributs sense assignar"
"Autogenerate","Autogenerar"
"Is Required","És obligatori"
"Is Default","És per defecte"
"Text Area","Àrea de text"
"Based On","Basat en"
"Block after Info Column","Bloc després columna info."
"Static block and products","Bloc estàtic i productes"
"Invalid block: %s","Bloc invàlid: %s"
"Store","Botiga"
"Clear All","Buida tot"
"Clear All Items","Buida tots els articles"
"Empty","Buit"
"each","cada"
"Text Field","Camp de text"
"Change status","Canvia l'estat"
"Change","Canviar"
"Change or Retrieve attribute store view","Canviar o recuperar atribut de la vista de la botiga"
"None","Cap"
"Letters","Cartes"
"Catalog","Catàleg"
"Catalog, Search","Catàleg, Cerca"
"Category","Categoria"
"Category saved","Categoria desada"
"Category deleted","Categoria eliminada"
"Invalid category","Categoria no vàlida"
