"%s and greater","%s i major"
"Go","Anar"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Required Fields","Camps requerits"
"Search","Cerca"
"Search entire store here...","Cerca a tota la botiga..."
"Advanced Search","Cerca avançada"
"Catalog Advanced Search","Cerca avançada del catàleg"
"Catalog Search","Cerca Catàleg"
"Search Site","Cerca el lloc"
"Search Settings","Configuracions de la cerca"
"You have to specify at least one search term","Escriviu almenys una paraula a cercar"
"up to %s","fins %s"
"Home","Inici"
"Subscribe to Feed","Inscripció al canal"
"Please enter ""0"" to enable layered navigation for any number of results","Introdueixi ""0"" per activar qualsevol resultat"
"Maximum Search query  length is %s. Your query was cut.","La llargada màxima de la cerca és de %s. La seva cerca s'ha reduit"
"Your search returns no results.","La vostra cerca no retorna resultats."
"Maximum Query Length","Llargada màxima de la cerca"
"Minimal Query Length","Llargada mínima de la cerca"
"List","Llista"
"Autogenerated site map","Mapa del lloc autogenerat"
"Modify your search","Modifiqueu la vostra cerca"
"No","No"
"There are no search terms available.","No existeixen termes de cerca disponibles."
"No items were found using the following search criteria.","No s'han trobat resultats en aquesta búsqueda"
"Don't see what you're looking for?","No trobes el que esteu buscant?"
"Maximum Query Words Count","Paraules màximes de la cerca"
"Grid","Quadrícula"
"Relevance","Rellevància"
"Results","Resultats"
"Search results for '%s'","Resultats de la cerca per a '%s'"
"Search results for: '%s'","Resultats de la cerca per a: '%s'"
"Yes","Sí"
"Search Terms","Termes de cerca"
"Popular search terms","Termes de cerca populars"
"Popular Search Terms","Termes de cerca populars"
"Search Type","Tipus de cerca"
"All","Tot"
"Go to Home Page","Ves a la pàgina d'inici"
