"-- Please select --","-- Seleccioneu --"
"WARNING:","ADVERTIMENT:"
"Currency Update Warnings","Advertiments de l'actualització de moneda"
"Country Api","Api país"
"Region Api","Api regió"
"Currency Setup","Configuració de la moneda"
"Continue &raquo;","Continua &raquo;"
"Directory","Directori"
"Invalid country code: %s","El codi del país és invàlid: %s"
"Invalid Import Service Specified","El servei d'importació especificat és invàlid"
"Remove space from currency sign","Elimina espai del signe de la moneda"
"Error Email Recipient","Error en el destinatari del correu electrònic"
"Error Email Sender","Error en el remitent del correu electrònic"
"Error Email Template","Error en la plantilla del correu electrònic"
"FATAL ERROR:","ERROR GREU:"
"State/Province","Estat/Província"
"Frequency","Freqüència"
"Enabled","Habilitat"
"Start Time","Hora d'inici"
"Country and Format Type combination should be unique","La combinació del país i el tipus de format ha de ser única"
"Invalid target currency","La moneda de destinació és invàlida"
"Your current currency is: %s","La vostra moneda actual és: %s"
"List of countries","Llista de països"
"List of regions in specified country","Llista de regions en un país en concret"
"Currency","Moneda"
"Base currency","Moneda base"
"Default display currency","Moneda mostrada per defecte"
"Currency will be used for all online payment transactions","Moneda que s'utilitzarà en totes les operaciones de pagament en línia"
"Installed Currencies","Monedes instal·lades"
"Allowed currencies","Monedes permeses"
"Unable to initialize import model","No és possible inicialitzar el model d'importació"
"Cannot retrieve rate from %s","No es pot recuperar la taxa des de %s"
"Currency Options","Opcions de monedes"
"Country","País"
"Region","Regió"
"Scheduled Import Settings","S'han programat les configuracions d'importació"
"Invalid rates received","S'han rebut taxes invàlides"
"Select Your Currency","Seleccioneu la vostra moneda"
"Service","Servei"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Undefined rate from ""%s-%s""","Taxa indefinida des de ""%s-%s"""
"Connection timeout in seconds","Temps de connexió en segons"
"Webservicex","Webservicex"
