"Action","Acció"
"Add to Queue","Afegeix a la cua"
"Add New Template","Afegeix una nova plantilla"
"Save As","Anomena i desa..."
"Subject","Assumpte"
"Queue Subject","Assumpte de la cua de tasques"
"Template Subject","Assumpte de la plantilla"
"Store","Botiga"
"Newsletter","Butlletí de notícies"
"Queue Newsletter","Butlletí de notícies a la cua"
"Unsubscribe","Cancela subscripció"
"Unsubscribe Selected","Cancela subscripció dels seleccionats"
"Cancel","Cancel·la"
"Selected problem subscribers successfully unsubscribed","Cancel·lació de subscripció correcta dels subscrits problemàtics seleccionats"
"Cancelled","Cancel·lat"
"Toggle Editor","Canvia l'editor"
"Customer","Client"
"Invalid subscription confirmation code","Codi de confirmació de subscripció no vàlid"
"Error Code","Codi de l'error"
"Customer Lastname","Cognom del client"
"Start","Comença"
"Newsletter subscription confirmation","Confirmació de la subscripció al butlletí de notícies"
"Template Content","Contingut de la plantilla"
"Resume","Continua"
"Convert to Plain Text","Converteix a text pla"
" Copy","Copia"
"Email","Correu electrònic"
"Sender Email","Correu electrònic del remitent"
"Create Newsletter Template","Crea una plantilla per al butlletí de notícies"
"Newsletter Queue","Cua de tasques del butlletí de notícies"
"Date Updated","Data actualitzada"
"Date Added","Data afegida"
"Queue Date Start","Data d'inici de la cua de tasques"
"Save Newsletter","Desa el butlletí de notícies"
"Save And Resume","Desa i continua"
"Save Template","Desa la plantilla"
"Duplicate of template code","Duplicat del codi de la plantilla"
"Edit Newsletter","Edita el butlletí de notícies"
"Edit Queue","Edita la cua de tasques"
"Edit Template","Edita la plantilla"
"Edit Newsletter Template","Edita la plantilla del butlletí de notícies"
"Form was filled incorrectly","El formulari s'ha completat incorrectament"
"Delete Selected Problems","Elimina els problemes seleccionats"
"Delete Template","Elimina la plantilla"
"Selected problems successfully deleted","Els problemes seleccionats s'han eliminat amb èxit"
"Sending","Enviant"
"Sent","Enviat"
"Status","Estat"
"Thank you for your subscription","Gràcies per subscriure's"
"Newsletter unsubscription success","Heu anul·lat amb èxit la vostra subscripció al butlletí de notícies"
"You have been successfully unsubscribed.","Heu anul·lat la vostra subscripció amb èxit."
"Need to Confirm","Heu de confirmar"
"There was an error while saving your subscription","Hi ha hagut un error al desar la vostra subscripció"
"There was a problem with the un-subscription.","Hi ha hagut un problema amb la cancel·lació de la subscripció"
"There was a problem with the subscription","Hi ha hagut un problema amb la subscripció"
"There was a problem with the subscription: %s","Hi ha hagut un problema amb la subscripció: %s"
"ID","ID"
"Queue Information","Informació de la cua de tasques"
"Template Information","Informació de la plantilla"
"Newsletter Problem Reports","Informes de problemes del butlletí de notícies"
"Queue Start","Inici de la cua de tasques"
"Enter your email address","Introduiu la vostra adreça de correu"
"Guest","Invitat"
"Invalid subscription ID","L'ID de la subscripció no és vàlid"
"Invalid subscriber ID","L'ID del subscriptor no és vàlid"
"Invalid queue selected","La cua de tasques seleccionada no és vàlida"
"Confirmation request has been sent","La sol·licitud de confirmació ha estat enviada"
"The subscription was successfully saved","La subscripció s'ha desat amb èxit"
