"%s Item(s)","%s Article(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Botiga de demostració de Magento. Tots els drets reservats."
"(Shift-)Click or drag to change value","(Shift-). Selecciona o mou per canviar de valor"
"(ver. %s)","(veure. %s)"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- or click and drag for faster selection.","-o feu clic i arrossegueu per accelerar la selecció."
"You're currently on:","Actualment es troba a:"
"Help Us to Keep Magento Healthy","Ajudeu-nos a mantenir en bon estat Magento"
"Prev. year (hold for menu)","Any anterior"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Aquesta és una botiga de demostració. Qualsevol comanda realitzada a través d'aquesta botiga no serà processada ni atèsa."
"Drag to move","Arrossega per moure"
"Items %s to %s of %s total","Articles %s a %s de %s en total"
"Go Today","Avui"
"Welcome, %s!","Benvingut, %s!"
"Default Description","Descripció per defecte"
"Distributed under GNU LGPL. See %s for details.","Distribuït sota GNU LGPL. Veure %s per més detalls."
"Click <a href=""%s"">here</a> if nothing has happened","Fes clic <a href=""%s"">aquí</a> si res no ha passat"
"Your Language","Idioma"
"Interface Language","Idioma de la interfície"
"Your Language:","Idioma:"
"Report All Bugs","Informa de tots els errors"
"Prev. month (hold for menu)","Mes anterior"
"Default welcome msg!","Missatge de benvinguda per defecte!"
"Show","Mostra"
"Display %s first","Mostrar %s primer"
"- or Shift-click to decrease it","o Shft-Click per reduir"
"Previous Page","Pàgina anterior"
"Next Page","Pàgina següent"
"Page:","Pàgina:"
"For latest version visit: %s","Per la última versió visita %s"
"per page","per pàgina"
"Redirecting...","Redireccionant..."
"Next year (hold for menu)","Següent any"
"Next month (hold for menu)","Següent mes"
"Date selection:","Selecció data:"
"Time selection:","Selecció temps:"
"Select Store","Selecciona botiga"
"Select date","Selecciona data"
"- Click on any of the time parts to increase it","Selecciona qualsevol part del temps per incrementar"
"DHTML Date/Time Selector","Selector DHTML Data/Hora"
"About the calendar","Sobre el calendari"
"Skip to Right Column","Sortir de la columna dreta"
"Skip to Left Column","Sortir de la columna esquerra"
"Skip to Footer","Sortir del peu"
"Close","Tanca"
"Close Window","Tanca finestra"
"Time:","Temps:"
"- Use the %s buttons to select month","Utilitza el botó %s per seleccionar el mes"
"- Use the %s, %s buttons to select year","Utilitza els botons %s %s per seleccionar l'any"
"Skip to Main Content","Ves directament al contingut principal"
