"Merchant Login","Accés del comerciant"
"Payment Action","Acció de pagament"
"Authorize.net","Authorize.net"
"Authorize and Capture","Autoritza i captura"
"Transaction key","Clau de la transacció"
"Password","Contrasenya"
"Email customer","Correu electrònic del client"
"Merchant's email","Correu electrònic del comerciant"
"Debug","Depura"
"VERBOSITY","DETALL EXTENSIU"
"Error in retrieving the transaction","Error al recuperar la transaccioó"
"Payment authorization error.","Error d'autorització del pagament."
"Error in refunding the payment","Error en el reemborsament del pagament"
"Error in refunding the payment.","Error en el reemborsament del pagament."
"Error in authorizing the payment","Error en l'autorització del pagament"
"Error in capturing the payment","Error en la captura del pagament"
"Error in payment gateway","Error en la passarel·la de pagament"
"Gateway request error: %s","Error en la petició d'accés: %s"
"Fraud order status","Estat de comanda fraudulenta"
"Enabled","Habilitat"
"Proxy Host","Host del Proxy"
"API Login ID","ID d'accés API"
"Invalid transaction id","ID de transacció invàlid"
"Invalid amount for authorization","Import invàlid per a l'autorització"
"Invalid amount for authorization.","Import invàlid per a l'autorització."
"Payment authorization transaction has been declined.","La transacció d'autorització del pagament ha estat rebutjada."
"Test mode","Mode de prova"
"Authorize Only","Només autoritza"
"New order status","Nou estat de la comanda"
"TENDER","OFERTA"
"Sort order","Ordre de classificació"
"Payment from applicable countries","Pagament des dels països aplicables"
"Payment from Specific countries","Pagament des dels països especificats"
"Payflow Pro","Payflow Pro"
"Proxy Port","Port del Proxy"
"Partner","Soci"
"Title","Títol"
"Credit Card Types","Tipus de targeta de crèdit"
"Maximum Order Total","Total màxim  comanda"
"Minimum Order Total","Total mínim comanda"
"Voided transaction","Transacció nul·la"
"URL","URL"
"User","Usuari"
"Use Proxy","Utilitza Proxy"
"Credit Card Verification","Verificació de la targeta de crèdit"
