"Add","Afegeix"
"Apply","Aplica"
"is","és"
"equals or less than","és igual o inferior a"
"equals or greater than","és igual o superior a"
"is one of","és un dels"
"Expire at: %s","Caduca el: %s"
"Start at: %s","Comença el: %s"
"MATCHING ANY","CONCORDA AMB QUALSEVOL"
"MATCHING ALL","CONCORDA AMB TOTS"
"contains","conté"
"Description: %s","Descripció: %s"
"Remove","Elimina"
"FALSE","FALS"
"to","fins"
"Invalid discount amount.","Import del descompte no vàlid"
"less than","menys de"
"is not","no és"
"is not one of","no és un dels"
"NOT MATCHING ANY","NO CONCORDA AMB QUALSEVOL"
"NOT MATCHING ALL","NO CONCORDA AMB TOTS"
"does not contain","no conté"
"Name: %s","Nom: %s"
"Open Chooser","Obre el selector"
"by","per"
"ANY","QUALSEVOL"
"Perform following actions","Realitza les següents accions"
"If %s of these conditions are %s:","Si %s d'aquestes condicions són %s:"
"Please choose an action to add...","Si us plau, seleccioneu una acció per a afegir&hellip;"
"Please choose a condition to add...","Si us plau, seleccioneu una condició per afegir&hellip;"
"greater than","superior"
"ALL","TOT"
"TRUE","VERITABLE"
