"There are no products matching the selection.","There are no products matching the selection."
"All ","Alle"
"Browse By","Finden bei"
"Category","Kategorie"
"There are no %s available.","Es sind keine %s zugaenglich."
"Full list of Attributes","Volle Liste von Attribute"
"View All","Alles sehen"
"Attributes Sitemap","Seitenmape der Attribute"
"Catalog Seo Sitemap (Attribute List)","Katalog Seo Seitenmappe (Attributlistó)"
"Attributes","Attribute"
"attributes","Attribute"
"Categories Sitemap","Seitenmape der Kategorien"
"Products Sitemap","Produktseitenmappe"
"Choose Store View","Geschaeftansicht waehlen"
"Brands Pages Manager","Manager der Brandsseiten"
"Attributes Pages Manager","Manager der Attributeseiten"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"See other %s products","Anderer %s Produkt zeigen"
"Position","Position"
"Cannot delete root directory %s.","Cannot delete root directory %s."
"Cannot delete directory %s.","Cannot delete directory %s."
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Invalid folder name. Please, use alphanumeric characters, underscores and dashes."
"A directory with the same name already exists. Please try another folder name.","A directory with the same name already exists. Please try another folder name."
"Cannot create new directory.","Cannot create new directory."
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Datei ""%s"" kann nicht gespeichert sein. Bitte, ueberzeugen Sie sich davon, dass Directory ""%s"" ist schreibbar bei Webserver."
"Special symbols are not allowed in URL pattern!","Speziale Symbole sind nicht erlaubt in URL-Pattern!"
"Symbol ' / ' must be neither first neither last in URL pattern!","Das Symbol ' / ' darf nicht am Anfang oder am Ende des Url-Patterns sein!"
"URL pattern must contain [brand] part!","URL-Pattern soll [Brand]Teil einschliessen!"
"Attribute Page for specified store already exists","Attributseite fuer gewaehlten Geschaeft existiert schon"
"URL Key for specified store already exists","URL-Schluessel fuer gewaehlten Geschaeft existiert schon"
"Image must be uploaded for Featured Attribute","Fuer Attribut soll ein Bild heruntergeladen sein"
"""%s"" was renamed to ""%s"" as a category with the same request path already exists","""%s"" war umbenannt zu ""%s"" als Kategorie mit demselben Weg, der schon existiert"
"Request path %s is already used. Please select some other url key.","Der Weg wird schon %s gebraucht. Bitte waehlen Sie ein anderer Schluessel."
"This URL pattern is not allowed!","Dieser URL-Pattern ist nicht erlaubt!"
"This URL key is not allowed!","Dieser URL-Schluessel ist nicht erlaubt!"
"Enabled","Eingeschaltet "
"Disabled","Ausgeschaltet"
"You should enter url prefix on %s store config.","Du solltest URL-Präfix auf %s Geschaeft Konfig"
"You should enter url pattern on %s store config.","Du solltest URL-Pattern auf %s Geschaeft Konfig"
"Special symbols are not allowed in URL pattern on %s store config.","Speziale Symbole sind nicht erlaubt in URL-Pattern auf %s Geschaeft Konfig"
"Symbol ' / ' must be neither first neither last in URL pattern on %s store config.","Das Symbol ' / ' darf nicht am Anfang oder am Ende des Url-Patterns sein auf %s Geschaeft Konfig"
"URL pattern must contain [attribute] part on %s store config.","URL-Pattern soll [Brand]Teil einschliessen auf %s Geschaeft Konfig"
"You should enter number of columns on %s store config.","You should enter number of columns on %s store config."
"You should enter number of attributes in the attribute block on %s store config.","You should enter number of attributes in the attribute block on %s store config."
"You can activate Shop By Attribute for Dropdown type attributes only.","You can activate Shop By Attribute for Dropdown type attributes only."
"All Store Views","Alle Geschaeftansichten"
"Attribute","Attribut"
"Brand","Brand"
"Controller file was loaded but class does not exist","Controllerdatei war herunterladen, aber Klasse existiert nicht"
"There was an error during the process","Es gab einen Fehler waehrend des Prozesses"
"Item News","Postennachrichten"
"Attribute does not exist","Attribut existiert nicht"
"Image with the same name already exists. Rename please","Bilt mit demselben Namen existiert schon"
"Can not upload image ","Kann nicht Bild herunterladen"
" jpg, jpeg, gif, png allowed only","Nur jpg, jpeg, gif, png Dateien sind erlaubt"
"Logo with the same name already exists. Rename please","Logo mit demselben Namen existiert schon. Umbenennen Sie es."
"Can not upload logo ","Kan nicht Logo herunterladen"
"Attribute icon with the same name already exists. Rename please","Attributicon mit demselben Namen existiert schon. Umbenennen Sie es."
"Can not upload attribute icon. ","Kann nicht Attributicon herunterladen."
"Unable to find ","Kann nicht finden"
"Please select ","Bitte waehlen"
"Total of %d record(s) were successfully deleted","Insgesamt von %d Anschreibungen waren erfolgreich geloescht"
"Total of %d record(s) were successfully updated","Zusammen aus %d Eintragungen waren erfolgreich erfrischt"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attributcode ist ungültig. Bitte verwenden Sie nur Buchstaben (az), Zahlen (0-9) oder Unterstrich (_) in diesem Bereich, das erste Zeichen sollte ein Buchstabe sein."
"This Attribute no longer exists","Dieses Attribut gibt es nicht mehr "
"This attribute cannot be updated.","Dieses Attribut kann nicht aktualisiert werden. "
"The product attribute has been saved.","Das Attribut wurde gespeichert"
"Email to a Friend","Email einem Freund schreiben"
"Featured ","Eingestellt"
"Featured Attributes","Bearbeitete Attribute"
"Root","Wurzel"
"Shop By","Bei kaufen"
"Continue","Bearbeitung"
"Choose Attribute","Wählen Attribut "
"There are no active attributes.","Es gibt keine aktiven Attribute."
"Shop By Attribute","Bei Attribute kaufen"
"No","Nein"
"Yes","Ja"
"Use Default Settings","Standardeinstellungen verwenden "
"Activate Shop By","Aktivieren Bei Kaufen"
"URL Key","URL-Schluessel"
"URL Pattern","URL-Pattern"
"Number of Columns","Zahl der Spalten"
"Number of Attributes","Zahl der Attribute"
"Show Attributes with Products Only","Nur Produkte mit Attribute zeigen"
"Show Categories As Tree","Kategorien als Baum zeigen"
"Show Attributes From Current Category","Attribute vom Kategorie zeigen"
"Show Logo","Logo zeigen"
"Show Link","Link zeigen"
"Show Attributes In Site Map","Auf Seitenkarte Attribute zeigen"
"Show Attributes Icons In Attributes Brief Block","Attributeicons in Attributeblock zeigen"
"Show Attributes Icons On Attributes List Page","Attributicons auf Attributlistseite zeigen"
"Rename pics","Bilder Umbenennen "
"Use Layered Navigation","Mehrschichtige Navigation verwenden"
"Custom Design","Kundendesign"
"Layout","Layout"
"Layout Update XML","Layout Update XML"
"Product","Produkt"
"Sort Order","Sortierungart"
"Attribute information","Attributinformation"
"Attribute Page Title","Attributseitentitel"
"Description","Beschreibung"
"Small Logo","Kleines Logo"
"Delete Logo","Logo loeschen"
"Image","Bild"
"Delete Image","Bild loeschen"
"Attribute Icon","Attributicon"
"Delete Attribute Icon","Attributicon loeschen"
"Attribute Icon on Attributes Page?","Attributicon auf Attributseite?"
"Attribute Icon in Attributes Block?","Attributicon in Attributeblock?"
"Meta Keywords","Metaschluesselwoerter"
"Meta Description","Metabeschreibung"
"URL key","URL-Schluessel"
"(eg: domain.com/<b>url-key</b>.html)","(e.g.: domain.com/<b>url-key</b>.html)"
"Featured","Eingestellt"
"Status","Status"
"for right sidebar block","fuer Block des rechten Seitenpanels"
"Display Settings","Einstellungen zeigen"
"Available Product Listing Sort By","Zugaengliche Produkte sortieren nach"
"General Information","Generelle Information"
"Associated products","Aehnliche Produkte"
"Preview","Vorausschau"
"Save Attribute Page","Attributseite speichern"
"Delete Attribute Page","Attributseite loeschen"
"Save And Continue Edit","Speichern und Bearbeitung fortsetzen"
"Add Attribute Page","Attributseite hinzufuegen"
"Edit Attribute Page '%s'","Attributseite bearbeiten '%s'"
"ID","ID"
"Store View","Geschaeftansicht"
"Action","Aktion"
"Edit","Bearbeiten"
"CSV","CSV"
"XML","XML"
"Delete","Loeschen"
"Are you sure?","Sind Sie sicher?"
"Change status","Status veraendern"
"Fill Out Attributes Pages","Attributeseiten ausfuellen"
"Add ","Hinzufügen "
"Fill Out ","Ausfuellen"
"Return to Attribute Select","Zurück zu attribute wählen"
"Home","Homeseite"
"Go to Home Page","Zu Homeseite gehen"
"Go to All ","Zu Liste aller gehen"
"Shop By Brands","Bei Brands kaufen"
"Replace Manufacturer with Brands","Replace Manufacturer with Brands"
"This setting allows renaming manufacturer attribute on the front end. This setting is run by default in Shop By Brands ver. 2.x","This setting allows renaming manufacturer attribute on the front end. This setting is run by default in Shop By Brands ver. 2.x"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
,
"Shop By Attribute Pages Options","Attributeseiteoptionen"
"Frequency","Frequenz"
