"Backorders","Καθυστερημένες Παραγγελίες"
"Allow Qty Below 0","Να Επιτρέπεται Ποσ. Κάτω Από 0"
"Allow Qty Below 0 and Notify Customer","Να Επιτρέπεται Ποσ. Κάτω Από 0 και Να Ειδοποιείται ο Πελάτης"
"To Percentage","Σε Ποσοστό"
"To Fixed Value","Σε Σταθερή Τιμή"
"No Backorders","Χωρίς Καθυστέρηση Παραγγελίας"
"Maximum Qty Allowed in Shopping Cart","Μέγιστη Επιτρεπόμενη Ποσ. στο Καλάθι Αγοράς"
"Decrease Stock When Order is Placed","Μείωση Αποθέματος Όταν Τοποθετείται Παραγγελία"
"The requested quantity for ""%s"" is not available.","Η ζητούμενη ποσότητα για ""%s"" δεν είναι διαθέσιμη."
"The requested quantity is not available.","Η ζητούμενη ποσότητα δεν είναι διαθέσιμη."
"By Percentage","Ανα Ποσοστό"
"By Fixed value","Ανα Σταθερή τιμή"
"Rule price","Αξία κανόνα"
"Inventory","Αποθήκη"
"Can not specify product identifier for order item","Δεν μπορεί να προσδιοριστεί το αναγνωριστικό προϊόντος για το είδος υπό παραγγελία"
"Notify for Quantity Below","Ειδοποίηση για Ποσότητα Κάτω Από"
"Minimum Qty for Items' Status to be In Stock","Ελάχιστη Ποσ. ώστε η Κατάσταση του Είδους να είναι 'Άμεσα διαθέσιμο'"
"Minimum Qty Allowed in Shopping Cart","Ελάχιστη Επιτρεπόμενη Ποσ. στο Καλάθι αγοράς"
"Update the Product","Ενημέρωση του προϊόντος"
"Stock Options","Επιλογές Αποθέματος"
