"%s Item(s)","%s Είδος(η)"
"(ver. %s)","(έκδ. %s)"
"Logo Image Alt","Alt Εικόνας Λογοτύπου"
"HTML Head","HTML Head"
"Welcome, %s!","Καλως Ήρθατε, %s!"
"Title Suffix","Κατάληξη Τίτλου"
"Close Window","Κλείσιμο Παράθυρου"
"Welcome Text","Κείμενο Υποδοχής"
"Header","Κεφαλίδα"
"Show","Προβολή"
"Previous Page","Προηγούμενη Σελίδα"
"Default Robots","Προεπιλεγμένα Robots"
"Default Description","Προεπιλεγμένη Περιγραφή"
"Default Title","Προεπιλεγμένος Τίτλος"
"Default Keywords","Προεπιλεγμένες Λέξεις Κλειδιά"
"Title Prefix","Πρόθεμα Τίτλου"
"Logo Image Src","Πηγή Εικόνας Λογοτύπου"
"Copyright","Πνευματικά Δικαιώματα"
"Page:","Σελίδα:"
"Skip to Main Content","Συνέχεια στο Κυρίως Περιεχόμενο"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Το Magento είναι σήμα κατατεθέν της Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Footer","Υποσελίδιο"
"per page","ανα σελίδα"
"Your Language","Η Γλώσσα σας"
"Report All Bugs","Αναφέρεται Όλα Τα Bugs"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Αυτό είναι ένα demo κατάστημα. Οποιαδήποτε παραγγελία μέσα σε αυτό το κατάστημα δεν θα εκτελείται ή δεν θα παραδίδεται"
"You're currently on:","Βρίσκεστε στο:"
"Help Us to Keep Magento Healthy","Βοηθήστε μας να κρατήσουμε το Magento υγειές"
"Interface Language","Γλώσσα Διασύνδεσης"
"Items %s to %s of %s total","Είδη %s εώς %s από %s σύνολο"
"Select Store","Επιλογή Καταστήματος"
"Next Page","Επόμενη Σελίδα"
"Magento Commerce Demo Store","Magento Commerce Demo Κατάστημα"
