"--Please Select--","--Παρακαλούμε Επιλέξτε--"
"<label>Make Check payable to:</label> %s","<label>Το Τσεκ να πληρωθεί στο(η):</label> %s"
"<label>Make Check payable to</label>: %s","<label>Το Τσεκ να πληρωθεί στο(η)</label>: %s"
"Can not configuration for payment method with code: %s","Can not configuration for payment method with code: %s"
"Can not retrieve payment info model object.","Can not retrieve payment info model object."
"Can not retrieve payment method instance","Can not retrieve payment method instance"
"Can not retrieve payment method model object.","Can not retrieve payment method model object."
"Check / Money order","Check / Εντολή Πληρωμής"
"Sort order","Κανόνας Ταξινόμησης"
"New order status","Κατάσταση νέας παραγγελίας"
"Payment from Specific countries","Πληρωμή από Συγκεκριμένες χώρες"
"Payment from applicable countries","Πληρωμή από Εφαρμόσιμες χώρες"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Credit Card Type","Τύπος Πιστωτικής Κάρτας"
"Credit Card Type: %s","Τύπος Πιστωτικής Κάρτας: %s"
"Title","Τίτλος"
"What is this?","Τι είναι αυτό;"
"Make Check payable to","Το Τσεκ να πληρωθεί στο(η)"
"Make Check payable to: %s","Το Τσεκ να πληρωθεί στο(η): %s"
"Payment Methods","Μέθοδοι Πληρωμής"
"Month","Μήνας"
"Name on the Card: %s","Όνομα στη Κάρτα: %s"
"Name on Card","Όνομα στη κάρτα"
"Year","Έτος"
"Expiration Date","Ημ/μηνία Λήξης"
"Expiration Date: %s/%s","Ημ/μηνία Λήξης: %s/%s"
"Credit Card Number","Αριθμός Πιστωτικής Κάρτας"
"Credit Card Number: %s","Αριθμός Πιστωτικής Κάρτας: %s"
"Credit Card Number: xxxx-%s","Αριθμός Πιστωτικής Κάρτας: xxxx-%s"
"Purchase Order Number","Αριθμός Εντολής Αγοράς"
"Purchase Order Number: %s","Αριθμός Εντολής Αγοράς: %s"
"Card Verification Number","Αριθμός Επαλήθευσης Κάρτας"
"Zero Subtotal Checkout","Αγορά με Μηδενικό Μερικό Σύνολο"
"Send Check to","Αποστολή του Τσεκ στο(η)"
"Send Check to:","Αποστολή του Τσεκ στο(η):"
"Enabled","Ενεργοποιημένο"
"Purchase order","Εντολή αγοράς"
"Credit Card Verification","Επαλήθευση Πιστωτικής Κάρτας"
"Saved CC","Saved CC"
