"CSV","CSV"
"Email","Email"
"Excel","Excel"
"ID","ID"
"Invalid data specified","Καθορίστηκαν άκυρα δεδομένα"
"Bestsellers","Καλύτερες Πωλήσεις (Bestsellers)"
"Shopping Cart","Καλάθι"
"Carts","Καλάθια"
"Coupons","Κουπόνια"
"Visible In","Ορατό σε"
"Your Recently Compared","Οι Πρόσφατες Συγκρίσεις σας"
"Your Recently Viewed","Οι Πρόσφατες Εμφανίσεις σας"
"New Accounts","Νέοι Λογαριασμοί"
"Products","Προϊόντα"
"Products in carts","Προϊόντα στα Καλάθια"
"Items in Cart","Προϊόντα στο Καλάθι"
"Add to Compare","Προσθήκη για σύγκριση"
"Add to Wishlist","Προσθήκη στα επιθυμητά"
"Recently Compared Products","Πρόσφατες Συγκρίσεις Προϊόντων"
"Recently Viewed Products","Πρόσφατες Εμφανίσεις Προϊόντων"
"Recently Viewed/Compared Products","Πρόσφατες Εμφανίσεις/Συγκρίσεις Προϊόντων"
"Orders","Παραγγελίες"
"Items Ordered","Παραγγελμένα Προϊόντα"
"Stock Qty","Ποσ. Αποθέματος"
"Tax Amount","Ποσό Φόρου"
"Quantity of Items","Ποσότητα Προϊόντων"
"Quantity Ordered","Ποσότητα Παραγγελθέντων"
"Most viewed","Περισσότερες εμφανίσεις"
"Most Viewed","Περισσότερες Εμφανίσεις"
"Customer","Πελάτης"
"Customers","Πελάτες"
"Customers by number of orders","Πελάτες ανά αριθμό παραγγελιών"
"Customers by orders total","Πελάτες ανά σύνολα παραγγελιών"
"Customers that have wishlist: %s%","Πελάτες που έχουν λίστα επιθυμητών: %s%"
"Sales","Πωλήσεις"
"Total","Σύνολο"
"Total refunded","Σύνολο επιστροφής χρημάτων"
"Total Shipping","Σύνολο Αποστολών"
"Total invoiced","Σύνολο τιμολογήσεων"
"Total Tags","Σύνολο Ετικετών"
"Total Refunded","Σύνολο Επιστροφής Χρημάτων"
"Price","Τιμή"
"Invoiced","Τιμολογημένα"
"Last Review","Τελευταία Αξιολόγηση"
"Submitted In","Υποβλήθηκε Στο"
"Submitted On","Υποβλήθηκε Την"
"Tax Rate","Φορολογικός Συντελεστής"
"Tax","Φόρος"
"Tag use","Χρήση Ετικέτας"
"Low stock","Χαμηλό απόθεμα"
"Search Terms","Όροι Αναζήτησης"
"Average rating","Μέση βαθμολογία"
"Month","Μήνα"
"Name","Όνομα"
"First Name","Όνομα"
"Product Name","Όνομα Προϊόντος"
"Customer Name","Όνομα Πελάτη"
"Tag Name","Όνομα Ετικέτας"
"Subtotal","Μερικό Σύνολο"
"Carrier/Method","Μεταφορέας/Μέθοδος"
"Year","Έτος"
"Day","Ημέρα"
"Number of New Accounts","Αριθμός Νέων Λογαριασμών"
"Number of Items","Αριθμός Προϊόντων"
"Number Added","Αριθμός Προστέθηκε"
"Number of Orders","Αριθμός Παραγγελιών"
"Number Fulfilled","Αριθμός Συμπληρώθηκε"
"Number of Total Tags","Αριθμός Συνολικών Ετικετών"
"Number Of Uses","Αριθμός Χρήσεων"
"Number of wishlists: %s","Αριθμός λίστα επιθυμητών: %s"
"Number of wishlist conversions: %s","Αριθμός μετατροπων λίστας ειθυμητών: %s"
"Number of Unique Tags","Αριθμός Μοναδικών Ετικετών"
"Number Purchased","Αριθμός Αγορών"
"Number of Reviews","Αριθμός Αξιολογήσεων"
"Number Of Reviews","Αριθμός Αξιολογήσεων"
"Number of times deleted","Αριθμός φορών που διαγράφηκε"
"Number of times wishlists have been shared (emailed): %s","Αριθμός φορών που διαμοιράστηκαν λίστες επιθυμητών (emailed): %s"
