"ANY","ΟΠΟΙΑΔΗΠΟΤΕ"
"ALL","ΟΛΕΣ"
"Add","Προσθήκη"
"Please choose a condition to add...","Παρακαλούμε επιλέξτε μια συνθήκη για να προσθέσετε..."
"Please choose an action to add...","Παρακαλούμε επιλέξτε μια ενέργεια για να προσθέσετε ..."
"Description: %s","Περιγραφή: %s"
"FALSE","ΨΕΥΔΗΣ"
"by","ανα"
"is not","δεν είναι"
"Name: %s","Όνομα: %s"
"to","εώς"
"is","είναι"
"Open Chooser","Ανοιχτός Επιλογέας"
"Remove","Αφαίρεση"
"TRUE","ΑΛΗΘΗΣ"
"If %s of these conditions are %s:","Εάν %s από τις συνθήκες είναι %s:"
"Start at: %s","Εκκίνηση Στο: %s"
"Perform following actions","Εκτέλεσε Τις Ακόλουθες Ενέργεις"
"Apply","Εφαρμογή"
"Expire at: %s","Λήγει Σε: %s"
