"Email to a Friend","Email προς ένα Φίλο"
"Email:","Email:"
"Add Recipient","Προσθήκη Παραλήπτη"
"Email templates","Πρότυπα Email"
"Recipient:","Παραλήπτης:"
"Limit Sending By","Περιορισμός Αποοστολής Ανα"
"Max Products Sent in 1 Hour","Μέγ. Αριθμός Προϊόντων που Απεστάλησαν σε 1 Ώρα"
"Max Recipients","Μέγ. Αριθμός Παραληπτών"
"Message:","Μήνυμα:"
"Name","Όνομα"
"Name:","Όνομα:"
"Some emails was not sent","Μερικά email δεν στάλθηκαν"
"Some problems with data.","Μερικά προβλήματα με τα δεδομένα."
"Remove Email","Αφαίρεση Email"
"Sender:","Αποστολέας:"
"Send email","Αποστολή email"
"Send product to a friend","Αποστολή προϊόντος σε ένα φίλο"
"Link to a friend was sent.","Απεστάλη ο σύνδεσμος προς ένα φίλο."
"Email Address","Διεύθυνση Email"
"Email Address:","Διεύθυνση Email:"
"You cannot send more than %d times in an hour","Δε μπορείτε να αποστείλετε περισσότερες από %d φορές μέσα σε μία ώρα"
"You cannot email this product to a friend","Δε μπορείτε να στείλετε με email αυτό το προϊόν σε ένα φίλο"
"Enabled","Ενεργοποιημένο"
"Select email template","Επιλογή προτύπου email"
"Maximum %d email addresses allowed.","Επιτρέπονται στο μέγιστο %d διευθύνσεις email."
"Allow for Guests","Επιτρέπεται για Επισκέπτες"
