" for more information or email us at "," για περισσότερες πληροφορίες ή στείλτε μας ένα email στο "
"# of Items vs. Destination","# Είδών vs. Προορισμό"
"# of Items (and above)","# Είδων (και άνω)"
"Invalid Table Rate code for type %s: %s","Invalid Table Rate code for type %s: %s"
"Invalid Table Rate code type: %s","Invalid Table Rate code type: %s"
"Invalid Table Rates File Format","Invalid Table Rates File Format"
"None","Κανένα"
"Sort order","Κανόνας Ταξινόμησης"
"Status:","Κατάσταση:"
"Close Window","Κλείσιμο Παραθύρου"
"Tracking information is currently unavailable.","Οι Πληροφορίες Παρακολούθησης δεν είναι διαθέσιμες αυτή τη στιγμή"
"Tracking information is currently not available. Please ","Οι Πληροφορίες Παρακολούθησης δεν είναι διαθέσιμες αυτή τη στιγμή, Παρακαλόυμε "
"Region/State","Νομός/Δήμος"
"Origin","Προέλευση"
"Delivered to:","Παράδοση Στο:"
"Delivered on:","Παράδοση Την:"
"Track:","Παρακολούθηση:"
"Store Pickup","Παραλαβή Από Το Κατάστημα"
"Info:","Πληροφορίες:"
"Table rates","Ποσοστά Πινάκων"
"City","Πόλη"
"Description","Περιγραφή"
"Shipping Settings","Ρυθμίσεις Αποστολής"
"Fixed","Σταθερό"
"Error:","Σφάλμα:"
"Condition","Συνθήκη"
"Type","Τύπος"
"Service Type:","Τύπος Υπηρεσίας:"
"Title","Τίτλος"
"ZIP/Postal Code","Ταχυδρομικός Κωδικός"
"Price","Τιμή"
"Price vs. Destination","Τιμή vs. Προορισμό"
"Percent","Τοις Εκατό"
"Local Time","Τοπική Ώρα"
"Location","Τοποθεσία"
"Signed by:","Υπογεγραμένο Από"
"Calculate Handling Fee","Υπολογισμός Χρέωσης Φορτοεκφόρτωσης"
"Shipment #","Φορτίο #"
"Country","Χώρα"
"Invalid Shipping Price ""%s"" in the Row #%s","Μή έγκυρο Κόστος Αποστολής ""%s"" στη Γραμμή #%s"
"Invalid Country ""%s"" in the Row #%s","Μη έγκυρη Χώρα ""%s"" στη Γραμμή #%s"
"Invalid %s ""%s"" in the Row #%s","Μη έγκυρο %s ""%s"" στη γραμμή #%s"
"Invalid Region/State ""%s"" in the Row #%s","Μη έγκυρος Νομός/Δήμος ""%s"" στη γραμμή #%s"
"N/A","Μη Διαθέσιμο"
"Method name","Όνομα Μεθόδου"
"Order Subtotal (and above)","Μερικό Σύνολο Παραγγελίας (και άνω)"
"Shipping Methods","Μεθόδοι Αποστολής"
"Carrier:","Μεταφορέας:"
"Handling Fee","Έξοδα Φορτοεκφόρτωσης"
"contact us","επικοινωνήστε μαζί μας"
"The shipping module is not available for selected delivery country","Η μονάδα αποστολής δεν είναι διαθέσιμη για την επιλεγμένη χώρα αποστολής"
"Date","Ημερομηνία"
"Tracking Number:","Αριθμός Παρακολούθησης:"
"Maximum qty allowed for Shipping to multiple addresses","Ανώτατη Ποσ. που επιτρέπεται για Αποστολή σε πολλαπλές διευθύνσεις"
"Per Order","Ανα Παραγγελία"
"Per Package","Ανα Πακέτο"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Αυτός ο τρόπος αποστολής δεν είναι διαθέσιμος αυτή τη στιγμή. Αν θέλετε να τον χρησιμοποιησετε, παρακαλούμε επικοινωνήστε μαζί μας."
"Ship to applicable countries","Αποστολή σε εφαρμόσιμες χώρες"
"Ship to Specific countries","Αποστολή προς συγκεκριμένες χώρες"
"Shipped or billed on:","Απεσταλμένο ή χρεωμένο στο"
"Weight vs. Destination","Βάρος vs. Προορισμός"
"Weight:","Βάρος:"
"Weight (and above)","Βαρος (και άνω)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Διπλότυπη Εγγραφή #%s (Χώρα ""%s"", Νομός/Δήμος ""%s"", Τ.Κ. ""%s"" και Τιμή ""%s"")"
"There is no tracking available.","Δεν είναι διαθέσιμη η παρακολούθηση"
"There is no tracking available for this shipment.","Δεν είναι διαθέσιμη η παρακολούθηση για αυτό το φορτίο"
"Free Shipping","Δωρεάν Μεταφορικά"
"Import","Εισαγωγή"
"Minimum order amount","Ελάχιστο Πόσο Παραγγελίας"
"Show method if not applicable","Εμφάνιση μεθόδου αν δεν είναι εφαρμόσιμό"
"Displayed Error Message","Εμφανιζόμενο Μήνυμα Λάθους"
"Flat Rate","Ενιαίο Ποσοστό"
"Enabled","Ενεργοποιημένο"
"Export","Εξαγωγή"
"Options","Επιλογές"
"Allow Shipping to multiple addresses","Επιτρεπτή η αποστολή σε πολλαπλές διευθύνσεις"
