"Consider Order after","Consider Order after"
"Unhold Orders Before Cancel","Unhold Orders Before Cancel"
"Apply On Orders","Apply On Orders"
"Apply","Apply"
"Click on this button to check immediately","Click on this button to check immediately"
"Show logs","Show logs"
"Click on this button to show the logs","Click on this button to show the logs"
"Apply on orders done","Apply on orders done"
"General","General"
"Cancellation Periods","Cancellation Periods"
"Enable cron","Enable cron"
"Try to hold this order if they can't be canceled","Try to hold this order if they can't be canceled"
"Logs deleted","Logs deleted"
"An error occurred : %s ","An error occured : %s "
"No items","No items"
"Are you sure you want to delete all logs?","Are you sure you want to delete all logs?"
"Auto Cancel Order : Logs","Auto Cancel Order : Logs"
"Return to config","Return to config"
"Clear All Logs","Clear All Logs"
"in hours","in hours"
