"So Colissimo Labels","So Colissimo Labels"
"Account Shipment","Account Shipment"
"Account Return","Account Return"
"Contract Number","Contract Number"
"Verify Credentials","Verify Credentials"
"Verify","Verify"
"Country","Country"
"Surname","Surname"
"Phone","Phone"
"Mobile Phone","Mobile Phone"
"City","City"
"Postal Code","Postal Code"
"Floor, hallway, staircase, apartment No.","Floor, hallway, staircase, apartment No."
"Entrance, building, building block","Entrance, building, building block"
"Street number and label","Street number and label"
"Other special mention","Other special mention"
"WSDL","WSDL"
"Can be found in pdf doc :","Can be found in pdf doc :"
"Enabled","Enabled"
"Company Name","Company Name"
"Civility","Civility"
"Address 2 (optional)","Address 2 (optional)"
"Address 1 (optional)","Address 1 (optional)"
"Address 0","Address 0"
"Address 3 (optional)","Address 3 (optional)"
"Shipping Labels options","Shipping Labels options"
"Label Width","Label Width"
"Label Height","Label Height"
"Label x","Label x"
"Label y","Label y"
"New height","New height"
"New width","New width"
"This will resize the original label to fit the new one","This will resize the original label to fit the new one"
"Labels save path","Labels save path"
"First folder must be at magento's root","First folder must be at magento's root"
"Shipment Not Mechanised","Shipment Not Mechanised"
"Commercial shipment","Commercial Shipment"
"Gift","Gift"
"Sample","Sample"
"Document","Document"
"Other","Other"
"Return of goods","Return of goods"
"Roll","Roll"
"Classic","Classic"
"Diameter","Diameter"
"Parcel Type","Parcel Type"
"DOM","Home"
"RDV","Appointment"
"BPR","Post Office France"
"ACP","Coliposte Agency"
"CDI","La poste mail distribution center"
"A2P","Convenience store (A2P)"
"MRL","Convenience store (MRL)"
"CIT","Cityssimo Center"
"DOS","Home with signature"
"CMT","Convenience store Belgium"
"BDP","Post office Belgium"
"Add Package","Add Package"
"Remove Package","Remove Package"
"Package","Package"
"Delivery Mode","Delivery Mode"
"Relay Point","Relay Point"
"Shipment Type","Shipment Type"
"Weight","Weight"
"Lenght","Lenght"
"Width","Width"
"Height","Height"
"Diameter","Diameter"
"Print Colissimo label","Print Colissimo label"
"Show Packages","Show Packages"
"Will activate Recommendation parameters in shipment.","Activera les paramètres de recommendation lors de l'expédition."
"Recommandation","Recommendation"
"Label storage time (days)","Label storage time (days)"
"Packing Slip","Packing Slip"
"Ship to","Ship to"
"Order","Order"
"Ship from","Ship from"
