"%s Item(s)", "%s Item(s)"
"* Required Fields", "* Required Fields"
"-- Please Select --", "-- Please Select --"
"-- Select a Condition --", "-- Select a Condition --"
"-- Select a Reason --", "-- Select a Reason --"
"-- Select a Resolution --", "-- Select a Resolution --"
"-- Select an Order --", "-- Select an Order --"
"-- Select an Order Item --", "-- Select an Order Item --"
"Show", "Show"
"Sort by", "Sort by"
"View as:", "View as:"
"Active", "Active"
"Add Comment", "Add Comment"
"Add New Condition", "Add New Condition"
"Add New RMA", "Add New RMA"
"Add New Reason", "Add New Reason"
"Add New Resolution", "Add New Resolution"
"Add New Status", "Add New Status"
"Additional Information", "Additional Information"
"All", "All"
"Allow Everything", "Allow Everything"
"Are you sure?", "Are you sure?"
"Back to My Returns", "Back to My Returns"
"City", "City"
"Code", "Code"
"Comment Text", "Comment Text"
"Company", "Company"
"Condition", "Condition"
"Conditions", "Conditions"
"Contact Information", "Contact Information"
"Create New Condition", "Create New Condition"
"Create New RMA", "Create New RMA"
"Create New Reason", "Create New Reason"
"Create New Resolution", "Create New Resolution"
"Create New Status", "Create New Status"
"Create RMA", "Create RMA"
"Customer", "Customer"
"Customer Name", "Customer Name"
"Customer has added a comment: <br> <p>%s</p>'", "Customer has added a comment: <br> <p>%s</p>'"
"Date", "Date"
"Date Requested", "Date Requested"
"Date: %s", "Date: %s"
"Delete", "Delete"
"Dictionaries", "Dictionaries"
"Edit Condition '%s'", "Edit Condition '%s'"
"Edit Reason '%s'", "Edit Reason '%s'"
"Edit Resolution '%s'", "Edit Resolution '%s'"
"Edit Status '%s'", "Edit Status '%s'"
"Email", "Email"
"Email Address", "Email Address"
"Email Notification Settings", "Email Notification Settings"
"Email Notification for administrator", "Email Notification for administrator"
"Email Notification for customer", "Email Notification for customer"
"Email Sender", "Email Sender"
"Email To Receive Admin Notifications", "Email To Receive Admin Notifications"
"Enter valid message.", "Enter valid message."
"External Link", "External Link"
"First Name", "First Name"
"General Information", "General Information"
"General Settings", "General Settings"
"Grid", "Grid"
"ID", "ID"
"Invalid RMA.", "Invalid RMA."
"Is Active", "Is Active"
"Item", "Item"
"Item to return", "Item to return"
"Items %s to %s of %s total", "Items %s to %s of %s total"
"Items RMA Requested for", "Items RMA Requested for"
"Last Name", "Last Name"
"List", "List"
"Message for RMA history", "Message for RMA history"
"Mirasvit RMA", "Mirasvit RMA"
"My Returns", "My Returns"
"New Condition", "New Condition"
"New RMA", "New RMA"
"New Reason", "New Reason"
"New Resolution", "New Resolution"
"New Status", "New Status"
"Next", "Next"
"No", "No"
"Notifications", "Notifications"
"Notify Customer by Email", "Notify Customer by Email"
"Order", "Order"
"Order #", "Order #"
"Order Shipping Address", "Order Shipping Address"
"Please, enter an your Order # and Email", "Please, enter an your Order # and Email"
"Please, select an order", "Please, select an order"
"Print Shipping Label", "Print Shipping Label"
"Product Name", "Product Name"
"Qty", "Qty"
"Quantity To Return", "Quantity To Return"
"RMA", "RMA"
"RMA #", "RMA #"
"RMA #%s", "RMA #%s"
"RMA History", "RMA History"
"RMA Items", "RMA Items"
"RMA was successfuly created", "RMA was successfuly created"
"Reason", "Reason"
"Reasons", "Reasons"
"Request Information", "Request Information"
"Request new Return", "Request new Return"
"Resolution", "Resolution"
"Resolutions", "Resolutions"
"Resolve RMA after obtaining status", "Resolve RMA after obtaining status"
"Return Address", "Return Address"
"SKU", "SKU"
"Save", "Save"
"Save And Continue Edit", "Save And Continue Edit"
"Select Order", "Select Order"
"Set Ascending Direction", "Set Ascending Direction"
"Set Descending Direction", "Set Descending Direction"
"Settings", "Settings"
"Show", "Show"
"Sort Order", "Sort Order"
"Sort by", "Sort by"
"Status", "Status"
"Status for new RMA", "Status for new RMA"
"Statuses", "Statuses"
"Street Address", "Street Address"
"Submit", "Submit"
"Submit Request", "Submit Request"
"Telephone", "Telephone"
"Template of Notification Email for Admin", "Template of Notification Email for Admin"
"Template of Notification Email for Customer", "Template of Notification Email for Customer"
"There are no Returns", "There are no Returns"
"Title", "Title"
"Tracking Code", "Tracking Code"
"View Return", "View Return"
"View as", "View as"
"Visible on Frontend", "Visible on Frontend"
"Yes", "Yes"
"Your comment was successfuly added", "Your comment was successfuly added"
"Zip/Postcode", "Zip/Postcode"
"per page", "per page"
"RMA - Notification Email for Admin", "RMA - Notification Email for Admin"
"RMA - Notification Email for Customer", "RMA - Notification Email for Customer"
