"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below."," Si ha descargado el paquete completo o ha instalado Magento a través de SVN, debería omitir los paquetes de instalación y validación, presionando el botón inferior."
"(Make sure you keep it in a safe place.)","(Make sure you keep it in a safe place.)"
"(Optional. Leave blank for no prefix)","(Optional. Leave blank for no prefix)"
"(ver. %s)","(ver. %s)"
"Setting preferred state to: %s","Ajustar el estado preferido a: %s"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativamente puede utilizar el método 'Descargas y Actualizaciones Manuales'."
"Last Name","Apellido"
"Magento Installation Wizard","Asistente de instalación de Magento"
"Help Us to Keep Magento Healthy","Ayúdenos a mantener saludable a Magento"
"Secure Base URL","Base URL segura"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more)."
"Welcome to Magento's Installation Wizard","Bienvenido al asistente de instalación de Magento"
"Required Fields","Campos requeridos"
"Encryption Key","Clave de encriptación"
"Connection","Conexión"
"Database Connection","Conexión a la base de datos"
"Configuration","Configuración"
"Locale settings","Configuraciones locales"
"Password Confirmation","Confirmación de la contraseña"
"Confirm Password","Confirmar contraseña"
"Continue","Continuar"
"Continue Full Download / SVN Installation","Continuar descarga completa / instalación SVN "
"Continue After Manual Download","Continuar después de la descarga manual"
"Password","Contraseña"
"Database user password","Contraseña de la base de datos"
"User Password","Contraseña de usuario"
"Email","Correo electrónico"
"Create Admin Account","Crear una cuenta de Administración"
"After successfull installation please click the button below.","Cuando la instalación haya finalizado con éxito, presione el botón inferior."
"Full Download / SVN Installation","Descarga completa / Instalación SVN"
"Downloading and installing Magento, please wait...","Descargando e instalando Magento, por favor espere..."
"Download","Descargar"
"Download Magento Core Modules and Updates","Descargar los módulos del núcleo de Magento y las actualizaciones"
"Manual Downloads and Upgrades","Descargas y Actualizaciones manuales"
"Email Address","Dirección de correo electrónico"
"Run admin interface with SSL","Ejecutar la interfase de administración con SSL"
"Run this in your shell from Magento root folder:","Ejecute esto en su motor desde la carpeta raíz de Magento:"
"Choose this if you would like to test frontend and backend functionality.","Elija esto si quiere probar la funcionalidad de frontend y de backend"
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","En otros casos necesitará asignar permisos de escritura a los archivos de Magento para el usuario bajo el cual está ejecutandose el proceso del servidor web."
"Database connection error","Error de la conexión con la base de datos"
"This Url is invalid","Esta URL es inválida"
"Preferred stability: %s","Estabilidad preferida: %s"
"I agree to the above terms and conditions","Estoy de acuerdo con los términos y condiciones anteriores"
"Package Management through the Web","Gestión de paquetes a través de la Web"
"Installation Guide","Guía de instalación"
"Enable this option only if you have SSL available.","Habilite esta opcion sólo si tiene SSL disponible."
"Having trouble installing Magento?","Having trouble installing Magento?"
"Host","Host"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","Hubo un problema al instalar los paquetes de Magento. Por favor, lea el registro, corrija los errores e intente de nuevo."
"Login Information","Información de acceso"
"Personal Information","Información personal"
"Report All Bugs","Informar las fallas"
"Installation","Instalación"
"Go to Backend","Ir al Backend"
"Go to Frontend","ir al Frontend"
"Path ""%s"" must be writable","La carpeta ""%s"" debe tener permisos de escritura"
"PHP Extension ""%s"" must be loaded","La extensión PHP ""%s"" debe cargarse"
"PHP Extension '%s' loaded","La extensionPHP '%s' cargada"
"Url ""%s"" is invalid","La Url ""%s"" es inválida"
"Url ""%s"" is not accessible","La Url ""%s"" no es accesible"
"Locale","Local"
"Magento","Magento"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento es una marca registrada de Irubin Consulting Inc. DBA Varien. Derechos reservados &copy; %s Irubin Consulting Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento usa esta clave para encriptar contraseñas, tarjetas de crédito y más. Si deja este campo vacío, Magento creará una clave de encriptación y se la mostrará en la próxima página."
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Marque esta casilla sólo si no es posible validar automáticamente URL seguras. Por ejemplo si se requiere una autentificación HTTP."
"Check out our","Mire nuestro"
"Default Currency","Moneda por defecto"
"First Name","Nombre"
"Database Name","Nombre de la base de datos"
"User Name","Nombre de usuario"
"Username","Nombre de usuario"
"Database host","Nombre del host de la base de datos"
"Database user name","Nombre del usuario de la base de datos"
"Skip Secure URL validation before next step","Omitir la valdacion de URL seguro antes del siguiente paso"
"Web access options","Opciones de acceso Web"
"Currently this is the most stable state available for Magento packages.","Por el momento, esta es la version disponible más estable de paquetes de Magento."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Por favor asegúrese de que <code>mod_rewrite</code> está habilitado en la configuración de Apache."
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","Por favor tome en cuenta que sólo los motores UNIX, Linux y OSX se toleran actualmente. Para Windows use la opción '%s'."
"Please set all required settings before clicking Continue","Por favor, establezca todos los ajustes necesarios antes de presionar Continuar"
"Please note that it is much less stable than beta.","Por favor, tome en cuanta que es mucho menos estable que beta."
"Tables Prefix","Prefijo de las tablas"
"Get ready to experience Open-Source eCommerce Evolved.","Prepárese para experimentar la evolución del comercio electrónico de código abierto."
"Proceed With Automatic Download (%s)","Proceed With Automatic Download (%s)"
