"Add","Añadir"
"Open Chooser","Abrir el selector"
"Apply","Aplicar"
"Expire at: %s","Caduca el: %s"
"ANY","CUALQUIERA"
"Description: %s","Descripción: %s"
"Remove","Eliminar"
"Start at: %s","Empezar el: %s"
"is","es"
"FALSE","FALSO"
"to","hasta"
"is not","no es"
"Name: %s","Nombre: %s"
"by","para"
"Please choose an action to add...","Por favor, seleccione una acción para añadir&hellip;"
"Please choose a condition to add...","Por favor, seleccione una condición para añadir&hellip;"
"Perform following actions","Realizar las siguientes acciones"
"If %s of these conditions are %s:","Si %s de estas condiciones són %s:"
"ALL","TODO"
"TRUE","VERDADERO"
