"Points","Puntos"
"Point","Punto"
"Not enough points for transaction. You have %s, but you need %s","No tienes los puntos suficientes para la transacci&oacute;n. Tienes %s, pero necesitas %s"
"Sent points to a friend, ","Puntos enviados a un amigo, "
"Received points from a friend, ","Puntos recibidos de un amigo, "
"Not enough points for transaction. You have %s, but you need %s.","No tienes los puntos suficientes para la transacci&oacute;n. Tienes %s, pero necesitas %s."
"You received %s for signing up!","¡Has recibido %s por registrarte!"
"Could not transfer points.","No se pudo transferir puntos."
"You received %s for signing up to a newsletter","Has recibido %s por registrarte al Newsletter"
"Could not interface with customer rewards system.","No se pudo interconectar con el sistema de recompensas del cliente."
"You received %s for voting","Has recibido %s por votar"
"Please log in, or sign up to apply point redemptions!","Por favor, inicia sesi&oacute;n o registrate para solicitar la transaci&oacute;n de puntos!"
"Unable to load the redeem points hash","No se pudieron cargar los puntos canjeadoss"
"You will receive %s upon approval of this review","Recibir&aacute;s %s una vez aprobado esta opini&oacute;n"
"You received %s for sending your friend this product","Has recibido %s por el env&iacute;o de este producto a tu amigo"
"No points","0 puntos"
"No Points","0 Puntos"
"You will receive %s upon approval of this tag.","Recibir&aacute;s %s una vez aprobada esta etiqueta."
"Click to see a breakdown of how your points affect this line item.","Haz clic aqu&iacute; para ver un desglose de c&oacute;mo tus puntos afectan a esta l&iacute;nea de art&iacute;culo."
"Points Spent","Puntos Gastados"
"off","off"
"No points.","0 puntos."
"Points Earned","Puntos ganados"
"as low as","por s&oacute;lo"
"with","con"
"Redeem Your Points","Canjea tus puntos"
"Send Points to a Friend","Enviar Puntos a un Amigo"
"Transfer Manager","Administrador de transferencia"
"Currency Manager","Administrador de divisas"
"Add Currency","A&ntilde;adir divisa"
"Special Points Rules","Normas especiales de Puntos"
"Add New Special Rule","A&ntilde;adir nueva norma especial"
"Spends X Points","Gasta X Puntos"
"Spends X points for every Y dollar amount in price","Gasta X Puntos por cada Y euros de precio"
"[WARN:ALPHA] For every X points spent, discount Y from price","[WARN:ALPHA] Por cada X puntos gastados, descuenta Y del precio"
"--Don\'t Transfer Points--","--No\ haga transferencia de puntos--"
"Give X points to customer","Dar X puntos al cliente"
"For every Y dollar amount in price, give X points","Por cada Y Euros en el precio dar X puntos"
"Deduct X points from customer","Deducir X puntos del cliente"
"For every Y amount spent, deduct X points","Por cada Y cantidad gastados, deducir X puntos"
"An error occured trying to apply the redemption while adding the product to your cart: ","Un error ha ocurrido al intentar aplicar el canjeo mientras que se a&ntilde;ad&iacute;a el producto a su carrito: "
"For every Z qty purchased, deduct X points","Por cada Z cantidad comprado, deducir X puntos"
" For every X points spent, discount Y from price"," Por cada X puntos gastados, deducir Y del precio"
"For every Y amount spent, give X points","Por cada Y cantidad gastados, dar X puntos"
"For every Z qty purchased, give X points","Por cada Z cantidad comprado, dar X puntos"
"Writes review","Escribe opin&iacute;on"
"Rates a product","Comenta sobre un producto"
"Signs up","Se registra"
"Votes in poll","Vota en la encuesta"
"Sends product to friend","Env&iacute;a producto a un amigo"
"Signs up for a newsletter","Se inscribe para un bolet&iacute;n de noticias"
"Makes a new tag","Crea una nueva etiqueta"
"Points Distribution","Distribuci&oacute;n de los puntos"
"Points Redeemed on Order","Puntos canjeados en el pedido"
"System Adjustment","Ajuste del sistema"
"Points Received From a Friend","Puntos recibidos de un amigo"
"Points Given To a Friend","Puntos regalados a un amigo"
"Points Revoked","Puntos revocados"
"Administrative Adjustment","Ajuste administrativo
"WARNING: UNSPECIFIED REASON","ADVERTENCIA: MOTIVO NO ESPECIFICADO"
"Poll","Encuesta"
"Rating","Clasificaci&oacute;n"
"Transfer","Transferencia"
"Signup","Reg&iacute;strate"
"To Friend","A un amigo"
"From Friend","De Un amigo"
"A valid redemption id to apply to this cart was not selected.","No se ha seleccionado una Identificaci&oacute;n v&aacute;lida de canjeo para aplicar a este carrito."
"The rule ","La regla "
"You do have have enough %s Points.","Tienes %s puntos suficientes."
"The rule entitled ","La regla titulada "
"All requested reward redemptions were applied to your cart","Todos los puntos de canjeo solicitados se han aplicado a tu carrito"
"An error occured while trying to apply the redemption to your cart.","Se produjo un error al tratar de aplicar el canjeo a tu carrito."
"All requested reward redemptions were removed from your cart","Todos los puntos de canjeo solicitados se han eliminado de tu carrito"
"An error occured while trying to remove the redemption from your cart.","Se produjo un error al intentar eliminar el canjeo de tu carrito."
"Please log in or sign up to apply point redemptions!","¡Por favor, inicia sesi&oacute;n o registrate para solicitar el canjeo de puntos!"
"An item was not selected or the item selected was invalid","Un art&iacute;culo no fue seleccionado o el art&iacute;culo seleccionado no es v&aacute;lido"
"A valid redemption id to apply to this product was not selected.","Una Identificaci&oacute;n de canje v&aacute;lida para aplicar a este producto no fue seleccionada."
"All requested reward redemptions were applied to the product.","Todos los puntos de canjeo solicitados se aplicaron al art&iacute;culo."
"All requested reward redemptions were removed from the product.","Todos los puntos de canjeo solicitados fueron eliminados del art&iacute;culo."
"Sorry, you are not authorized to be access this section.","Lo sentimos, no est&aacute;s autorizado a acceder a esta secci&oacute;n."
"There is no customer with that email address (%s).","No hay ning&uacute;n cliente con esa direcci&oacute;n de correo electr&oacute;nico (%s)."
"%s is not allowed to use the %s points currency.","%s no tiene permitido el uso de %s puntos."
"You must log in or sign up before sending points to a friend!","¡Debes iniciar sesi&oacute;n o registrarte antes de enviar puntos a un amigo!"
"You cannot send %s points to %s when you only have %s!","No puedes enviar %s a %s cuando s&oacute;lo tienes %s!"
"You have successfully sent %s to %s!","Has enviado con &eacute;xito %s a %s!"
"Currency does not exist","Esta divisa no existe"
"Can not create currencies. Available in future upgrades of Sweet Tooth.","No se puede crear divisas. Disponible en futuras actualizaciones de Sweet Tooth."
"currency was successfully saved","la divisa se guard&oacute; con &eacute;xito"
"Can not delete currency. Available in future upgrades of Sweet Tooth.","No se puede borrar divisas. Disponible en futuras actualizaciones de Sweet Tooth."
"Can not execute a mass delete","No se puede ejecutar un borrado masivo"
"Please select transfer(s)","Por favor, seleccione Transferencia(s)"
"Transfer does not exist","La transferencia no existe"
"Transfer was successfully saved","La transferencia se guard&oacute; con &eacute;xito"
"Edit User ","Editar usuario "
"Rating isn","Clasificaci&oacute;n no es"
"All Point Transfers","Todas las transferencias de puntos"
"You will be redirected to Amazon Checkout website when you place an order.","Ser&aacute;s redirigido a la p&aacute;gina web de "Amazon Realizar Pedido" cuando realices un pedido."
"Checkout by Amazon","Realizar Pedido por Amazon"
"Search results for ","Resultados de la b&uacute;squeda para "
"Before Points","Antes de los Puntos"
"You","Tu"
"You will be redirected to Google Checkout website when you place an order.","Ser&aacute;s redirigido a la p&aacute;gina web de "Google Realizar Pedido" cuando realices un pedido."
"Fast checkout through Google","Realizar Pedido por Google"
"Paypal UK Checkout","Realizar Pedido por Paypal UK"
"My Points and Rewards","Mis puntos y premios"
"Tags Aren","Las etiquetas no son"
"Use spaces to separate tags. Use single quotes (","Usa espacios para separar las etiquetas. Usa comillas simples ("
"Search Results for ","Resultados de la b&uacute;squeda para "
"Products tagged with ","Art&iacute;culos etiquetados con "
"Edit Category  ","Editar Categor&iacute;a  "
"Edit Comment By ","Editar el comentario de "
"Eamil Address","Direcci&oacute;n de correo electr&oacute;nico"
"Save Currency","Guardar Divisa"
"Delete Transfer","Borrar transferencia"
"Edit Currency #%s","Borrar Divisa #%s"
"Create New Currency","Crear Nueva Divisa"
"Is Active","Est&aacute; Activo"
"Catalog Points Rules","Reglas de los Puntos del cat&aacute;logo"
"Shopping Cart Points Rules","Reglas de los Puntos del carrito de compra"
"Edit Rule ","Editar regla "
"Save Transfer","Guardar Transferencia"
"Create A New Transfer","Crear una nueva transferencia"
"Revoke Transfer","Revocar transferencia"
"Edit Transfer #%s","Editar transferencia #%s"
"Created Time","Hora de creaci&oacute;n"
"Customer ID","ID de cliente"
"Reason","Raz&oacute;n"
"Comments/Notes","Comentarios/Notas"
"You are trying to redeem more points than you have in","Est&aacute;s tratando de canjear m&aacute;s puntos de los tienes en"
"You are trying to redeem points but you","Est&aacute;s tratando de canjear puntos pero"
"<i>No points</i>.","<i>Ning&uacute;n Punto</i>."
"Please enter a number more than zero (0).","Por favor introduce un n&uacute;mero mayor que cero (0)."
"Could not approve points.","No se pudo aprobar puntos."
"Failed to transfer points to customer %s","Error al transferir puntos al cliente %s"
"Successfully transfered %s to %s customer(s).","Transferidos con &eacute;xito %s a %s customer(s)."
"Woops, ran into error while trying to process your request: ","Hubo un error al intentar procesar tu solicitud: "
"Catalog Point Rule","Regla del Punto de cat&aacute;logo"
"You must still APPLY rules before they will take effect!","¡Debes a&uacute;n APLICAR las reglas antes de que entren en vigor!"
"The rule you are trying to delete no longer exists","La regla que est&aacute;s tratando de borrar ya no existe"
"Please use in this field only ","Por favor, use en este campo s&oacute;lo "
"Currency Image Preview","Imagen previa de la divisa"
"Customer Point Balances","Saldos de Puntos del clientes"
"Customer Point Distributions","Distribuci&oacute;nes de Puntos del clientes"
"Customer Point Redemptions","Canjeo de Puntos del clientes"
"Your billing address will be ignored and you will be redirected to Amazon Simple Pay website.","Tu direcci&oacute;n de facturaci&oacute;n se ignorar&aacute; y ser&aacute;s redirigido al sitio web de Amazon Simple Pay."
"You will be redirected to Amazon Simple Pay in a few seconds.","Ser&aacute;s redirigido al sitio web de Amazon Simple Pay en unos segundos."
"Your billing address will be ignored and you will be redirected to Checkout by Amazon website.","Tu direcci&oacute;n de facturaci&oacute;n se ignorar&aacute; y ser&aacute;s redirigido a la caja por el sitio web de Amazon."
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d art&iacute;culo(s)</strong> se encontraron con los criterios de b&uacute;squeda siguientes"
"Don","Hecho"
"Keep me logged in","Manterme conectado"
"Use Your Rewards Points!","¡Utiliza tus puntos de recompensa!"
"Your redemptions:","Tus canjeos:"
"You have applied no redemptions to this cart.","No se ha aplicado ning&uacute;n canjeo al carrito."
"More ways to redeem:","M&aacute;s formas de canjear:"
"You must be logged in to redeem points. To proceed to the log-in page press OK.","Debes iniciar sesi&oacute;n para canjear los puntos. Para proceder, haz clic en Aceptar."
"You cannot spend more points on this cart.","No puedes gastar m&aacute;s puntos en este carrito."
"Points you will earn:","Puntos que obtendr&aacute;s:"
"No extra points to earn on this cart.","Ning&uacute;n punto extra que ganar en este carrito."
"You Will Earn:","Obtendr&aacute;s:"
"You Will Spend:","Gastar&aacute;s:"
"Not Enough Points!","¡No suficientes puntos!"
"There are currently no products you can purchase using your points.","Actualmente no hay art&iacute;culos que puedas comprar con tus puntos."
"Point Amount:","Cantidad de Puntos:"
"Currency:","Divisa:"
"Comment:","Comentarios:"
"Send to Friend","Enviar a un amigo"
"My Points","Mis Puntos"
"Balance: ","Saldo: "
"To Spend: ","A Gastar: "
"You are spending too many points!  You may not be able to checkout.","¡Est&aacute;s gastando demasiados puntos! Puede que no sea posible Realizar el Pedido."
"Remaining: ","Restantes: "
"You have no points to spend.","No tienes puntos para gastar."
"You have %s to spend.","Tienes %s para gastar."
"You are trying to redeem points without being logged in.  Please log-in or create a new account to spend points.","Est&aacute;s tratando de canjear puntos sin estar conectado, Por favor, inicia sesi&oacute;n o crea una cuenta para gastar puntos."
"Please log-in or create an account, to use your points.","Por favor, inicia sesi&oacute;n o crea una cuenta para gastar tus puntos."
"Manage My Points","Administrar mis Puntos"
"Log-in or create a new account","Iniciar sesi&oacute;n o crear una cuenta nueva"
"Points Summary","Resumen de los puntos"
"My Points & Rewards","Mis puntos y premios"
"You have %s in your account.","Tienes %s en tu cuenta."
"%s pending approval are pending approval.","%s pendiente de aprobaci&oacute;n est&aacute;n pendientes de aprobaci&oacute;n."
"%s are on hold.","%s est&aacute;n en espera."
"Take a look at our rewards catalog today.","Echa un vistazo a nuestro cat&aacute;logo de premios."
"You have no transfers.","No tienes ning&uacute;na transferencia."
"Free using <b>%s!</b>","Gratis, con <b>%s!</b>"
"As low as <b>%s</b> using <b>%s</b>","Por s&oacute;lo <b>%s</b> usando <b>%s</b>"
"Earn %s","Gana %s"
"You have %s","Tienes %s"
"You could receive %s for writing ","Podr&iacute;as recibir %s por escribir "
"Order ##","Pedido ##"
"Unable to find any products tagged with ","No se ha encontrado ning&uacute;n art&iacute;culo etiquetado con "
"RSS link to %s","Enlace RSS a %s"
"Unapproved","No aprobado"
"Points Currency Information","Informaci&oacute;n de la divisa de los puntos"
"Points Appearance","Aspecto de los Puntos"
"Make Transfer","Haz la transferencia"
"Give Points","Regalar Puntos"
"Are you sure you want to create the transfer for all selected customers?","¿Est&aacute;s seguro que deseas crear la transferencia para todos los clientes seleccionados?"
"Deduct Points","Descontar puntos"
"Catalog Points Distribution Rules","Reglas de distribuci&oacute;n de los Puntos del cat&aacute;logo"
"Add New Catalog Distribution Rule","A&ntilde;adir nueva Regla de distribuci&oacute;n del cat&aacute;logo"
"Catalog Points Redemption Rules","Reglas de canjeo de los Puntos del cat&aacute;logo"
"Add New Catalog Redemption Rule","A&ntilde;adir nueva Regla de canjeo del cat&aacute;logo"
"Shopping Cart Points Distributions Rules","Reglas de distribuci&oacute;n de los Puntos del carrito de compras"
"Add New Cart Distributions Rule","A&ntilde;adir nueva Regla de distribuci&oacute;n de puntos del carrito de compras"
"Shopping Cart Points Redemption Rules","Reglas de canjeo de puntos del carrito de compras"
"Add New Cart Redemption Rule","A&ntilde;adir nueva Regla de canjeo de puntos del carrito de compras"
"Special Rule Edit","Edici&oacute;n especial de Reglas"
"Transfer Information","Informaci&oacute;n de la Transferencia"
"Reference Order","Pedido de referencia"
"Reference Poll","Encuesta de referencia"
"Reference Friend","Amigo de Referencia"
"Reference Review/Rating","Opini&oacute;n/Puntuaci&oacute;n de referencia"
"Reference Other Transfer","Otras transferencias de referencia"
"Reference Product Tag","Etiqueta de art&iacute;culo, de referencia"
"You are currently subscribed to ","Actualmente est&aacute;s suscrito a "
"You Will Spend","Gastar&aacute;s"
"You cannot use points until you login or create a new account.","No puedes usar puntos hasta que inicies sesi&oacute;n o crees una nueva cuenta."
"Use Your Points","Utiliza tus Puntos"
"costs","costes"
"You will earn %s for buying this product","Ganar&aacute;s %s por la compra de este producto"
"Stock","Existencias"
"Sale items %s to %s of %s.","Art&iacute;culos de la venta %s a %s de %s."
"Showing %s Item(s) on sale.","Mostrando %s Art&iacute;culo(s) en venta."
"Currency Appearance","Aspecto de la divisa"
"Image Path (relative to store skin)","Directorio de la imagen (en relaci&oacute;n al dise&ntilde;o de la tienda )"
"Image Width (px)","Ancho de la imagen (px)"
"Image Height (px)","Altura de la imagen (px)"
"Print Points on Image","Imprimir los Puntos en la imagen"
"Font Path (relative to store skin)","Directorio de la fuente (en relaci&oacute;n al dise&ntilde;o de la tienda )"
"Font Size (pt)","Tama&ntilde;o de la Fuente (pt)"
"Font Color (numeric)","Color de la Fuente (num&eacute;rico)"
"Font Left Offset","Desplazamiento izquierdo de la fuente"
"Font Top Offset","Desplazamiento superior de la fuente"
"Currency Caption","Leyenda de la divisa"
"Plural Currency Caption","Leyenda plural de la divisa"
"Currency Value","Valor de la divisa"
"Catalog Points Redemption Rule","Regla de canjeo de los puntos del cat&aacute;logo"
"Catalog Points Distribution Rule","Regla de distribuci&oacute;n de los puntos del cat&aacute;logo"
"Shopping Cart Points Redemption Rule","Regla de canjeo de los puntos del carrito de compras"
"Shopping Cart Points Distribution Rule","Regla de distribuci&oacute;n de los puntos del carrito de compras"
"Grant Points","Otorgar puntos"
"Customer...","Cliente..."
"Customer Group Is... ","El grupo del cliente es... "
"Date is After...","La fecha es despues de..."
"Date is Before...","La fecha es anterior a..."
"Date is Before: ","La fecha es anterior a: "
"Points Currency","La divisa de los Puntos"
"Transfer Style","Estilo de la tranferencia"
"Points Amount","Cantidad de puntos"
"Post Date","Fecha de Publicaci&oacute;n"
"Successfully cancelled transfer ID #","Transferencia ID # cancelada con &eacute;xito #"
"Could not successfully revoke points associated with cancelled order.","No se pudo revocar con &eacute;xito los puntos asociados al pedido cancelado."
"Item Discounts","Descuentos del art&iacute;culo"
"Attribute group with the \",Attribute group with the \"","Grupo del Atributo con la \",Grupo del Atributo con la \""
"Your Points","Tus puntos"
"Reward With Points","Premiar con Puntos"
"Points Amount (X)","Cantidad de puntos (X)"
"Monetary Step (Y)","Paso monetario (Y)"
"Monetary Step Currency","Divisa del Paso monetario"
"Maximum Total of Points To Transfer (0 for unlimited)","Total m&aacute;ximo de puntos para transferir (0 para ilimitado)"
"Quantity Step (Z)","Paso de cantidad (Z)"
"Clear Selections","Borrar selecciones"
"Shopping Cart Rule Name","Nombre de la regla del carrito de compras"
"Catalog Rule Name","Nombre de la regla del cat&aacute;logo"
"Points Rule ID","ID de la regla de los Puntos"
"Points & Rewards","Puntos y Premios"
"Uses Allowed Per Product (0 for unlimted)","Usos permitidos por producto (0 para ilimitado)"
"Product Conditions","Condiciones del producto"
"Customer Spends Points","El cliente gasta puntos"
"No Additional Discount--","Sin descuento adicional--"
"Monetary Step (Y) (in base currency)","Paso monetario (Y) (en la divisa base)"
"You have earned the following points on this order: ","Has ganado los siguientes puntos en este orden: "
"You have spent the following points on this order: ","Has gastado los siguientes puntos en este orden: "
"Your point transactions are currently pending and will be approved ","Tus transacciones de puntos se encuentran pendientes y ser&aacute;n aprobados "
