"Action","Action"
"DB","BDD"
"Backups Control","Contrôle de sauvegarde"
"Backups Control","Contrôle de sauvegarde"
"Create Backup","Créer une sauvegarde"
"File compressed with Zlib, but this extension is not installed on server","Fichier compressé avec Zlib, mais cette extension n'est pas installée sur le serveur"
"Time","Heure"
"Cannot read backup file","Impossible de lire le fichier de sauvegarde"
"Backup file doesn't exist","Le fichier de sauvegarde n'existe pas"
"Wrong order of creation for new backup","Ordre de création incorrect pour la nouvelle sauvegarde"
"Backups","Sauvegardes"
"Download","Télécharger"
"All types","Tous les types"
"Type","Type"
