"%s and greater","%s et plus"
"<b>%d item(s)</b> were found using the following search criteria","<b>%d article(s)</b> ont été trouvés avec les critères de recherche suivants"
"Home","Accueil"
"Go to Home Page","Allez à la page d'accueil"
"Your search returns no results.","Aucun résultat pour votre recherche."
"There are no search terms available.","Aucun terme de recherche disponible."
"Required Fields","Champs requis"
"Tax Class","Classe de taxe"
"Short Description","Courte description"
"Description","Description"
"Grid","Grille"
"up to %s","jusqu'à %s"
"List","Liste"
"Modify your search","Modifier votre recherche"
"Name","Nom"
"Search Settings","Paramètres de recherche"
"Autogenerated site map","Plan du site généré automatiquement"
"Price","Prix"
"Results","Résultats"
"Search results for '%s'","Résultats de recherche pour '%s'"
"Search results for: '%s'","Résultats de recherche pour : '%s'"
"Search","Recherche"
"Search entire store here...","Recherche ..."
"Search entire store here...","Recherche ..."
"Advanced Search","Recherche avancée"
"Catalog Advanced Search","Recherche avancée dans le catalogue"
"Search Site","Rechercher sur le site"
"SKU","SKU"
"Search Terms","Termes de recherche"
"Popular search terms","Termes de recherche populaires"
"Popular Search Terms","Termes de recherche populaires"
"All","Tous"
"You have to specify at least one search term","Vous devez spécifier au moins un terme de recherche"
