"%s was successfully added to your shopping cart.","%s a été ajouté à votre panier."
"&laquo; Back to Shopping Cart","&laquo; Retour au panier"
"&laquo; Back to Billing Information","&laquo; Retour aux informations de facturation"
"&laquo; Back to Select Addresses","&laquo; Retour à la sélection d'adresses"
"* Required Fields","* Champs requis"
"Easy access to your order history and status","Accès facile vers votre historique et statut de commandes"
"Address","Adresse"
"Address %s of %s","Adresse <span class=""shipment-count"">%s</span> sur %s"
"Email Address","Adresse courriel"
"Billing Address","Adresse de facturation"
"Shipping Address","Adresse de livraison"
"Display number of items in cart","Afficher le nombre d'articles dans le panier"
"Display Cart Summary","Afficher le résumé du panier"
"Display item quantities","Afficher les quantités de l'article"
"Add to Compare","Ajouter au comparateur"
"Add to Cart","Ajouter au panier"
"Move to Wishlist","Ajouter à la <br/>liste-cadeaux"
"Add to Wishlist","Ajouter à la liste-cadeaux"
"Add New Address","Ajouter une nouvelle adresse"
"Cancel Coupon","Annuler la réduction"
"Recently added item(s)","Article(s) ajouté(s) récemment"
"Items","Articles"
"Are you sure you would like to remove this item from the shopping cart?","Êtes-vous certain de vouloir retirer cet article du panier ?"
"Allow Guest Checkout","Autoriser le passage de commande en tant qu'invité"
"Your Checkout Progress","Avancement de votre commande"
"Edit Address","Éditer l'adresse"
"Edit Billing Address","Éditer l'adresse de facturation"
"Edit Shipping Address","Éditer l'adresse de livraison"
"State/Province","État/Province"
"Some of the products you requested are not available in the desired quantity","Certains produits que vous avez demandés ne sont plus disponibles dans la quantité souhaitée"
"Some of the products you requested are unavailable","Certains produits que vous avez demandés sont indisponibles"
"Loading next step...","Chargement en cours de l'étape suivante..."
"Select a billing address from your address book or enter a new address.","Choisissez une adresse de facturation dans votre carnet d'adresses ou saisissez une <a href=""#"" onclick=""billing.newAddress(true); return false;"">nouvelle adresse</a>."
"Select a shipping address from your address book or enter a new address.","Choisissez une adresse de livraison dans votre carnet d'adresses ou saisissez une <a href=""#"" onclick=""shipping.newAddress(true); return false;"">nouvelle adresse</a>."
"Click <a href=""%s"" target=""_blank"">here to print</a> a copy of your order confirmation.","Cliquez <a href=""%s"" target=""_blank"">ici pour imprimer</a> la confirmation de votre commande."
"Zip/Postal Code","Code postal"
"Discount Codes","Codes de remises"
"Order Success","Commande réussie"
"Street Address 2","Complément d'adresse"
"Confirm Password","Confirmer votre mot de passe"
"Create Billing Address","Créer une adresse de facturation"
"Create Shipping Address","Créer une adresse de livraison"
