"(eg: domain.com/identifier)","(ex: domaine.com/identifiant)"
"Home","Accueil"
"Action","Action"
"Enabled","Activé"
"Show breadcrumbs for CMS pages","Afficher le chemin de navigation pour les pages CMS"
"Add New Block","Ajouter un nouveau bloc"
"Add New Page","Ajouter une nouvelle page"
"Go to Home Page","Aller à la page d'accueil"
"Edit Page","Éditer la page"
"Edit Page '%s'","Éditer la page '%s'"
"Edit Block","Éditer le bloc"
"Edit Block '%s'","Éditer le bloc '%s'"
"Block was successfully saved","Bloc sauvegardé avec succès"
"CMS Blocks","Blocs CMS"
"Static Blocks","Blocs statiques"
"This block no longer exists","Ce bloc n'existe plus"
"This page no longer exists","Cette page n'existe plus"
"CMS","CMS"
"Content","Contenu"
"Date Created","Date de création"
"Custom Theme From","Date de début du thème personnalisé"
"Custom Theme To","Date de fin du thème personnalisé"
"Disabled","Désactivé"
"Description","Description"
"Custom Design","Design personnalisée"
"Manage Blocks","Gérer les blocs"
"Manage Pages","Gestion des pages"
"Poll Manager","Gestion des sondages"
"Identifier","Identifiant"
"SEF URL Identifier","Identifiant de réécriture d'URL"
"Unable to find a block to delete","Impossible de trouver un bloc à supprimer"
"Unable to find a page to delete","Impossible de trouver une page à supprimer"
"Product Tax Class Information","Information de la classe de taxe produit"
"Block Information","Informations bloc"
"Customer Tax Class Information","Informations de classe de taxe client"
"Page Information","Informations de la page"
"General Information","Informations générales"
"Such a block identifier in selected store already exist.","L'identifiant de bloc existe déjà pour le magasin choisi."
"Page Identifier for specified store already exist.","L'identifiant de page existe déjà pour le magasin choisi."
"Page Identifier cannot consist only of numbers.","L'identifiant de page ne peut pas être composé uniquement de chiffres."
"Page was successfully saved","La page a été sauvée avec succès"
"The page you are trying to save no longer exists","La page que vous essayez de sauvegarder n'existe plus"
"Block was successfully deleted","Le bloc a été effacé"
"Meta Description","Méta description"
"Meta Data","Meta Données"
"Layout","Mise en page"
"Last Modified","Modifié le"
"Keywords","Mots clés"
"Meta Keywords","Mots-clés Meta"
"New Block","Nouveau bloc"
"New Page","Nouvelle page"
"CMS Home Page","Page d'accueil CMS"
"CMS No Route Page","Page non trouvée CMS"
"Page was successfully deleted","Page supprimée avec succès"
"CMS Pages","Pages CMS"
"Preview","Prévisualiser"
"Save Page","Sauvegarder la page"
"Save Block","Sauvegarder le bloc"
"Status","Statut"
"Page Status","Statut de la page"
"Delete Page","Supprimer la page"
"Delete Block","Supprimer le bloc"
"Custom Theme","Thème personnalisé"
"Title","Titre"
"Block Title","Titre bloc"
"Page Title","Titre de page"
"All countries","Tous les pays"
"Store View","Vue magasin"
"Layout Update XML","XML de mise à jour de la mise en page"
