"Payment Action","Action de paiement"
"Enabled","Activé"
"Authorize.net","Authorize.net"
"Authorize and Capture","Autorisation et collecte"
"Authorize Only","Autorisation seulement"
"Transaction key","Clé de transaction"
"Merchant's email","Courriel du commerçant"
"Debug","Déboguage"
"Email customer","Envoyer un courriel au client"
"Payment authorization error.","Erreur d'autorisation de paiement."
"Error in payment gateway","Erreur de la passerelle de paiement"
"Gateway request error: %s","Erreur de requête passerelle: %s"
"Error in authorizing the payment","Erreur lors de l'autorisation de paiement"
"Error in capturing the payment","Erreur lors de la collecte des informations de paiement"
"Error in retrieving the transaction","Erreur lors de la récupération de la transaction"
"Error in refunding the payment","Erreur lors du remboursement"
"Error in refunding the payment.","Erreur lors du remboursement."
"API Login ID","ID de connexion de l'API"
"Invalid transaction id","Identifiant de transaction invalide"
"Merchant Login","Identifiant du commerçant"
"Payment authorization transaction has been declined.","La transaction de paiement a été refusée."
"Test mode","Mode de test"
"Invalid amount for authorization","Montant invalide pour autorisation"
"Invalid amount for authorization.","Montant invalide pour autorisation."
"Password","Mot de passe"
"Sort order","Ordre de tri"
"Payment from Specific countries","Paiement depuis certains pays"
"Payment from applicable countries","Paiement depuis les pays applicables"
"Partner","Partenaire"
"PayflowPro","Payflow Pro"
"New order status","Statut d'une nouvelle commande"
"Fraud order status","Statut de commande en fraude"
"Title","Titre"
"Voided transaction","Transaction invalidée"
"TENDER","TYPE DE PAIEMENT"
"Credit Card Types","Types de cartes bancaires"
"URL","URL"
"User","Utilisateur"
"Credit Card Verification","Vérification de carte de crédit"
"VERBOSITY","VERBOSITÉ"
