"%s - Discounts and Coupons","%s - Remises et coupons"
"%s - Special Discounts","%s - Remises spéciales"
"%s has reached a quantity of %s.","%s a atteint la quantité de %s."
"Enable RSS","Activer le RSS"
"To:","À:"
"Catalog","Catalogue"
"Top Level Category","Catégorie racine"
"click <a href=""%s"">here</a> to view the review","cliquez <a href=""%s"">ici</a> pour voir le commentaire"
"Purchased From: %s","Commandé sur : %s"
"Order #%s created at %s","Commande n°%s créée le %s"
"Review: %s <br/>","Commentaire : %s <br/>"
"Comment: %s<br/>","Commentaire : %s<br/>"
"Pending product review(s)","Commentaire(s) de produit en attente"
"Rss Config","Configuration RSS"
"Coupons/Discounts","Coupons/Réductions"
"Notified Date: %s<br/>","Date notifiée : %s<br/>"
"Details for %s #%s","Détails pour %s n°%s"
"From:","De:"
"Error in processing xml. %s","Erreur lors du traitement XML. %s"
"RSS Feeds","Flux RSS"
"There are no %s.","Il n'y a pas de %s."
"Cannot retrieve the wishlist","Impossible de récupérer la liste-cadeaux"
"Tags Products","libellés produits"
"Wishlist","Liste-cadeaux"
"%s's Wishlist","Liste-Cadeaux de %s"
"Shipping & Handling","Livraison et manutention"
"Store: %s <br/>","Magasin : %s <br/>"
"Message:","Message :"
"Gift Message","Message du cadeau"
"Customer Name: %s","Nom du client : %s"
"Customer Order Status Notification","Notification de statut de commande client"
"Order # %s Notification(s)","Notification(s) de la commande n°%s"
"New Products","Nouveaux produits"
"New Products from %s","Nouveaux produits de %s"
"New Orders","Nouvelles commandes"
"Product: <a href=""%s"">%s</a> <br/>","Produit : <a href=""%s"">%s</a> <br/>"
"Product: ""%s"" review By: %s","Produit: ""%s"" commentaire par : %s"
"Low Stock Products","Produits ayant un bas niveau de stock"
"Products tagged with %s","Produits libellés avec %s"
"Special Products","Produits spéciaux"
"Special/Discount Products","Produits spéciaux/avec remise"
"Get Feed","Récupérer le flux"
"Discount ","Réduction "
"Summary of review: %s <br/>","Résumé du commentaire : %s <br/>"
"Subtotal","Sous-total"
"Current Status: %s<br/>","Statut actuel : %s<br/>"
"Tax","Taxe"
"Grand Total","Total"
"Total: %s<br/>","Total : %s<br/>"
