"Add","Ajouter"
"Apply","Appliquer"
"to","à"
"Please choose an action to add...","Choisissez une action à ajouter..."
"Please choose a condition to add...","Choisissez une condition à ajouter..."
"Start at: %s","Débute le : %s"
"Description: %s","Description : %s"
"Perform following actions","Effectuer les actions suivantes"
"is","est"
"Expire at: %s","Expire le : %s"
"FALSE","FAUSSES"
"is not","n'est pas"
"Name: %s","Nom : %s"
"Open Chooser","Ouvrir le sélecteur"
"If %s of these conditions are %s:","Si %s ces conditions sont %s :"
"Remove","Supprimer"
"by","sur"
"ALL","TOUTES"
"ANY","UNE OU PLUSIEURS DE"
"TRUE","VRAIES"
