"%s order(s) succesfully canceled","%s commandes ont bien été annulées"
"%s order(s) successfully put on hold","%s commandes ont bien été bloquées"
"%s order(s) succesfully released from holding status","%s commandes ont bien été débloquées"
"<span style=""color:red"">Requires Tax Based On Shipping Origin</span>","<span style=""color :red"">Nécessite que les taxes soient basées sur l'origine de livraison</span>"
"<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>","<span style=""color:red"">Avertissement : doit être paramétré à ""Non"" quand les prix catalogue incluent les taxes</span>"
"Order Date: %s","<strong>Date de commande :</strong> %s"
"About This Order:","A propos de cette commande :"
"About Your Order","A propos de votre commande"
"Purchased from (store)","Acheté sur"
"Purchased From","Acheté sur"
"Action","Action"
"Actions","Actions"
"Address","Adresse"
"Billing Address","Adresse de facturation"
"Shipping Address","Adresse de livraison"
"Add to Cart","Ajouter au panier"
"Add To Order","Ajouter à la commande"
"Add Order Comments","Ajouter des commentaires de commande"
"Append Comments","Ajouter les commentaires"
"Add Selected Product(s) to Order","Ajouter les produits sélectionnés à la commande"
"Add a gift message for <strong>each gift item</strong>","Ajouter un message cadeau pour <strong>chaque article cadeau</strong>"
"Add a gift message for the <strong>entire order</strong>","Ajouter un message cadeau pour <strong>toute la commande</strong>"
"Add","Ajouter un nouveau rôle"
"Add Tracking Number","Ajouter un numéro de suivi"
"Add Product","Ajouter un produit"
"Add New Address","Ajouter une nouvelle adresse"
"Canceled","Annulée"
"Cancel","Annuler"
"Apply","Appliquer"
"Apply Tax after Discount","Appliquer les taxes après la remise"
"Apply Coupon Code","Appliquer un bon de réduction"
"Item","Article"
"Items to Ship","Articles à expédier"
"Items to Invoice","Articles à facturer"
"Items to Refund","Articles à rembourser"
"Items Ordered","Articles commandés"
"Items Shipped","Articles expédiés"
"Items Invoiced","Articles facturés"
"Items Refunded","Articles remboursés"
"Mixed","Assortiment"
"Are you sure you want to cancel this order?","Êtes-vous certain de vouloir annuler cette commande ?"
"No items","Aucun article"
"No detail for number ""%s""","Aucun détail pour le numéro ""%s"""
"No Payment Methods","Aucun mode de paiement"
"Allow Reorder","Autoriser le renouvellement de commande"
"Notify Customer","Avertir le client"
"Creditmemo","Avoir"
"Credit Memo","Avoir"
"Creditmemos","Avoirs"
"Credit Memos","Avoirs"
"PDF Credit Memos","Avoirs PDF"
"Edit","Éditer"
"Unknown State","État inconnu"
"State/Province","État/Région"
"To:","À :"
"On Hold","Bloquée"
"Hold","Bloquer"
"Coupons","Bons de réduction"
"PDF Packingslips","Bordereaux de livraison PDF"
"Gift","Cadeau"
"Tax Calculation","Calcul des taxes"
"Capture Online","Capturer en ligne"
"Capture Offline","Capturer hors ligne"
"Store Credit","Carte de crédit du magasin"
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","Certains articles ont des quantités supérieures à celles autorisées. Veuillez saisir une quantité plus faible avant de régler."
"This order no longer exists.","Cette commande n'existe plus."
"Gift Certificate","Chèque cadeau"
"Tax Class for Shipping","Classe de taxe pour la livraison"
"Click to change shipping method","Cliquer pour changer le mode de livraison"
"ZIP/Post Code","Code postal"
"Capture","Collecter"
"Capture Amount","Collecter le montant"
"Ordered","Commandé"
"Order","Commande"
"Order # %s","Commande N°%s"
"Order #%s","Commande N°%s"
"Order #%s - %s","Commande N°%s - <small><em>%s</em></small>"
"Order # %s | Order Date %s","Commande n°%s | Date %s"
"Orders","Commandes"
"Recent Orders","Commandes récentes"
"Comment","Commentaire"
"Order Comment","Commentaire de la commande"
"Credit Memo Comments","Commentaires d'avoir"
"Order Comments","Commentaires de commande"
"Invoice Comments","Commentaires de facture"
"Shipment Comments","Commentaires de livraison"
"Email","Courriel"
"Invoice email sent","Courriel de facture envoyé"
"Invoice email not sent","Courriel de facture non envoyé"
"Credit Memo email sent","Courriel de l'avoir envoyé"
"Credit Memo email not sent","Courriel de l'avoir non envoyé"
"Shipment email sent","Courriel de livraison envoyé"
"Shipment email not sent","Courriel de livraison non envoyé"
"Sales Emails","Courriels des ventes"
"Created At","Créé le"
"Create","Créer"
"Create Shipment","Créer la livraison"
"Create New Customer","Créer un nouveau client"
"Create New Order","Créer une nouvelle commande"
"Create New Order for %s","Créer une nouvelle commande pour %s"
"Create New Order for %s in %s","Créer une nouvelle commande pour %s dans %s"
"Create New Order for New Customer","Créer une nouvelle commande pour un nouveau client"
"Create New Order for New Customer in %s","Créer une nouvelle commande pour un nouveau client dans %s"
"Date","Date"
"Purchased On","Date d'achat"
"Date Shipped","Date d'expédition"
"Order Date","Date de commande"
"Order Date: ","Date de commande :"
"Invoice Date","Date de facturation"
"Unhold","Débloquer"
"Sorry, no quotes are available for this order at this time.","Désolé, aucune estimation n'existe pour cette commande pour l'instant"
"Order Details","Détails de la commande"
"From:","De :"
"From Name","De la part de"
"Last ordered items","Derniers articles commandés"
"Order Currency:","Devise de la commande :"
"Document","Document"
"Pending","En attente"
"Backordered","En attente de stock"
"Are you sure? This order will be cancelled and a new one will be created instead","En êtes-vous certain ? Cette commande va être supprimée et une nouvelle va être créée à la place"
"Are you sure?","En êtes-vous sûr ?"
"Processing","En cours de traitement"
"Save in address book","Enreigistrer dans le carnet d'adresses"
"From","Entre"
"Submit Order","Envoyer la commande"
"Email Order Confirmation","Envoyer la confirmation de commande par courriel"
"Send Tracking Information","Envoyer les informations de suivi"
"Email Copy of Credit Memo","Envoyer une copie de l'avoir par courriel"
"Email Copy of Invoice","Envoyer une copie de la facture par courriel"
"Email Copy of Shipment","Envoyer une copie de la livraison par courriel"
"Send Credit Memo Email Copy To","Envoyer une copie du courriel d'avoir à"
"Send Order Email Copy To","Envoyer une copie du courriel de commande à"
"Send Credit Memo Comment Email Copy To","Envoyer une copie du courriel de commentaire d'avoir à"
"Send Order Comment Email Copy To","Envoyer une copie du courriel de commentaire de commande à"
"Send Invoice Comment Email Copy To","Envoyer une copie du courriel de commentaire de facture à"
"Send Shipment Comment Email Copy To","Envoyer une copie du courriel de commentaire de livraison"
"Send Invoice Email Copy To","Envoyer une copie du courriel de facture à"
"Send Shipment Email Copy To","Envoyer une copie du courriel de livraison à"
"Item qty declare error","Erreur de déclaration de la quantité d'articles"
"Credit Memo cancel error.","Erreur lors de l'annulation de l'avoir."
"Invoice cancel error.","Erreur lors de l'annulation de la facture"
"Credit Memo void error","Erreur lors de l'invalidation de l'avoir"
"Invoice void error","Erreur lors de l'invalidation de la facture"
"Invoice capture error","Erreur lors de la collecte de la facture"
"Order saving error: %s","Erreur lors de la sauvegarde de la commande : %s"
"To","Et"
"Ship","Expédier"
"Credit Memo Email Sender","Expéditeur du courriel d'avoir"
"Shipment Email Sender","Expéditeur du courriel d'expédition"
"Credit Memo Comment Email Sender","Expéditeur du courriel de commentaire d'avoir"
"Order Comment Email Sender","Expéditeur du courriel de commentaire de commande"
"Invoice Comment Email Sender","Expéditeur du courriel de commentaire de facture"
"Shipment Comment Email Sender","Expéditeur du courriel de commentaire de livraison"
"New Order Confirmation Email Sender","Expéditeur du courriel de confirmation de commande"
"Invoice Email Sender","Expéditeur du courriel de facture"
"Shipment #","Expédition N°"
"Shipments","Expéditions"
"Invoiced","Facturé"
"Invoice","Facture"
"Invoice #%s","Facture N°%s"
"Invoices","Factures"
"PDF Invoices","Factures PDF"
"Closed","Fermée"
"New Order RSS","Flux RSS des nouvelles commandes"
"Adjustment Fee","Frais d'ajustement"
"Adjustment Fee:","Frais de dossier :"
"Invoice Email Template","Gabarit courriel de facture"
"New Order Confirmation Template for Guest","Gabarit de confirmation de nouvelle commande pour un invité"
"New Order Confirmation Template","Gabarit de confirmation nouvelle commande"
"Invoice Comment Email Template","Gabarit de courriel commentaire de facture"
"Credit Memo Email Template","Gabarit de courriel d'avoir"
