"Active","Actif"
"Actions","Actions"
"Add New Rule","Ajouter une nouvelle règle"
"Apply","Appliquer"
"Apply to","Appliquer à"
"Apply the rule to cart items matching the following conditions","Appliquer la règle aux articles du panier qui remplissent les conditions suivantes"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Appliquer la règle seulement aux articles du panier qui remplissent les conditions suivantes (laisser vide pour appliquer à tous les produits du panier)"
"Apply the rule only if the following conditions are met (leave blank for all products)","Appliquer la règle seulement si les conditions suivantes sont remplies (laisser vide pour appliquer à tous les produits)"
"Stop further rules processing","Arrêter l'exécution des règles suivantes"
"Cart Attribute","Attribut de panier"
"Edit Rule '%s'","Éditer la règle '%s'"
"Shipping State/Province","État/Province de livraison"
"Catalog","Catalogue"
"This rule no longer exists","Cette règle n'existe plus"
"Customer registered: %s","Client enregistré: %s"
"Coupon Code","Code du bon de réduction"
"Coupon code","Code du bon de réduction"
"Shipping Postcode","Code postal de livraison"
"Product attribute combination","Combinaison d'attributs de produit"
"Conditions Combination","Combinaison de conditions "
"Conditions combination","Combinaison de conditions "
"Conditions","Conditions"
"Date Expire","Date d'expiration"
"From Date","Date de début"
"Date Start","Date de démarrage"
"To Date","Date de fin"
"Start at: %s","Débute le: %s"
"Description","Description"
"Description: %s","Description : %s"
"Expire at: %s","Expire le: %s"
"Customer Groups","Groupes clients"
"ID","ID"
"Unable to find a page to delete","Impossible de trouver une page à supprimer"
"Inactive","Inactif"
"Rule Information","Informations de règle"
"General Information","Informations générales"
"The page you are trying to save no longer exists","La page que vous essayer de sauvegarder n'existe plus"
"Customer is new buyer: %s","Le client est un nouvel acheteur: %s"
"Free shipping","Livraison gratuite"
"Update product's %s %s: %s","Mettre à jour le %s du produit %s : %s"
"Update the Product","Mettre à jour le produit"
"Update prices using the following information","Mettre à jour les prix en utilisant l'information suivante"
"Shipping Method","Mode de livraison"
"Payment Method","Mode de paiement"
"Edit Rule","Modifier la règle"
"Invalid discount amount.","Montant de remise invalide."
"Uses per coupon","Nb d'utilisations par bon de réduction"
"Uses per customer","Nb d'utilisations par client"
"Rule Name","Nom de la règle"
"Name: %s","Nom: %s"
"No","Non"
"To Fixed Value","Nouveau prix"
"To Percentage","nouveau prix en %%"
"To Fixed Amount","Nouveau prix en montant fixe"
"To Percentage of the original price","Nouveau prix en pourcentage du prix original"
"New Rule","Nouvelle règle"
"Yes","Oui"
"Shipping Country","Pays de livraison"
"Total Weight","Poids total"
"For shipment with matching items","Pour les expéditions avec articles concordants"
"For matching items only","Pour les objets concordants seulement"
"Priority","Priorité"
"Price in cart","Prix dans le panier"
"Special price","Prix promotionnel"
"Promotions","Promotions"
"Public In RSS Feed","Public dans le flux RSS"
"Quantity in cart","Quantité dans le panier"
"Maximum Qty Discount is Applied to","Quantité maxi d'articles bénéficiant de la remise"
"Discount Qty Step (Buy X)","Quantité pour obtenir la remise (Achetez-en X)"
"Total Items Quantity","Quantité totale d'articles"
"Shopping Cart Price Rule","Règle de prix panier"
"Rule was successfully saved","Règle sauvegardée avec succès"
"Rule was successfully deleted","Règle supprimée avec succès"
"Shopping Cart Price Rules","Règles de prix panier"
"Shipping Region","Région de livraison"
"By Fixed Amount","Remise d'un montant fixe"
"Fixed amount discount for whole cart","Remise d'un montant fixe pour l'ensemble du panier"
"By Fixed value","remise d'une valeur de"
"Fixed amount discount","Remise d'une valeur fixe"
"By Percentage","remise en %%"
"Percent of product price discount","Remise en pourcentage du prix du produit"
"By Percentage of the original price","Remise en pourcentage du prix original"
"Save Rule","Sauvegarder la règle"
"NOT LOGGED IN","SESSION FERMEE"
"Subtotal","Sous-total"
"Status","Statut"
"Delete Rule","Supprimer la règle"
"Row total in cart","Total de la ligne du panier"
"Discount amount","Valeur à appliquer"
"Checkout Price Rule","Vérification de la règle de prix"
"Buy X get Y free (discount amount is Y)","X achetés, Y gratuits (la valeur de la remise est Y)"
