"Installed versions","Versions install&eacute;e"
"Not checked yet","Non encore v&eacute;rifi&eacute;"
"Display the orders not yet processed by ERP","Affiche les commandes non encore consid&eacute;r&eacute;es par l'ERP"
"Consider them Now","Les consid&eacute;rer maintenant"
"Order count","Nombre de commandes"
"Order list","Liste des commandes"
"Product which the stock Qty is different from the sum of the stock movements for each warehouse","Produits dont la quantit&eacute;e en stock est diff&eacute;rente de la somme des mouvements de stock pour ce d&eacute;pot"
"Update Stock Movements using stock quantity","Mise &agrave; jour des mouvements de stock en se basant sur la quantit&eacute;e en stock"
"Update stock quantity using Stock Movements","Mise &agrave; jour de la quantit&eacute;e en stock en se basant sur les mouvements de stock"
"All views are present","Toutes les vues sont pr&eacute;sentes"
"None of the view are present","Aucune des vues n'est pr&eacute;sente"
"Some views are missing : %s","Certaines vues sont manquantes : %s"
"Check the presence of the required Views","V&eacute;rifie la pr&eacute;sence des vues n&eacute;c&eacute;ssaire"
"Check the presence of the views : %s, %s, %s and %s","V&eacute;rifie la pr&eacute;sence des vues : %s, %s, %s and %s"
"Product list","Liste des produits"
"Product without Availibility Status","Produits sans status de disponibilit&eacute;"
"Check mandatory settings that garanty ERP correct behaviour","V&eacute;rifie des options dont les valeurs doivent etre obligatoirement d&eacute;finie &agrave; une certaine valeur pour garantir le bon fonctionnement de l'ERP"
"Options with uncorrect settings","Option avec un param&egrave;tre incorrecte"
"Option list","Liste des options"
"Options %s with uncorrect settings","Options %s avec un param&egrave;tre incorrect"
"Product which the Waiting for delivery Qty is not consistant","Produit pour lesquels la quantit&eacute; en attente de livraison est incorrecte"
"Products with a Waiting for delivery Qty issue","Produits avec une quantit&eacute; en attente de livraison incorrecte"
"Product which the Availibility Status is not consistant","Produits pour lesquels le status de disponibilit&eacute; n'est pas coh&eacute;rent"
"Product which the ordered qty is not consistant","Produits pour lesquels la quantit&eacute; command&eacute;e n'est pas coh&eacute;rente"
"Launch the Cron manually in a new tab","Lance le Cron manuellement dans un nouvel onglet"
"Pending backgrounds tasks","T&acirc;ches de fond en attente"
"Background Tasks status","Status des t&acirc;ches de fond"
"NO Last Successfull task !","Aucune derni&egrave;re t&acirc;che de fond en succ&egrave;s"
"Last sucessfull task is","La derni&egrave;re t&acirc;che de fond en succ&egrave;s est"
"The number of background task is acceptable","Le nombre de t&acirc;ches de fond est acceptable"
"The number of background task is too high, please launch the cron manually to perform some checks or set up the cron to run faster","Le nombre de t&acirc;ches de fond est trop &eacute;l&eacute;v&eacute;, lancez le cron manuellement pour faire des v&eacute;rifications et pensez &agrave; configurer le cron pour qu'il soit ex&eacute;cut&eacute; avec une plus grande fr&eacute;quence"
"The number of background task begin to be high, please check this regulary and please launch the cron manually to perform some checks","Le nombre de t&acirc;ches de fond commence a être trop &eacute;l&eacute;v&eacute;, v&eacute;rifiez cet indicateur p&eacute;riodiquement et lancez le cron manuellement pour faire des v&eacute;rifications"
"ERP version + each ERP's sub modules versions (XML+SQL versions)","Version de ERP + version de chaque sous module de ERP (XML+SQL version)"
"SQL Views status","Status d'installation des SQL View de ERP"
"Orders not yet considered by ERP","Commandes non encore consid&eacute;r&eacute;es par ERP"
"Product stock qty differents from the Sum of stock movements","Quantit&eacute;e en stock diff&eacute;rente de la somme des mouvements de stock "
"Unconsistant Product Availibility Status","Status de disponibilit&eacute; des produits incoh&eacute;rent"
"Missing Product Availibility Status","Status de disponibilit&eacute; des produits manquant"
"Products with unconsistant waiting for delivery quantity","Produits ayant une quantit&eacute;e en attente de livraison incoh&eacute;rente"
"Product with unconsistant quantity ordered","Produits ayant une quantit&eacute;e command&eacute;e incoh&eacute;rente"
"Check options","V&eacute;rification des options"
"Displays the advanced messages","Afficher les messages detaill&eacute;es"
"Displays the basic messages","Afficher les messages simplifi&eacute;s"
"Fix them All","Corriger tous les probl&egrave;mes"
"Product with stock problem","Produits avec un probl&egrave;me de stock"
"Healthy ERP","ERP Info"




