"%s Item(s)", "%s produit(s)"
"* Required Fields", "* champs obligatoires"
"-- Please Select --", "-- Veuillez sélectionner --"
"-- Select a Condition --", "-- Sélectionnez une condition --"
"-- Select a Reason --", "-- Sélectionnez une raison --"
"-- Select a Resolution --", "-- Sélectionnez une action--"
"-- Select an Order --", "-- Sélectionnez une commande --"
"-- Select an Order Item --", "-- Sélectionnez un élément de commande --"
"Show", "Afficher"
"Sort by", "Trier par"
"View as:", "Marquer comme:"
"Active", "Active"
"Add Comment", "Ajouter un commentaire"
"Add New Condition", "Ajouter une nouvelle condition"
"Add New RMA", "Ajouter un nouveau RMA"
"Add New Reason", "Ajouter une nouvelle raison"
"Add New Resolution", "Ajouter une nouvelle action"
"Add New Status", "Ajouter un nouveau statut"
"Additional Information", "Information supplémentaire"
"All", "Tout"
"Allow Everything", "Tout autoriser"
"Are you sure?", "Etes-vous sûr?"
"Back to My Returns", "Retourner vers Mes Retours"
"City", "Ville"
"Code", "Code"
"Comment Text", "Commenter le texte"
"Company", "Entreprise"
"Condition", "Condition"
"Conditions", "Conditions"
"Contact Information", "Information du contact"
"Create New Condition", "Créer une nouvelle condition"
"Create New RMA", "Créer un nouveau RMA"
"Create New Reason", "Créer une nouvelle raison"
"Create New Resolution", "Créer une nouvelle action"
"Create New Status", "Créer un nouveau statut"
"Create RMA", "Créez un RMA"
"Customer", "Client"
"Customer Name", "Nom du client"
"Customer has added a comment: <br> <p>%s</p>'", "Le client a ajouté un commentaire: <br> <p>%s</p>'"
"Date", "Date"
"Date Requested", "Date de la demande"
"Date: %s", "Date: %s"
"Delete", "Supprimer"
"Dictionaries", "Dictionnaires"
"Edit Condition '%s'", "Editez la condition '%s'"
"Edit Reason '%s'", "Editez la raison '%s'"
"Edit Resolution '%s'", "Editez l'action  '%s'"
"Edit Status '%s'", "Editez le statut '%s'"
"Email", "Email"
"Email Address", "Adresse Email"
"Email Notification Settings", "Paramètres des Emails de notification"
"Email Notification for administrator", "Email de notification pour l'administrateur"
"Email Notification for customer", "Email de notification pour le client"
"Email Sender", "Expéditeur de l'email"
"Email To Receive Admin Notifications", "Recevoir les notifications de l'administrateur par email"
"Enter valid message.", "Entrez un message valide."
"External Link", "Lien externe"
"First Name", "Prénom"
"General Information", "Information générale"
"General Settings", "Paramètres généraux "
"Grid", "Grille"
"ID", "ID"
"Invalid RMA.", "RMA invalide."
"Is Active", "est actif"
"Item", "Produit"
"Item to return", "Produit à retourner"
"Items %s to %s of %s total", "Articles %s sur %s de %s au total"
"Items RMA Requested for", "RMA demandé pour les produits suivants"
"Last Name", "Nom de famille"
"List", "Liste"
"Message for RMA history", "Message pour l'historique du RMA"
"Mirasvit RMA", "Mirasvit RMA"
"My Returns", "Mes retours"
"New Condition", "Nouvelle condition"
"New RMA", "Nouveau RMA"
"New Reason", "Nouvelle raison"
"New Resolution", "Nouvelle action "
"New Status", "Nouveau statut"
"Next", "Suivant"
"No", "Non"
"Notifications", "Notifications"
"Notify Customer by Email", "Notifier le client par Email"
"Order", "Commande"
"Order #", "Commande #"
"Order Shipping Address", "Adresse de livraison"
"Please, enter an your Order # and Email", "Veuillez renseigner votre numéro de commande et votre adresse email"
"Please, select an order", "Veuillez sélectionner une commande"
"Print Shipping Label", "Imprimer l'étiquette de retour "
"Product Name", "Nom du produit"
"Qty", "Qté"
"Quantity To Return", "Quantité à retourner"
"RMA", "RMA"
"RMA #", "RMA #"
"RMA #%s", "RMA #%s"
"RMA History", "Historique du RMA"
"RMA Items", "RMA des produits"
"RMA was successfuly created", "RMA a été créé avec succès"
"Reason", "Raison"
"Reasons", "Raisons"
"Request Information", "Demander des informations"
"Request new Return", "Demander un nouveau retour"
"Resolution", "Action"
"Resolutions", "Actions"
"Resolve RMA after obtaining status", "Résoudre le RMA apres obtention du statut "
"Return Address", "Adresse de retour"
"SKU", "SKU"
"Save", "Sauvegarder"
"Save And Continue Edit", "Sauvegarder et continuer à éditer"
"Select Order", "Sélectionner un ordre de tri"
"Set Ascending Direction", "Par ordre croissant"
"Set Descending Direction", "Par ordre décroissant"
"Settings", "Paramètres"
"Show", "Afficher"
"Sort Order", "Trier les commandes"
"Sort by", "Trier par"
"Status", "Statut"
"Status for new RMA", "Statut du nouveau RMA"
"Statuses", "Statuts"
"Street Address", "Adresse"
"Submit", "Soumettre"
"Submit Request", "Soumettre ma demande"
"Telephone", "Téléphone"
"Template of Notification Email for Admin", "Modèle d'email de notification pour l'administrateur"
"Template of Notification Email for Customer", "Modèle d'email de notification client"
"There are no Returns", "Il n'y a aucun retour"
"Title", "Titre"
"Tracking Code", "Numéro de suivi"
"View Return", "Voir le retour"
"View as", "Vu comme"
"Visible on Frontend", "Visible sur le site"
"Yes", "Oui"
"Your comment was successfuly added", "Votre commentaire a été ajouté avec succès"
"Zip/Postcode", "Code postal"
"per page", "par page"
"RMA - Notification Email for Admin", "RMA - Email de notification pour l'administrateur"
"RMA - Notification Email for Customer", "RMA - Email de notification client"
