"Database was successfuly backed up.","Adatbázis sikeresen lementve."
"All types","Összes típus"
"Backup file ""%s"" doesn't exist","Backup fájl ""%s"" nem létezik"
"Backup file ""%s"" can't read or write","Backup fájl ""%s"" nem lehet írni/olvasni"
"Backup file path don't specify","Backup fájl útvonal nincs meghatározva"
"Backup file handler don't specify","Backup fájl kezelő nincs meghatározva"
"Backup file doesn't exist","Backup fájl nem létezik"
"Cannot read backup file","Backup fájl nem olvasható"
"DB","DB"
"File compressed with Zlib, but this extension is not installed on server","Fájl Zlib-el tömörítve, de ez a kiterjesztés nincs telepítve a szerverre"
"Error write to Backup file ""%s""","Hiba a fájl írásakor ""%s"""
"Wrong order of creation for new backup","Hibás rendezés az új mentés készítéséhez"
"Time","Idő"
"Download","Letöltés"
"Size, byte","Méret, byte"
"Action","Művelet"
"Create Backup","Mentés készítése"
"Unable to create backup. Please, try again later.","Mentés létrehozása sikertelen, próbálja meg később."
"Backups","Mentések"
"Type","Típus"
