"%s and greater","%s és felette"
"Your search returns no results.","A keresés nem hozott eredményt."
"Autogenerated site map","Autogenerált oldaltérkép"
"Price","Ár"
"Applies for ""Like"" Search type only","Csak ""Like"" Keresési típus"
"up to %s","egészen %s-ig"
"Catalog Search","Egyszerű keresés"
"Results","Eredmények"
"Subscribe to Feed","Feliratkozva a forrásra"
"Relevance","Fontosság"
"Please enter ""0"" to enable layered navigation for any number of results","Ha beírja hogy ""0"". A kereső bármekkora találat esetén használni fogja a szűkítési nézetet"
"Yes","Igen"
"Required Fields","Köztelező mezők"
"Search","Keresés"
"Search entire store here...","Keresés a teljes készletben..."
"Search Site","Keresés az oldalon"
"Search Settings","Keresés beállításai"
"Search results for '%s'","Keresés eredményei erre: '%s'"
"Search results for: '%s'","Keresés eredményei erre: '%s'"
"Search Type","Keresés típusa"
"Search Terms","Kereső szavak"
"Home","Kezdőlap"
"You have to specify at least one search term","Legalább egy kulcsszót meg kell adnia"
"Apply Layered Navigation if search results are less than","Legyen szűkített nézet ha a keresési találatok száma kevesebb mint"
"List","Lista"
"Maximum Query Length","Maximális keresési hossz"
"Maximum Search query  length is %s. Your query was cut.","Maximális keresési hossz %s karakter. A többit a rendszer levágta."
"Maximum Query Words Count","Maximum kereső szavak"
"Modify your search","Módosítsa keresését"
"Go","Mehet"
"All","Mind"
"Minimal Query Length","Minimális keresési hossz"
"Popular search terms","Népszerű keresési kifejezések"
"Popular Search Terms","Népszerű keresési kifejezések"
"Name","Név"
"No","Nem"
"There are no search terms available.","Nem találhatóak keresőszavak."
"Don't see what you're looking for?","Nem találja amit keresett?"
"No items were found using the following search criteria.","Nem találtunk a keresési feltételnek megfelelő terméket."
"No items were found using the following search criteria.","Nem találtunk a keresési feltételnek megfelelő terméket."
"Grid","Rács"
"Catalog Advanced Search","Részletes keresés"
"Advanced Search","Részletes kereső"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Tulajdonság beállításai összeköttetésben állnak a kereső index-el. Futtassa a <a href=""%s"">Keresési index újraépítése</a> folyamatot"
"Go to Home Page","Vissza a kezdőlapra"
