"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."," %1$s törlése nem fogja törölni a kapcsolódó adatokat ezzel %1$s (pl. kategóriák, termékek, stb.), de a(z) %1$s nem lesz visszaállítható. Ajánlott adatbázis mentést készíteni mielőtt törli a következőt: %1$s."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","%s amit megadott nem valós. Kérjük kövesse ezt a formátumot: ""http://domain.com/"" "
"%s already exists","%s már létezik"
"%s already exist","%s már létezik"
"-- Please Select --","-- Kérem válasszon --"
"Your order can not be completed at this time as there is no payment methods available for it.","A rendelését nem tudjuk végrehajtani mivel jelenleg nincs elérhető fizetési mód ehhez."
"Your order can not be completed at this time as there is no payment methods available for it.","A rendelését nem tudjuk végrehajtani mivel jelenleg nincs elérhető fizetési mód ehhez."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address.","A rendelését nem tudjuk végrehajtani mivel jelenleg nincs elérhető szállítási mód az Ön számára, kérjük tegye meg a szükséges módosításokat a szállítási címében."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address.","A rendelését nem tudjuk végrehajtani mivel jelenleg nincs elérhető szállítási mód az Ön számára, kérjük tegye meg a szükséges módosításokat a szállítási címében."
"Please define flag code.","Adja meg az ország kódot."
"Please enter a valid URL. http:// is required","Adjon meg valós URL-t. http:// szükséges"
"Admin","Admin"
"Admin Base URL","Admin Alap URL"
"Admin User Emails","Admin E-mail-ek"
"Base JavaScript URL","Alap Javascript URL"
"Base Link URL","Alap Link URL"
"Base Media URL","Alap Media URL"
"Base Skin URL","Alap Skin URL"
"Base URL","Alap URL"
"Default","Alapértelmezett"
"Are you sure you would like to remove all item from compare products?","Are you sure you would like to remove all item from compare products?"
"Are you sure you would like to remove this item from the compare products?","Are you sure you would like to remove this item from the compare products?"
"New Store","Új bolt"
"New Store View","Új bolt nézet"
"New Design Change","Új kinézet változás"
"New Website","Új weboldal"
"Status","Állapot"
"General","Általános"
"General Settings","Általános beállítások"
"General contact","Általános kapcsolat"
"Welcome Text","Üdvözlő szöveg"
"Empty identifier field name","Üres azonosító mező"
"Empty main table name","Üres fő tábla név"
"Sales representative","Üzletkötő"
"Invalid base url type","Érvénytelen alap url típus"
"Invalid messages storage ""%s"" for layout messages initialization","Érvénytelen üzenet tároló ""%s"" az elrendezés(layout) üzenetek beállításakor"
"Invalid block name to set child %s: %s","Érvénytelen blokk név %s: %s"
"Invalid block type: %s","Érvénytelen blokk típus: %s"
"Invalid block: %s","Érvénytelen blokk: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Érvénytelen elrendezés(layout) frissítés paraméter, Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Érvénytelen elrendezés(layout) kezelő"
"Invalid transactional email code: ","Érvénytelen kereskedelmi e-mail kód: "
"Invalid websites configuration path: %s","Érvénytelen weboldal beállítási útvonal: %s"
"Back to Main Product Info","Back to Main Product Info"
"Translate Inline","Belső fordító"
"Secure","Biztonságos"
"Use Secure URLs in Frontend","Biztonságos URL-ek a Boltban"
"Use Secure URLs in Admin","Biztonságos URL-ek az adminban"
"Are you sure?","Biztos benne?"
"Block with name ""%s"" already exists","Blokk ""%s"" névvel már létezik"
"Blocks HTML output","Blokk HTML kimenete"
"Add Block Names to Hints","Blokk nevek mutatása a javaslatban"
"Store","Bolt"
"Store Email Addresses","Bolt e-mail címek"
"Store Information","Bolt információk"
"Add Store Code to Urls","Bolt kódja az Url-ben"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Bolt kódja csak angol abc (a-z), számok (0-9) és alulvonás(_), az első karakter betű legyen"
"Create Store","Bolt létrehozása"
"Save Store","Bolt mentése"
"Store View","Bolt nézet"
"Store View Information","Bolt nézet információk"
"Create Store View","Bolt nézet létrehozása"
"Save Store View","Bolt nézet mentése"
"Store view doesn't exist","Bolt nézet nem létezik"
"Store View Name","Bolt nézet neve"
"Store View was successfully saved","Bolt nézet sikeresen mentve"
"Store view was successfully deleted.","Bolt nézet sikeresen törölve."
"Edit Store View","Bolt nézet szereksztése"
"Delete Store View","Bolt nézet törlése"
"Unable to delete store view. Please, try again later.","Bolt nézetet nem sikerült törölni. Kérem próbálja meg később."
"Store doesn't exist","Bolt nem létezik"
"Store Name","Bolt neve"
"Store was successfully saved","Bolt sikeresen mentve"
"Store was successfully deleted.","Bolt sikeresen törölve."
"Edit Store","Bolt szerkesztése"
"Delete Store","Bolt törlése"
"Store with the same code","Bolt ugyan ezzel a kóddal"
"Manage Stores","Boltok kezelése"
"Unable to delete store. Please, try again later.","Boltot nem sikerült törölni. Próbálja meg később."
"Clear All","Clear All"
"Collections Data","Collections adatok"
"Compare Items","Compare Items"
"Compare Products","Compare Products"
"Controller file was loaded but class does not exist","Controller fájl betöltve de az osztály nem létezik"
"This category only","Csak ez a kategória"
"Use HTTP Only","Csak HTTP használata"
"Package","Csomag"
"Select Date","Dátum Megadás"
"Date/time format ""%s"" is not supported.","Dátum/Idő formátum ""%s"" nem támogatott."
"Debug","Debug"
"Default Store","Default Bolt"
"Default Store View","Default Bolt nézet"
"Default Title","Default Cím"
"Default Keywords","Default kulcsszavak"
"Default Description","Default leírás"
"Default no-route url","Default no-route url"
"Default Pages","Default oldalak"
"Default Robots","Default robotok"
"Default web url","Default web url"
"Default country","Default. ország"
"Disable email communications","E-mail kommunikáció letiltása"
"Date To","Eddig"
"Custom admin URL","Egyedi admin URL"
"Use custom admin URL","Egyedi admin URL használata"
"Custom Design","Egyedi kinézet"
"Forgot Password Email Sender","Elfelejtett jelszó e-mail feladó"
"Forgot Password Email Template","Elfelejtett jelszó e-mail sablon"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Ellenőrizze hogy az Alap Url így végződjön '/' (jobbra-perjel), pl. http://yourdomain/magento/"
"Please make sure your passwords match.","Ellenőrizze hogy egyezik e a megadott jelszó."
"Layout","Elrendezés"
"Layouts","Elrendezések"
"Allowed IPs (comma separated)","Engedélyezett IP-k (vesszővel elválaszva)"
"Allow countries","Engedélyezett országok"
"Enabled","Engedélyezve"
"Enabled for Frontend","Engedélyezve a bolt számára"
"Enabled for Admin","Engedélyezve az admin számára"
"Date From","Ettől"
"This will be displayed just before body closing tag","Ez a body lezáró tag elé fog kerülni."
"This store view cannot be deleted","Ez a bolt nézet nem törölhető"
"This store view cannot be deleted.","Ez a bolt nézet nem törölhető."
"This will be included before head closing tag in page HTML","Ez a head lezáró tag elé fog kerülni a html oldalban."
"This category and its child categories only","Ez a kategória és a gyermek kategóriái csupán."
"This category and its products only","Ez a kategória és a termékei csupán"
"This category and all its child elements","Ez a kategória és az összes gyermek eleme."
"This website cannot be deleted","Ez a weboldal nem törölhető"
"This website cannot be deleted.","Ez a weboldal nem törölhető."
"This is a required field.","Ez egy kötelező mező."
"This store cannot be deleted","Ezt a boltot nem törölheti"
"This store cannot be deleted.","Ezt a boltot nem törölheti."
"Header","Fejléc"
"Developer","Fejlesztő"
"Developer Client Restrictions","Fejlesztő kliens korlátozások"
"Your session has been expired, you will be relogged in now.","Folyamat ideje lejárt, újra kezdjük."
"Translate cache should be disabled for both Frontend and Admin inline translations","Fordítás cache-t ki kell kapcsolni az belső fordító működéséhez"
"Translations","Fordítások"
"Global","Globális"
"Go","Go"
"Root Category","Gyökér kategória"
"Leave empty for access from any location","Hagyja üresen hogy bárhonnan elérhető legyen."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Használjon betűket (a-z), számokat (0-9) és alulvonást(_) ebben a mezőben, az első karakternek betűnek kell lennie."
"Please use letters only (a-z or A-Z) in this field.","Használjon kizárólag betűket (a-z vagy A-Z) ebben a mezőben."
"Please use letters only (a-z or A-Z) in this field.","Használjon kizárólag betűket (a-z vagy A-Z) ebben a mezőben."
