"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Please declare ""adapter"" and ""method"" node first","Adjon meg ""adapter"" és ""method"" csomópontot először"
"hour","óra"
"hours","óra"
"Total records: %s","Összes rekord: %s"
"Destination folder ""%s"" is not a directory","Cél mappa ""%s"" nem érvényes könyvtár"
"Destination folder ""%s"" is not a writeable","Cél mappa ""%s"" nem írható"
"Destination folder ""%s"" does not exist or not access to create","Cél mappa ""%s"" nem létezik vagy nincs jogosultság a létrehozásához"
"Dry run set, stopping execution","Dry run beállítás, futtatás leállítása"
"ETA: %s","ETA: %s"
"File ""%s"" don't exist","Fájl ""%s"" nem létezik"
"Could not load file: ""%s""","Fájl betöltése nem sikerült: ""%s"""
"Could not save file: %s","Fájl mentése nem sikerült: %s"
"Processed records: %s","Feldolgozott rekordok: %s"
"Error occured during file opening: ""%s""","Hiba lépett fel a fájl megnyitása közben: ""%s"""
"Error field mapping! Fields list for mapping is not defined","Hibás társítás! Mezők a társításhoz nem lettek megadva"
"Access denied to destination folder ""%s""","Hozzáférés megtagadva a célkönyvtárhoz ""%s"""
"Less than a minute","Kevesebb mint egy perc"
"Starting %s :: %s","Kezdés %s :: %s"
"Method ""%s"" not defined in adapter %s","Módszer ""%s"" nincs definiálva ebben az adapterben %s"
"Declared adapter %s not found","Megadott adapter %s nem található"
"Memory Used: %s","Memória használat: %s"
"Sheet 1","Munkalap 1"
"Skip undefined row","Nem meghatározott rekord átugrása"
"minute","perc"
"minutes","perc"
"Done","Rendben"
"Loaded successfully: ""%s""","Sikeresen betöltve: ""%s"""
"Saved successfully: ""%s"" [%d byte(s)]","Sikeresen elmentve: ""%s"" [%d byte]"
"Found %d rows","Találtam %d mezőt"
