"Items %s to %s of %s total","%s - %s termék, Összesen:%s"
"%s Item(s)","%s Termék"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2009 Magento Demo Áruház. Minden jog fenntartva."
"(ver. %s)","(ver. %s)"
"Close Window","Ablak bezárása"
"Default welcome msg!","Alapértelmezett üdvözlő szöveg!"
"Default Description","Alapértelmezett leírás"
"Your Language","Az Ön nyelve"
"Redirecting...","Átirányítás..."
"Welcome, %s!","Üdvözöljük, %s!"
"You're currently on:","Ön jelenlegi helye:"
"Your Language:","Ön nyelve:"
"Your Language:","Ön nyelve:"
"Select Store","Bolt kiválasztása"
"Previous Page","Előző"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ez egy demo áruház. Minden a bolton keresztül leadott rendelésért nagyon hálásak vagyunk, de nem lesz teljesítve."
"Interface Language","Felület nyelve"
"Click <a href=""%s"">here</a> if nothing has happened","Kattintson <a href=""%s"">ide</a> ha semmi sem történt"
"Next Page","Következő"
"Report All Bugs","Minden hiba jelentése"
"Show","Mutat"
"Page:","Oldal:"
"per page","oldalanként"
"Help Us to Keep Magento Healthy","Segítsen Ön is a Magento fejlesztésében"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","Skip to Main Content"
"Skip to Right Column","Skip to Right Column"
