"--Please Select--","--Kérem válasszon--"
"<label>Make Check payable to:</label> %s","<label>Csekk kifizethető neki:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Csekk kifizethető neki</label>: %s"
"New order status","Új rendelés állapota"
"Year","Év"
"Credit Card Number","Bankkártya szám"
"Credit Card Number: %s","Bankkártya száma: %s"
"Credit Card Number: xxxx-%s","Bankkártya száma: xxxx-%s"
"Credit Card Type","Bankkártya típusa"
"Credit Card Type: %s","Bankkártya típusa: %s"
"Credit Card Types","Bankkártya típusok"
"Can not retrieve payment info model object.","Can not retrieve payment info model object."
"Can not retrieve payment method instance","Can not retrieve payment method instance"
"Can not retrieve payment method model object.","Can not retrieve payment method model object."
"Title","Cím"
"Check / Money order","Csekk / Utalvány"
"Send Check to","Csekk küldése ide"
"Send Check to:","Csekk küldése ide:"
"Make Check payable to","Csekk kifizetendő neki"
"Make Check payable to: %s","Csekk kifizetendő neki: %s"
"Enabled","Engedélyezve"
"Payment from applicable countries","Fizetés az engedélyezett országokból"
"Payment from Specific countries","Fizetés meghatározott országokból"
"Payment Methods","Fizetési módok"
"Payment Methods Section","Fizetési módok rész"
"Month","Hónap"
"Credit Card Verification","Hitelkártya ellenőrzés"
"Card Verification Number","Kártya ellenőrző szám"
"Expiration Date","Lejárat dátuma"
"Expiration Date: %s/%s","Lejárat dátuma: %s/%s"
"Maximum Order Total","Maximum rendelési összeg"
"Saved CC","Mentett kártya"
"What is this?","Mi ez?"
"Minimum Order Total","Minimum rendelési összeg"
"Name on Card","Név a kártyán"
"Name on the Card: %s","Név a kártyán: %s"
"Can not configuration for payment method with code: %s","Nem végezhető el beállítás a fizetési módhoz ezzel a kóddal: %s"
"Purchase Order Number","Rendelési szám"
"Purchase Order Number: %s","Rendelési szám: %s"
"Sort order","Sorrend"
"Purchase order","Vásárlás"
"Zero Subtotal Checkout","Zéró végösszegű vásárlás"
