"Tag ""%s"" details"," ""%s"" címke részletei"
"Reviews for %s","%s értékelése"
"Number of times wishlists have been shared (emailed): %s","A kedvencek lista megosztásá (e-mailben): %s"
"Number of items bought from a wishlist: %s","A kedvencekből megvásárolt termékek száma: %s"
"Tax","Adó"
"Tax Amount","Adó összege"
"Show for Current","Aktuális mutatása"
"Low stock","Alacsony készlet"
"New Accounts","Új fiókok"
"Number of New Accounts","Új fiókok száma"
"Avg. rating","Atlagos értékelés"
"Price","Ár"
"Avg. approved rating","Átlagos jóváhagyott értékelés"
"Add to Compare","Összehasonlít"
"Total Tags","Összes címke"
"Number of Total Tags","Összes címke mennyisége"
"Number of wishlists: %s","Összes kedvencek lista: %s"
"Total Shipping","Összes szállítás"
"Total Invoiced Captured","Összes számlázott és beérkezett"
"Total Invoiced not Captured","Összes számlázott kinntlevő"
"Total Refunded","Összesen visszatérített"
"Total refunded","Összesen visszatérített"
"Review","Értékelés"
"Reviews","Értékelések"
"Number of Reviews","Értékelések száma"
"Number Of Reviews","Értékelések száma"
"Invalid date specified","Érvénytelen dátum"
"Year","Év"
"Bestsellers","Bestsellerek"
"Shopping Cart","Bevásárlókosár"
"Revenue","Bevétel"
"Title","Cím"
"Tags submitted to %s","Címkék hozzáadva ehhez: %s"
"Tags submited by %s","Címkék megadója: %s"
"Tag","Címke"
"Tag use","Címke használata"
"Tag Name","Címke neve"
"Tag Detail","Címke részletek"
"Product Sku","Cikkszám"
"CSV","CSV"
"Email","E-mail"
"Number of Unique Tags","Egyedi címkék mennyisége"
"Sales Report","Eladás jelentések"
"Sales","Eladások"
"Applied Coupon","Elfogadott kupon"
"Number Added","Ennyiszer hozzáadva"
"Number Fulfilled","Ennyiszer végrehajtva"
"Results","Eredmények"
"Excel","Excel"
"Abandoned carts","Félbehagyott kosarak"
"Updated at","Frissítés"
"Number Of Uses","Használatok száma"
"Month","Hónap"
"ID","ID"
"Reports","Jelentések"
"Hits","Kattintás"
"Stock Qty","Készlet mennyiség"
"Bought from wishlists","Kívánságlistáról megvéve"
"Wishlist vs. Regular Order","Kedvencek a szabályos rendeléssel szemben"
"Number of wishlist referrals: %s","Kedvencek lista ajánlások: %s"
"Wishlist Report","Kedvencek lista jelentés"
"Number of wishlist conversions: %s","Kedvencek lista konverziók száma: %s"
"Wishlists","Kedvencek listák"
"Add to Wishlist","Kedvencekhez ad"
"Discounts","Kedvezmények"
"Search Terms","Keresési szavak"
"First Name","Keresztnév"
"Number Of Historical Uses","Korábbi használatok száma"
"Carts","Kosarak"
"Add to Cart","Kosárba rak"
"Coupons","Kuponok"
"Visible In","Láthatóság"
"Submitted On","Létrehozás"
"Created at","Létrehozás"
"Submitted In","Létrehozás helye"
"Most viewed","Legnézettebb"
"Most Viewed","Legnézettebb"
"Your Recently Compared","Legutóbb összehasonlított termékei"
"Default Recently Compared Products count","legutóbb összehasonlított termékek száma"
"Your Recently Viewed","Legutóbb megtekintett termékei"
"Default Recently Viewed Products count","legutóbb megtekintett termékek száma"
"Downloads","Letöltések"
"Link","Link"
"Rate","Mérték"
"Action","Művelet"
"Items Ordered","Megrendelt termékek"
"Number of Views","Megtekintések száma"
"Number Viewed","Megtekintések száma"
"Day","Nap"
"Popular Tags","Népszerű címkék"
"Popularity","Népszerűség"
"Name","Név"
"Out of stock","Nincs készleten"
"Offline Refunded","Offline visszatérítés"
"Online Refunded","Online visszatérítés"
"Subtotal","Részösszeg"
"Detail","Részletek"
"Orders","Rendelések"
"Number of Orders","Rendelések száma"
"Quantity Ordered","Rendelt mennyiség"
"Shipping","Szállítás"
"Carrier/Method","Szállítás/mód"
"Number of Ivoiced Orders","Számlázott rendelések száma"
"Invoiced","Számlázva"
"Total Invoiced","Számlázva összesen"
"Total invoiced","Számlázva összesen"
"Number of times deleted","Törlések száma"
"Products Reviews","Termék értékelések"
"Product Reviews","Termék értékelések"
"Products Tags","Termék címkék"
"Product Tags","Termék címkék"
"Poducts Report","Termék jelentés"
"Products Report","Termék jelentések"
"Product Name","Termék neve"
"Products","Termékek"
"Products in carts","Termékek a kosarakban"
"Items in Cart","Termékek a kosárban"
"Quantity of Items","Termékek készlete"
"Number of Items","Termékek száma"
"Recently Compared Products","Utoljára összehasonlított termékek"
"Recently Viewed Products","Utoljára megtekintett termékek"
"Recently Viewed/Compared Products","Utoljára megtekintett/összehasonlított termékek"
"Last Review","Utolsó értékelés"
"Purchases","Vásárlások"
"Number Purchased","Vásárlások száma"
"Customer","Vásárló"
"Customer Tags","Vásárló címkéi"
"Customer Name","Vásárló neve"
"Customers Report","Vásárlói jelentések"
"Customers","Vásárlók"
"Customers by number of orders","Vásárlók a vásárlások száma szerint"
"Customers that have wishlist: %s%","Vásárlók akiknek vannak kedvenceik: %s%"
"Customers by orders total","Vásárlók az összes rendelés szerint"
"Customers Reviews","Vásárlók értékelései"
"Customers Tags","Vásárlók címkéi"
"Total","Végösszeg"
"Guest","Vendég"
"Last Name","Vezetéknév"
"Number of Refunded Orders","Visszatérített rendelések száma"
"Refunded","Visszatérítve"
