"Link to a friend was sent.","A linket elküldtük a barátoknak."
"Add Recipient","Új címzett"
"Message:","Üzenet:"
"Recipient:","Címzett:"
"Email Address","E-mail cím"
"Email Address:","E-mail cím:"
"Send email","E-mail küldése"
"Email to a Friend","E-mail küldése barátoknak"
"Email templates","E-mail sablon"
"Remove Email","E-mail törlése"
"Email:","E-mail:"
"Enabled","Engedélyezve"
"You cannot email this product to a friend","Ezt a terméket nem lehet elküldeni barátoknak"
"Sender:","Küldő:"
"Limit Sending By","Limitál küldés"
"Max Recipients","Maximális címzettek"
"Maximum %d email addresses allowed.","Maximum %d e-mail cím engedélyezett."
"Max Products Sent in 1 Hour","Maximum 1 termék küldhető óránként"
"Some emails was not sent","Néhány e-mail nem lett elküldve"
"Name","Név"
"Name:","Név:"
"You cannot send more than %d times in an hour","Nem küldhet több üzenetet mint %d egy órán belül"
"Some problems with data.","Probléma az adatokkal."
"Send product to a friend","Termék küldése barátoknak"
"Select email template","Válasszon e-mail sablont"
"Allow for Guests","Vendégek számára is elérhető"
