" for more information or email us at "," további információért vagy írjon e-mailt "
"# of Items (and above)","# db termék (vagy több)"
"# of Items vs. Destination","# db termék vs. Célállomás"
"The shipping module is not available for selected delivery country","A szállítási mód nem elérhető a kiválasztott országban"
"Close Window","Ablak bezárása"
"Signed by:","Aláírta:"
"Status:","Állapot:"
"Price","Ár"
"Price vs. Destination","Ár vs. Célállomás"
"Flat Rate","Átalány díj"
"Invalid %s ""%s"" in the Row #%s","Érvénytelen %s ""%s"" ebben a sorban: #%s"
"Invalid Region/State ""%s"" in the Row #%s","Érvénytelen megye ""%s"" hibás sor: #%s"
"Invalid Country ""%s"" in the Row #%s","Érvénytelen ország ""%s"" hibás sor: #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Érvénytelen szállítási ktg ""%s"" ebben a sorban: #%s"
"Invalid Table Rates File Format","Érvénytelen táblázat formátum"
"Invalid Table Rate code for type %s: %s","Érvénytelen táblázat kód %s: %s"
"Invalid Table Rate code type: %s","Érvénytelen táblázat kód típus: %s"
"Options","Beállítások"
"Store Pickup","Bolt csomag"
"Title","Cím"
"Per Package","Csomagonként"
"Date","Dátum"
"Enabled","Engedélyezve"
"Export","Export"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Ez a szállítási mód jelenleg nem elérhető. Ha mégis ezt szeretné igénybe venni, lépjen kapcsolatba velünk."
"Condition","Feltétel"
"Fixed","Fix"
"Location","Hely"
"Local Time","Helyi idő"
"Error:","Hiba:"
"Import","Import"
"Info:","Info:"
"Free Shipping","Ingyenes szállítás"
"ZIP/Postal Code","Irányítószám"
"contact us","kapcsolat"
"There is no tracking available.","Követés nem elérhető."
"Track:","Követés:"
"Tracking information is currently not available. Please ","Követési adatok nem elérhetőek. Kérjük "
"Tracking information is currently unavailable.","Követési adatok nem elérhetők."
"Tracking Number:","Követési szám:"
"Handling Fee","Kezelési költség"
"Calculate Handling Fee","Kezelési költség számítása"
"Origin","Kiindulópont"
"Delivered to:","Kiszállítva ide:"
"Delivered on:","Kiszálltás dátuma:"
"Description","Leírás"
"Maximum qty allowed for Shipping to multiple addresses","Maximális engedélyezett mennyiség a több címre szállításhoz"
"Method name","Módszer neve"
"Region/State","Megye"
"Minimum order amount","Minimális rendelési mennyiség"
"Show method if not applicable","Mutat akkor is ha nem elérhető"
"Displayed Error Message","Mutatott hibaüzenet"
"N/A","N/A"
"There is no tracking available for this shipment.","Nem elérhető követés ehhez a szállításhoz."
"None","Nincs"
"Country","Ország"
"Per Order","Rendelésenként"
"Weight (and above)","Súly (és felette)"
"Weight vs. Destination","Súly vs. Célállomás"
"Weight:","Súly:"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Sor duplázása #%s (Ország ""%s"", Megye ""%s"", Isz ""%s"" és érték ""%s"")"
"Sort order","Sorrend"
"Shipment #","Szállítás #"
"Shipping Settings Section","Szállítás beállításai"
"Shipping Settings","Szállítás beállításai"
"Ship to applicable countries","Szállítás engedélyezett országokba"
"Ship to Specific countries","Szállítás meghatározott országokba"
"Shipping Methods Section","Szállítási módok"
"Shipping Methods","Szállítási módok"
"Carrier:","Szállító:"
"Shipped or billed on:","Számlázva vagy szállítva:"
"Percent","Százalék"
"Service Type:","Szolgáltatás:"
"Table rates","Táblázatos"
"Type","Típus"
"Allow Shipping to multiple addresses","Több címre szállítás engedélyezése"
"City","Város"
"Order Subtotal (and above)","Vásárlás végösszege (és felette)"
