"-- Please Select --","-- Kérem válasszon --"
"Tax","Adó"
"Tax Based On","Adó alapja"
"Tax Identifier","Adó azonosító"
"Tax Rate","Adó érték"
"Tax Rate Information","Adó érték információ"
"Tax rate was successfully imported","Adó érték sikeresen importálva"
"Tax rate was successfully saved","Adó érték sikeresen mentve"
"Tax rate was successfully deleted","Adó érték sikeresen törölve"
"Edit Tax Rate","Adó érték szerkesztése"
"Export Tax Rates","Adó értékek exportálása"
"Import Tax Rates","Adó értékek importálása"
"Manage Tax Rates","Adó értékek kezelése"
"Tax rates at the same priority are added, others are compounded.","Adó értékek ugyan ezzel a prioritással hozzáadva, a többi keverve."
"Tax Section","Adó beállítások"
"Tax Titles","Adó címek"
"Excluding tax","Adó nélkül"
"Excl. Tax","Adó nélkül"
"Excl. Tax:","Adó nélkül:"
"Display Zero Tax Subtotal","Adó nélküli végösszeg mutatása"
"Tax class was successfully saved","Adó osztály sikeresen mentve"
"Tax class was successfully deleted","Adó osztály sikeresen törlve"
"Tax Classes","Adó osztályok"
"Tax Rule Information","Adó szabály információk"
"Tax rule was successfully deleted","Adó szabály sikeresen törölve"
"Tax rule was successfully saved","Adó szabály sikeresen törölve"
"Tax Rules","Adó szabályok"
"Manage Tax Rules","Adó szabályok kezelése"
"Manage Tax Zones & Rates","Adó zónák és értékek kezelése"
"Apply Tax After Discount","Adók érvényesítése kedvezmények után"
"Apply Tax On","Adók elfogadása:"
"Including tax","Adóval"
"Incl. Tax","Adóval"
"Inc. Tax","Adóval"
"Including and excluding tax","Adóval és adó nélkül"
"Incl. Tax:","Adóval:"
"Default Tax Origin Calculation","Alapértelmezett adó forrás számítás"
"Default Post Code","Alapértelmezett Irányítószám"
"Default Country","Alapértelmezett ország"
"Default State","Alapértelmezett Régió"
"New Tax Rate","Új adó érték"
"Add New Tax Rate","Új adó érték"
"Add New Tax Rule","Új adó szabály"
"Add New Class","Új adóosztály"
"New Class","Új osztály"
"New Rule","Új szabály"
"Rate","Érték"
"Save Rate","Érték mentése"
"Delete Rate","Érték törlése"
"Invalid file upload attempt","Érvénytelen fájl feltöltési kisérlet"
"Invalid file format upload attempt","Érvénytelen fájl formátum feltöltési kisérlet"
"Ignored when 'Apply Tax After Discount' option is enabled","Érvénytelen ha az 'Adók érvényesítése kedvezmények után' opció engedélyezve van"
"Are you sure you want to do this?","Biztosan ezt szeretné?"
"Original price only","Csak eredeti ár"
"CSV","CSV"
"None","Egy sem"
"Custom price if available","Egyedi ár ha elérhető"
"One of the country has invalid code.","Egyik országnak érvénytelen kódja van."
"Sales","Eladások"
"This rule no longer exists","Ez a szabály nem létezik"
"You cannot delete this tax class as it is used for %d customer groups.","Ez az adó osztály nem törölhető amíg használatban van '%d' vevői csoport számára."
"This class no longer exists","Ez az osztály nem létezik"
"Error while saving this tax class. Class with the same name ","Hiba az adó osztály mentésekor. Osztály ugyan ezzel a névvel "
"Error while saving this tax class. Please try again later.","Hiba az adó osztály mentésekor. Próbálja meg később."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Hiba az adó szabály mentésekor. "
"Error while saving this tax rule. Please try again later.","Hiba az adó szabály mentésekor. Próbálja meg később."
"Error while deleting this tax rule. Please try again later.","Hiba az adó szabály törlésekor. Próbálja meg később."
"Error while saving this rate. Please try again later.","Hiba az érték mentésekor. Próbálja meg később."
"Error while deleting this rate. Please try again later.","Hiba az érték törlésekor. Próbálja meg később."
"Error while deleting this rate. Incorrect rate ID","Hiba az érték törlésekor.Inkorrekt érték ID"
"Error while deleting this class. Please try again later.","Hiba az osztály törlésekor. Próbálja meg később."
