"There are no products matching the selection.","Non ci sono prodotti della sua scelta."
"All ","Tutti"
"Browse By","Visionare per"
"Category","Categoria"
"There are no %s available.","Non ci sono %s disponibili."
"Full list of Attributes","Lista completa di attributi"
"View All","Vedere tutti"
"Attributes Sitemap","Mappa del Sito con Attributo"
"Catalog Seo Sitemap (Attribute List)","Catalogo Mappa del Sito Seo (Lista di Attributo)"
"Attributes","Attributi"
"attributes","attributi"
"Categories Sitemap","Categorie di Mappe di Sito"
"Products Sitemap","Mappa del Sito con prodotti"
"Choose Store View","Scegli Visione del Negozio"
"Brands Pages Manager","Manager di Pagine di Brands"
"Attributes Pages Manager","Manager di Pagine di Attributi"
"Please confirm site switching. All data that hasn't been saved will be lost.","Si prega di confermare lo spegnimento del sito. Tutti i dati che non sono stati salvati andranno persi."
"See other %s products","Guardare altri %s prodotti"
"Position","Posizione"
"Cannot delete root directory %s.","Impossibile eliminare  la root directory %s."
"Cannot delete directory %s.","Impossibile  eliminare la directory %s."
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Il nome della cartella non valido. Per favore utilizzare  caratteri alfanumerici, trattini e trattini bassi."
"A directory with the same name already exists. Please try another folder name.","Una  directory con lo stesso nome esiste gia. Si prega di cercare un altro nome della cartella."
"Cannot create new directory.","Impossibile creare una nuova directory."
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" non puo` essere salvato. Assicura che la directory ""%s"" Ã scrivibile dal server web."
"Special symbols are not allowed in URL pattern!","Simboli speciali non sono consentiti nel modello di URL!"
"Symbol ' / ' must be neither first neither last in URL pattern!","Simbolo ' / ' non deve essere il primo ne l'ultimo nel modello di URL!"
"URL pattern must contain [brand] part!","URL modello deve contenere la parte [brand]!"
"Attribute Page for specified store already exists","Pagina di Attributo per il negozio indicato gia` esiste"
"URL Key for specified store already exists","URL Chiave per il negozio indicato gia` esiste"
"Image must be uploaded for Featured Attribute","Immagine deve essere caricata per Attributo Popolari"
"""%s"" was renamed to ""%s"" as a category with the same request path already exists","""%s"" e` stato rinominato in ""%s"" perche` categoria con lo stesso percorso richiesto gia` esiste"
"Request path %s is already used. Please select some other url key.","Percorso richiesto %s e` gia` usata. Si prega di selezionare altra url chiave."
"This URL pattern is not allowed!","Questo modello di URL non consentito!"
"This URL key is not allowed!","Questa URL chiave non consentita!"
"Enabled","Attivato"
"Disabled","Disattivato"
"You should enter url prefix on %s store config.","Si deve inserire il modello url nella configurazione del negozio %s."
"You should enter url pattern on %s store config.","Si deve inserire il prefisso url nella configurazione del negozio %s."
"Special symbols are not allowed in URL pattern on %s store config.","Simboli speciali non sono consentiti nel l’URL modello nella configurazione del negozio %s."
"Symbol ' / ' must be neither first neither last in URL pattern on %s store config.","Il simbolo ' / ' deve essere ne primo che ne ultimo nell'URL modello nella configurazione del negozio %s."
"URL pattern must contain [attribute] part on %s store config.","Modello URL deve contenere parte [attributo] nella configurazione del negozio %s."
"You should enter number of columns on %s store config.","Si deve inserire il numero di colonne nella configurazione del negozio %s."
"You should enter number of attributes in the attribute block on %s store config.","Si deve  inserire il numero di attributi nel blocco di attributi nella configurazione del negozio %s."
"You can activate Shop By Attribute for Dropdown type attributes only.","E possibile attivare  “Acquistare per attributo”  solo per attributi di tipo a discesa. "
"All Store Views","Tutte le Visioni del Negozio"
"Attribute","Attributo"
"Brand","Brand"
"Controller file was loaded but class does not exist","Controller file stato caricato ma la classe non esiste"
"There was an error during the process","Si verificato un errore durante il processo"
"Item News","Notizie di Articolo"
"Attribute does not exist","Attributo non esiste"
"Image with the same name already exists. Rename please","Immagine con lo stesso nome esiste gia`. Si prega di renominare"
"Can not upload image ","Non e` possibile caricare immagine"
" jpg, jpeg, gif, png allowed only","Sono ammessi solo jpg, jpeg, gif, png"
"Logo with the same name already exists. Rename please","Logotipo con lo stesso nome esiste gia`. Si prega di renominare"
"Can not upload logo ","Non e` possibile caricare logotipo"
"Attribute icon with the same name already exists. Rename please","Icona di Attributo con lo stesso nome esiste gia`. Si prega di renominare"
"Can not upload attribute icon. ","Non e` possibile caricare icona di attributo"
"Unable to find ","Non e` possibile trovare"
"Please select ","Seleziona "
"Total of %d record(s) were successfully deleted","Tutto di %d recordo(i) e` stato cancellato"
"Total of %d record(s) were successfully updated","Totale di %d recordi sono stati aggiornati"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Codice di attributo non e valido. Si prega di utilizzare solo lettere (a-z), numeri (0-9) o il carattere di sottolineatura (_) in questo campo, il primo carattere deve essere una lettera.
"
"This Attribute no longer exists","Questo attributo non esiste piu."
"This attribute cannot be updated.","Questo attributo non puo essere aggiornato."
"The product attribute has been saved.","Attributo del prodotto e stato salvato."
"Email to a Friend","Scrivi Email all'amico"
"Featured ","Popolare"
"Featured Attributes","Attributi Popolari"
"Root","Radice"
"Shop By","Acquista per"
"Continue","Continuare"
"Choose Attribute","Scegli"
"There are no active attributes.","Non ci sono attributi attivi."
"Shop By Attribute","Acquista per attributo"
"No","No"
"Yes","Si`"
"Use Default Settings","Utilizzare le impostazioni predefinite."
"Activate Shop By","Attivare  Acquistare per"
"URL Key","URL chiave"
"URL Pattern","Modello di URL"
"Number of Columns","Numero di Colonne"
"Number of Attributes","Numero di Attributi"
"Show Attributes with Products Only","Mostrare i Attributo solo con Prodotti"
"Show Categories As Tree","Mostrare Categorie come Albero"
"Show Attributes From Current Category","Mostrare i Attributo dalla Categoria Corrente"
"Show Logo","Mostrare Logotipo"
"Show Link","Mostrare Link"
"Show Attributes In Site Map","Mostrare i Attributi sulla Mappa del Sito"
"Show Attributes Icons In Attributes Brief Block","Mostrare Icone di Attributo nel Blocco Breve di Attributi"
"Show Attributes Icons On Attributes List Page","Mostrare Icone di Attributo sulla Pagina di Lista di Attributi"
"Rename pics","Renominare le immagini"
"Use Layered Navigation","Usare Navigazione su Piu` Livelli"
"Custom Design","Design Personalizzato"
"Layout","Disposizione"
"Layout Update XML","Aggiornare Disposizione XML"
"Product","Prodotto"
"Sort Order","Assortire Ordine"
"Attribute information","Informazione su Attributo"
"Attribute Page Title","Titolo della pagina Attributo"
"Description","Descrizione"
"Small Logo","Logotipi Piccoli"
"Delete Logo","Cancellare Logotipo"
"Image","Immagine"
"Delete Image","Cancellare Immagine"
"Attribute Icon","Icona di attributo"
"Delete Attribute Icon","Cancellare Pagina di Attributo"
"Attribute Icon on Attributes Page?","Icona di Attributo o Pagina di Attributi?"
"Attribute Icon in Attributes Block?","Icona di Attributo nel Blocco di Attributi?"
"Meta Keywords","Meta Parole Chiavi"
"Meta Description","Meta Descrizione"
"URL key","URL chiave"
"(eg: domain.com/<b>url-key</b>.html)","(per es.: domain.com/<b>url-key</b>.html)"
"Featured","Popolare"
"Status","Status"
"for right sidebar block","per il blocco laterale destra"
"Display Settings","Visualizzare Impostazioni"
"Available Product Listing Sort By","Assortire la Lista di Prodotti Disponibili secondo"
"General Information","Informazione generale"
"Associated products","Prodotti associati"
"Preview","Anteprima"
"Save Attribute Page","Salvare Pagina di Attributo"
"Delete Attribute Page","Cancellare Pagina di Attributo"
"Save And Continue Edit","Salvare e Continuare a Modificare"
"Add Attribute Page","Aggiungere Pagina di Attributo"
"Edit Attribute Page '%s'","Modificare Pagina di Attributo '%s'"
"ID","ID"
"Store View","Visione del Negozio"
"Action","Azione"
"Edit","Modificare"
"CSV","CSV"
"XML","XML"
"Delete","Cancellare"
"Are you sure?","Sei sicuro?"
"Change status","Cambiare status"
"Fill Out Attributes Pages","Compila Pagine di Attributi"
"Add ","Aggiungere"
"Fill Out ","Compila"
"Return to Attribute Select","Tornare alla selezione d’attributo"
"Home","Pagina Iniziale"
"Go to Home Page","Vai a Pagina Iniziale"
"Go to All ","Vai a tutti"
"Shop By Brands","Acquistare per Brand"
"Replace Manufacturer with Brands","Sostituire il produttore con marche."
"This setting allows renaming manufacturer attribute on the front end. This setting is run by default in Shop By Brands ver. 2.x","Questa impostazione consente di rinominare l'attributo produttore sul front-end. Questa impostazione viene eseguita per impostazione predefinita ver. 2.x. Acquista per marche 
"
