"Active","Aktivert"
"Options","Alternativer"
"Attribute Set","Attributtsett"
"Description","Beskrivelse"
"Description: %s","Beskrivelse: %s"
"Conditions","Betingelser"
"Apply Rules","Bruk regler"
"Edit Rule","Endre regel"
"Edit Rule '%s'","Endre regel '%s'"
"Invoices","Fakturaer"
"Shipments","Forsendelser"
"From Date","Fra dato"
"Date From","Fra-dato"
"Gift Messages","Gavemeldinger"
"Order Gift Messages","Gavemeldinger for bestilling"
"General Information","Generell informasjon"
"Actions","Handlinger"
"ID","ID:"
"NOT LOGGED IN","IKKE LOGGET INN"
"Inactive","Inaktiv"
"Rule Information","Informasjon om regel"
"Yes","Ja"
"Promotions","Kampanjer og tilbud"
"Catalog","Katalog"
"Category","Kategori"
"Conditions Combination","Kombinasjon av betingelser"
"Comments History","Kommentarhistorikk"
"Credit Memos","Kreditnotaer"
"Order Credit Memos","Kreditnotaer for bestilling"
"Customer registered: %s","Kunde registrert: %s"
"Customer Groups","Kundegrupper"
"Customer is new buyer: %s","Kunden er en ny kjøper: %s"
"Unable to apply rules","Kunne ikke bruke reglene"
"Unable to find a page to delete","Kunne ikke finne en side å slette"
"Save and Apply","Lagre og bruk"
"Save Rule","Lagre regel"
"Add New Rule","Legg til ny regel"
"Name: %s","Navn: %s"
"No","Nei"
"Websites","Nettsteder"
"New Rule","Ny regel"
"Update product's %s %s: %s","Oppdater produktets %s %s: %s"
"Order Invoices","Ordrefakturaer"
"Order Shipments","Ordreforsendelser"
"Order History","Ordrehistorikk"
"Priority","Prioritet"
"Catalog Price Rule","Prisregel for varekatalog"
"Catalog Price Rules","Prisregler for varekatalog"
"Product Attribute","Produktattributt"
"Rule was successfully saved","Regelen ble lagret"
"Rule was successfully deleted","Regelen ble slettet"
"This rule no longer exists","Regelen eksisterer ikke"
"Rule Name","Regelnavn"
"Rules were successfully applied","Reglene har nå trådt i kraft."
"The page you are trying to save no longer exists","Siden eksisterer ikke lenger"
"Delete Rule","Slett regel"
"Start at: %s","Start den: %s"
"Date Start","Startdato"
"Status","Status:"
"Stop further rules processing","Stopp videre regelprosessering"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog"
"To Date","Til dato"
"Date To","Til-dato"
"Expire at: %s","Utløper: %s"
"Date Expire","Utløpsdato"
"Conditions (leave blank for all products)","Vilkår (blank for alle produkter)"
