"%s and greater","%s og høyere"
"Subscribe to Feed","Abonner på feed"
"All","Alle"
"Applies for ""Like"" Search type only","Applies for ""Like"" Søk kun basert på type"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attributt-innstillinger er endret. Kjør <a href=""%s"">Rebuild Search Index</a> prosess."
"Autogenerated site map","Automatisk generert sidekart"
"Catalog Advanced Search","Avansert katalogsøk"
"Advanced Search","Avansert søk"
"Apply Layered Navigation if search results are less than","Bruk Layered Navigation dersom søkeresultater er mindre enn"
"You have to specify at least one search term","Du må spesifisere minst ett søkeord"
"Modify your search","Endre ditt søk"
"No items were found using the following search criteria.","Fant ingen artikler basert på angitte søkekriterier."
"Don't see what you're looking for?","Finner ikke det du leter etter?"
"Go to Home Page","Gå til hovedside"
"Home","Hjem"
"There are no search terms available.","Ingen søkefraser tilgjengelig."
"Search Settings","Innstillinger for søk"
"Yes","Ja"
"Catalog Search","Katalogsøk"
"List","Liste"
"Maximum Query Words Count","Maks antall ord"
"Maximum Query Length","Maks lengde"
"Maximum Search query  length is %s. Your query was cut.","Maksimal lengde er %s. Søket ble automatisk justert."
"Minimal Query Length","Minimum søkelengde"
"No","Nei"
"Required Fields","Obligatoriske felt"
"Go","OK"
"up to %s","opp til %s"
"Popular search terms","Populære søkefraser"
"Popular Search Terms","Populære søkefraser"
"Relevance","Relevans"
"Results","Resultater"
"Grid","Rutenett"
"Search","Søk"
"Search Site","Søk i nettsted"
"Search entire store here...","Søk på varekode eller beskrivelse.."
"Search Terms","Søkefraser"
"Search results for '%s'","Søkeresultater for '%s'"
"Search results for: '%s'","Søkeresultater for: '%s'"
"Your search returns no results.","Søket ditt ga ingen treff."
"Search Type","Søketype"
"Please enter ""0"" to enable layered navigation for any number of results","Skriv ""0"" for å aktivere Layered navigation"
