"(eg: domain.com/identifier)","(f.eks.: domain.com/identifikator)"
"Enabled","Aktivert"
"All countries","Alle land"
"Poll Manager","Avstemninger"
"Manage Pages","Behandle sider"
"Description","Beskrivelse"
"Block was successfully saved","Blokken ble lagret"
"Block was successfully deleted","Blokken ble slettet"
"This block no longer exists","Blokken eksisterer ikke lenger"
"Block Information","Blokkinformasjon"
"Block Title","Blokktittel"
"Store View","Butikkvisning"
"Disabled","Deaktivert"
"Such a block identifier in selected store already exist.","En tilsvarende blokkidentifikator finnes allerede for denne butikken."
"Page Identifier for specified store already exist.","En tilsvarende sideidentifikator finnes allerede for denne butikken."
"Unable to find a block to delete","Fant ingen blokk for sletting"
"Go to Home Page","Gå til hovedside"
"General Information","Generell informasjon"
"Action","Handling"
"Home","Hjem"
"CMS Home Page","Hovedside"
"Identifier","Identifikator"
"Content","Innhold"
"Unable to find a page to delete","Kunne ikke finne en side å slette"
"Save Block","Lagre blokk"
"Save Page","Lagre side"
"Add New Block","Legg til ny blokk"
"Add New Page","Legg til ny side"
"Meta Description","Metabeskrivelse"
"Meta Data","Metadata"
"Meta Keywords","Metanøkkelord"
"Customer Tax Class Information","Momsklasse for kunde"
"Product Tax Class Information","Momsklasse for produkt"
"Keywords","Nøkkelord"
"New Block","Ny blokk"
"New Page","Ny side"
"Date Created","Opprettet"
"Edit Block","Rediger blokk"
"Edit Block '%s'","Rediger blokk '%s'"
"Edit Page","Rediger side"
"Edit Page '%s'","Rediger side '%s'"
"SEF URL Identifier","Søkemotorvennlig URL"
"Page Identifier cannot consist only of numbers.","Sideidentifikator kan ikke bare bestå av tall."
"Page Information","Sideinformasjon"
"Page was successfully saved","Siden ble lagret"
"Page was successfully deleted","Siden ble slettet"
"The page you are trying to save no longer exists","Siden eksisterer ikke lenger"
"This page no longer exists","Siden eksisterer ikke lenger"
"CMS No Route Page","Siden finnes ikke (CMS)"
"Layout","Sideoppsett"
"Page Status","Sidestatus"
"Page Title","Sidetittel"
"Last Modified","Sist endret"
"Delete Block","Slett blokk"
"Delete Page","Slett side"
"Static Blocks","Statiske blokker"
"Status","Status"
"CMS","Tekstsider"
"Custom Design","Tilpasset design"
"Custom Theme","Tilpasset tema"
"Custom Theme From","Tilpasset tema fra"
"Custom Theme To","Tilpasset tema til"
"Title","Tittel"
"Show breadcrumbs for CMS pages","Vis hurtignavigering for innholdssider"
"Layout Update XML","XML for oppdatering av sideoppsett"
