"* Select shipping method","* Velg leveringsmetode"
"Enable","Aktiver"
"Enable Digital Delivery","Aktiver digital levering"
"Enable Flat Rate","Aktiver flat sats"
"Enable Carrier Calculated","Aktiver fraktleverandør-kalkulasjon"
"Enable Merchant Calculated","Aktiver merchant kalkulering"
"Auto-generated from GoogleCheckout Charge","Automatisk generert fra Google Checkout-debitering"
"AVS Status: %s","AVS Status (adresseverifisering): %s"
"Amount: %s","Beløp: %s"
"Eligible for protection: %s","Berettiget til beskyttelse: %s"
"Checkout Image Style","Bildestil i kassen"
"CID Status: %s","CID (kunde-ID) Status: %s"
"Disable Default Tax Tables","Deaktiver standard momstabeller"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off"
"Google order status change:","Endring av ordrestatus fra Google:"
"Invoice auto-created: %s","Faktura autumatisk generert: %s"
"Debug","Feilsøking"
"Financial: %s -> %s","Finans: %s -> %s"
"Remove","Fjern"
"Carrier Calculated Methods","Fraktleverandør kalkulasjonsmetoder"
"Google API","Google API:"
"Google Authorization:","Google autorisering:"
"Google Checkout: %s","Google Checkout %s"
"Google Checkout Shipping - Flat Rate","Google Checkout forsendelse - fast takst"
"Google Checkout Shipping - Merchant Calculated","Google Checkout forsendelse - kalkulert av butikken"
"Google Checkout Shipping - Carrier Calculated","Google Checkout forsendelse - kalkulert av transportør"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital levering"
"Google Checkout","Google Checkout:"
"Google Charge:","Google debitering:"
"Google Buyer Id: %s","Google kjøper-ID: %s"
"Google Refund:","Google tilbakebetaling:"
"Free Shipping","Gratis frakt"
"White Background","Hvit bakgrunn"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout-button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Google Risk Information:","Informasjon om risiko fra Google:"
"No","Ingen"
"Fulfillment: %s -> %s","Innfrielse: %s -> %s"
"IP Address: %s","IP-adresse: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing emails: %s"
"Delivery Address Category","Kategori for Leveringsadresse"
"Buyer account age: %s days","Kjøperens konto har eksistert i: %s dager"
"CC Partial: xxxx-%s","Kredittkortnummer: xxxx-%s"
"Add","Legg til"
"Add Shipping Method","Legg til forsendelsesmetode"
"Small - %s","Liten: %s"
"Medium - %s","Medium: %s"
"Merchant ID","Merchant-ID"
"Merchant Key","Merchant-nøkkel"
"Method","Metode"
"New order status","Ny ordrestatus"
"Google Order Number: %s","Ordrenummer hos Google: %s"
"Delivery schedule","Planlegg levering"
"Cart Discount","Rabatt"
"Rate 1 Amount","Rate 1 beløp"
"Rate 1 Ship To Applicable Countries","Rate 1 ship To Applicable Country"
"Rate 1 Ship to Specific Countries","Rate 1 ship to Specific Country"
"Rate 1 Title","Rate 1 tittel"
"Rate 2 Amount","Rate 2 beløp"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Country"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Country"
"Rate 2 Title","Rate 2 tittel"
"Rate 3 Amount","Rate 3 beløp"
"Rate 3 Title","Rate 3 beløp"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Country"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Country"
"Required for live Google Checkout transactions.","Required for Google Checkout transactions."
"Secure Callback URL","Sikker Callback URL"
"Latest Charge: %s","Sist belastet: %s"
"Latest Refund: %s","Sist tilbakebetalt: %s"
"Hide Cart Contents During Checkout","Skjul innhold i handlekurv under betaling"
"Default Package Width (in)","Standard bredde"
"Default Package Height (in)","Standard høyde"
"Default Package Length (in)","Standard lengde"
"Default price for methods","Standardpris"
"Default price:","Standardpris:"
"Location","Sted"
"Large - %s","Stor: %s"
"Sandbox","Testmiljø"
"Allowed Methods","Tillatte metoder"
"Total Charged: %s","Totalt belastet: %s"
"Total Refunded: %s","Totalt tilbakebetalt: %s"
"Transparent","Transparent"
"United Kingdom","UK"
"Continue Shopping URL","URL til 'Fortsett å handle'"
"United States","US"
"Expiration: %s","Utløper: %s"
"Optional, leave empty for home page.","Valgfri, la stå tom for hovedsiden."
"Virtual item to reflect discount total","Virtuell vare som tilsvarer total rabatt"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to Google Checkout in a few seconds."
