" Copy"," Kopier"
"The subscription was successfully saved","Abonnementet ble lagret"
"Subscription Options","Abonnementsalternativer"
"Subscriber","Abonnent"
"Subscribers","Abonnenter"
"Subscribers From","Abonnenter fra"
"Sign up for our newsletter:","Abonner på vårt nyhetsbrev:"
"Subscribe","Abonnere"
"Cancelled","Avbrutt"
"Cancel","Avbryt"
"Unsubscribe","Avmeld"
"Sender","Avsender"
"Confirmation Email Sender","Avsender av bekreftelses-epost"
"Unsubscription Email Sender","Avsender av e-post ved stopping av abonnement"
"Success Email Sender","Avsender av suksess-epost"
"Sender Email","Avsenders e-post"
"Newsletter subscription confirmation","Bekreftelse på nyhetsbrevabonnement"
"Confirmation request has been sent","Bekreftelsesforespørsel ble sendt"
"Store","Butikk"
"Store View","Butikkvisning"
"Date Added","Dato lagt til"
"Date Updated","Dato oppdatert"
"There was an error while saving your subscription","Det oppstod en feil ved lagring av abonnementet"
"There was a problem with the subscription","Det oppstod et problem med abonnementet"
"There was a problem with the subscription: %s","Det oppstod et problem med abonnementet: %s"
"There was a problem with the un-subscription.","Det oppstod et problem ved avmelding av abonnement."
"Your subscription was successfully confirmed","Ditt abonnement ble bekreftet"
"You have been successfully unsubscribed.","Ditt nyhetsbrevabonnement ble stoppet."
"Duplicate of template code","Duplisert malkode"
"Email","E-post"
"Unsubscription Email Template","E-postmal for stopping av abonnement"
"Subject","Emne"
"Edit Template","Endre mal"
"Are you sure that you want to strip all tags?","Er du sikker på at du vil fjerne alle tagger?"
"Are you sure that you want to delete this template?","Er du sikker på at du vil slette denne malen?"
"Do you really want to cancel the queue?","Er du sikker på at køen skal avbrytes?"
"Error Text","Feilbeskrivelse"
"Error Code","Feilkode"
"Preview","Forhåndsvisning"
"Preview Template","Forhåndsvisning av mal"
"Newsletter Message Preview","Forhåndsvisning av nyhetsbrev"
"Resume","Fortsett"
"Guest","Gjest"
"Action","Handling"
"ID","ID:"
"Not activated","Ikke aktivert"
"Not Sent","Ikke sendt"
"Queue Information","Informasjon om kø"
"Template Information","Informasjon om mal"
"No subscribers selected","Ingen abonnenter valgt"
"No Templates Found","Ingen maler funnet"
"No problems found","Ingen problemer funnet"
"Queue Subject","Køemne"
"Queue Date Start","Køens startdato"
"Queue Finish","Køslutt"
"Queue Start","Køstart"
"Convert to Plain Text","Konverter til ren tekst"
"Customer","Kunde"
"Customer Lastname","Kundens etternavn"
"Customer Firstname","Kundens fornavn"
"Cannot save your subscription: %s","Kunne ikke lagre abonnementet: %s"
"Cannot mark as received subscriber","Kunne ikke markere som mottatt abonnent"
"Cannot delete subscriber","Kunne ikke slette abonnent"
"Cannot delete template","Kunne ikke slette mal"
"Create Newsletter Template","Lag nyhetsbrevmal"
"Save Template","Lagre mal"
"Save Newsletter","Lagre nyhetsbrev"
"Save And Resume","Lagre og fortsett"
"Save As","Lagre som"
"Add to Queue","Legg i kø"
"Queue Newsletter","Legg nyhetsbrev i kø"
"Add New Template","Legg til ny mal"
"Confirmation Email Template","Mal for bekreftelses-epost"
"Success Email Template","Mal for suksess-epost"
"Template Subject","Malemne"
"Template Content","Malinnhold"
"Template Name","Malnavn"
"Template Type","Maltype"
"Need to Confirm","Må bekreftes"
"Sign me up","Meld meg inn"
"Message","Melding"
"Recipients","Mottakere"
"Sender Name","Navn på avsender"
"Website","Nettsted"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscription","Newsletter Subscription"
"New Template","Ny mal"
"New Newsletter Template","Ny nyhetsbrevmal"
"Newsletter","Nyhetsbrev"
"Newsletter Subscriptions","Nyhetsbrevabonnement"
"Newsletter Subscribers","Nyhetsbrevabonnenter"
"Newsletter Queue","Nyhetsbrevkø"
"Newsletter Templates","Nyhetsbrevmaler"
"Paused","Pauset"
"Unsubscribed","Påmeld"
"Newsletter subscription success","Påmelding til nyhetsbrev vellykket"
"Subscribed","Påmeldt"
"Newsletter Problem Reports","Problemrapporter"
"Processed","Prosessert"
"Edit Queue","Rediger kø"
"Edit Newsletter","Rediger nyhetsbrev"
"Edit Newsletter Template","Rediger nyhetsbrevmal"
"Return Html Version","Returner HTML-versjon"
"Sending","Sender"
"Sending Options","Sendingsvalg"
"Sent","Sendt"
"Set Return-Path","Sett retursti"
"Form was filled incorrectly","Skjema er ikke korrekt utfyllt"
"Please enter a valid email address","Skriv en gyldig epost-adresse"
"Enter your email address","Skriv inn din e-post addresse"
"Please enter new template name","Skriv inn nytt malnavn"
"Toggle Editor","Slå av/på redigering"
"Delete Template","Slett mal"
"Delete Selected Problems","Slett valgte problemer"
"Start","Start:"
"Status","Status:"
"Unsubscribe Selected","Stopp abonnement for valgte"
"Newsletter unsubscription success","Stopping av nyhetsbrevabonnement vellykket"
"Thank you for your subscription","Takk for at du meldte deg på vårt nyhetsbrev"
"Back","Tilbake"
"Reset","Tilbakestill"
"Type","Type:"
"Invalid subscription ID","Ugyldig abonnement-ID"
"Invalid subscription confirmation code","Ugyldig abonnementbekreftelseskode"
"Invalid subscriber ID","Ugyldig abonnent-ID"
"Invalid queue selected","Ugyldig kø valgt"
"Selected problem subscribers successfully unsubscribed","Valgte abonnenter meldt av nyhetsbrev"
"Selected problems successfully deleted","Valgte problemer ble slettet"
"Please select subscriber(s)","Velg abonnent(er)"
"Pause","Venter"
"View Newsletter","Vis nyhetsbrev"
