"Enabled","Aktivert"
"TENDER","ANBUD"
"Voided transaction","Annullert transaksjon"
"API Login ID","API brukernavn/ID"
"Authorize.net","Authorize.net."
"Authorize Only","Bare godkjenn"
"Payment from Specific countries","Betaling fra spesifikke land"
"Payment from applicable countries","Betaling fra tillatte land"
"Payment Action","Betalingshandling"
"Use Proxy","Bruk Proxy"
"User","Bruker"
"Error in retrieving the transaction","En feil oppstod under henting av transaksjon"
"Error in payment gateway","Feil med betalingsformidler"
"Gateway request error: %s","Feil med betalingsformidler: %s"
"Error in authorizing the payment","Feil ved godkjenning av betaling"
"Error in capturing the payment","Feil ved innhenting av betaling"
"Error in refunding the payment","Feil ved tilbakebetaling"
"Error in refunding the payment.","Feil ved tilbakebetaling."
"Debug","Feilsøking"
"Authorize and Capture","Godkjenn og motta betaling"
"Payment authorization error.","Godkjenning av betaling feilet."
"Merchant Login","Innlogging for Merchant"
"Credit Card Types","Kredittkorttyper"
"Credit Card Verification","Kredittkortverifikasjon"
"Maximum Order Total","Maximum Order Total"
"Merchant's email","Merchant e-postadresse"
"Minimum Order Total","Minimum Order Total"
"New order status","Ny ordrestatus"
"Partner","Partner:"
"Password","Passord"
"Payflow Pro","Payflow Pro."
"Proxy Host","Proxy Host."
"Proxy Port","Proxy Port."
"Email customer","Send epost til kunde"
"Sort order","Sorteringsrekkefølge"
"Fraud order status","Status over falske ordre"
"Test mode","Testmodus"
"Title","Tittel"
"Payment authorization transaction has been declined.","Transaksjon for godkjenning av betaling ble nektet."
"Transaction key","Transaksjonsnøkkel"
"Invalid amount for authorization","Ugyldig beløp for godkjenning"
"Invalid amount for authorization.","Ugyldig beløp for godkjenning."
"Invalid transaction id","Ugyldig transaksjons-ID"
"URL","URL:"
"VERBOSITY","VERBOSITY:"
