"Number Of Uses","Antall anvendelser"
"Number of wishlist referrals: %s","Antall ønskelistehenvisninger: %s"
"Number of wishlists: %s","Antall ønskelister: %s"
"Number of Orders","Antall bestillinger"
"Quantity Ordered","Antall bestilt"
"Number of Ivoiced Orders","Antall fakturerte ordrer"
"Number of times wishlists have been shared (emailed): %s","Antall ganger en ønskeliste har blitt delt via e-post: %s"
"Number of times deleted","Antall ganger slettet"
"Number Fulfilled","Antall innfridd"
"Number of wishlist conversions: %s","Antall innfridde ønskelister: %s"
"Number Purchased","Antall kjøpt"
"Number Added","Antall lagt til"
"Number of New Accounts","Antall nye kontoer"
"Number of Reviews","Antall omtaler"
"Number Of Reviews","Antall omtaler"
"Number of Refunded Orders","Antall refunderte ordrer"
"Number of Unique Tags","Antall unike tagger"
"Number of Items","Antall varer"
"Number of items bought from a wishlist: %s","Antall varer kjøpt fra en ønskeliste: %s"
"Number of Views","Antall visninger"
"Number Viewed","Antall vist"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Wishlist vs. Regular Order","Ønskeliste vs. standard bestilling"
"Wishlists","Ønskelister"
"Wishlist Report","Ønskelisterapport"
"Year","År"
"Orders","Bestillinger"
"Items Ordered","Bestilte varer"
"Bestsellers","Bestselgere"
"CSV","CSV-format"
"Day","Dag"
"Subtotal","Delsum"
"Detail","Detalj"
"Tag Detail","Detaljer for tagg"
"Tag ""%s"" details","Detaljer for tagg ""%s"""
"Email","Epost"
"Last Name","Etternavn"
"Invoiced","Fakturert"
"First Name","Fornavn"
"Shipping","Forsendelse"
"Guest","Gjest"
"Shopping Cart","Handlekurv"
"Carts","Handlekurver"
"Action","Handling"
"ID","ID:"
"Bought from wishlists","Kjøpt fra ønskeliste"
"Customer","Kunde"
"Customer Name","Kundenavn"
"Customers Reviews","Kundeomtaler"
"Customers","Kunder"
"Customers by number of orders","Kunder etter antall bestillinger"
"Customers by orders total","Kunder etter ordretotal"
"Customers that have wishlist: %s%","Kunder som har ønskeliste: %s%"
"Customers Report","Kunderapport"
"Customers Tags","Kundetagger"
"Customer Tags","Kundetagger"
"Stock Qty","Lagerbeholdning"
"Low stock","Lav lagerbeholdning"
"Add to Wishlist","Legg i ønskelisten"
"Add to Cart","Legg i handlekurven"
"Add to Compare","Legg til sammenligning"
"Link","Link"
"Month","Måned"
"Most viewed","Mest vist"
"Most Viewed","Mest Vist"
"Tax","Moms"
"Tax Amount","Momsbeløp"
"Excel","MS Excel"
"Name","Navn"
"Downloads","Nedlastinger"
"New Accounts","Nye kontoer"
"Recently Compared Products","Nylig sammenlignede produkter"
"Default Recently Compared Products count","Nylig sammenlignede produkter"
"Your Recently Compared","Nylig sammenlignede produkter"
"Recently Viewed Products","Nylig viste produkter"
"Default Recently Viewed Products count","Nylig viste produkter"
"Your Recently Viewed","Nylig viste rapporter"
"Recently Viewed/Compared Products","Nylig viste/sammenlignede produkter"
"Revenue","Omsetning"
"Review","Omtale"
"Reviews for %s","Omtaler for %s"
"Updated at","Oppdatert på"
"Created at","Opprettet"
"Popularity","Popularitet"
"Popular Tags","Populære tagger"
"Price","Pris"
"Products Sold","Products Sold"
"Products","Produkter"
"Products in carts","Produkter i handlekurver"
"Product Name","Produktnavn"
"Reviews","Produktomtaler"
"Products Reviews","Produktomtaler"
"Product Reviews","Produktomtaler"
"Products Report","Produktrapport"
"Poducts Report","Produktrapport"
"Products Tags","Produkttagger"
"Product Tags","Produkttagger"
"Purchases","Purchases"
"Discounts","Rabatter"
"Applied Coupon","Rabattkode"
"Coupons","Rabattkoder"
"Rate","Rangering"
"Reports","Rapporter"
"Results","Resultater"
"Sales","Salg"
"Sales Report","Salgsrapport"
"Search Terms","Søkefraser"
"Submitted In","Sendt i"
"Submitted On","Sendt inn"
"Last Review","Siste omtale"
"Visible In","Synlig i"
"Tag","Tagg"
"Tag use","Taggbruk"
"Tags submited by %s","Tagger sendt inn av %s"
"Tags submitted to %s","Tagger sendt til %s"
"Tag Name","Taggnavn"
"Refunded","Tilbakebetalt"
"Offline Refunded","Tilbakebetalt offline"
"Online Refunded","Tilbakebetalt online"
"Title","Tittel"
"Total","Totalt"
"Number Of Historical Uses","Totalt antall anvendelser"
"Number of Total Tags","Totalt antall tagger"
"Total Tags","Totalt antall tagger"
"Total Invoiced","Totalt fakturert"
"Total invoiced","Totalt fakturert"
"Total Invoiced Captured","Totalt fakturert og bekreftet"
"Total Invoiced not Captured","Totalt fakturert, ikke bekreftet"
"Total Shipping","Totalt frakt"
"Total Refunded","Totalt tilbakebetalt"
"Total refunded","Totalt tilbakebetalt"
"Carrier/Method","Transportør/Metode"
"Hits","Treff"
"Abandoned carts","Ufullstendige handler"
"Invalid date specified","Ugyldig dato"
"Out of stock","Utsolgt"
"Quantity of Items","Vareantall"
"Product Sku","Varekode"
"Items in Cart","Varer i handlekurven"
"Show for Current","Vis for gjeldende"
