"Sitemap generate Warnings","Advarsler under generering av sidekart"
"Enabled","Aktivert"
"Never","Aldri"
"Always","Alltid"
"CMS Pages Options","Alternativer for innholdssider (CMS)"
"Yearly","Årlig"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Bare bruk A-Z, a-z, 0-9 eller andre normale tegn."
"Store View","Butikkvisning"
"Daily","Daglig"
"This sitemap no longer exists","Dette sidekartet eksisterer ikke lenger"
"Error Email Sender","Epost-avsender for feil"
"Error Email Template","Epost-mal for feil"
"Error Email Recipient","Epostm-ottaker for feil"
"Unable to find a sitemap to delete","Fant ikke sidekartet"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Filen ""%s"" kunne ikke lagres. Sjekk at katalogen ""%s"" er skrivbar for webserveren."
"Filename","Filnavn"
"Unable to find a sitemap to generate","Finner ingen sidekart som kan genereres"
"Generate","Generer"
"Google Sitemap","Google sidekart"
"Google Sitemap Section","Google Sidekart seksjon"
"Valid values range from 0.0 to 1.0","Gyldige verfier er fra 0.0 til 1.0"
"Action","Handling"
"Hourly","Hver time"
"Frequency","Hyppighet"
"ID","ID."
"Generation Settings","Innstillinger for opprettelse av sidekart"
"Categories Options","Kategorialternativer"
"Unable to generate a sitemap","Klarer ikke å generere sidekart"
"Add Sitemap","Legg til sidekart"
"Link for Google","Link til Google"
"Monthly","Månedlig"
"New Sitemap","Nytt sidekart"
"Please create the specified folder ""%s"" before saving the sitemap.","Opprett katalogen ""%s"" før du lagrer sidekartet."
"Priority","Prioritet"
"Priority must be between 0 and 1","Prioritet må være mellom 0 og 1"
"Products Options","Produktalternativer"
"Edit Sitemap","Rediger sidekart"
"Sitemap","Sidekart"
"Sitemap was successfully saved","Sidekart ble lagret"
"Sitemap was successfully deleted","Sidekart ble slettet"
"Sitemap ""%s"" has been successfully generated","Sidekartet ""%s"" er generert"
"Last Time Generated","Sist generert"
"Please make sure that ""%s"" is writable by web-server.","Sjekk at ""%s"" er skrivbar for webserveren."
"Start Time","Starttidspunkt"
"Path","Sti"
"Weekly","Ukentlig"
"Please define correct path","Vennligst definer korrekt sti"
