"%s tag(s) have been accepted for moderation","%s tagg(er) er litt akseptert for moderasjon"
"All Tags","Alle tagger"
"Other people marked this product with these tags:","Andre merket produktet med disse taggene:"
"# of Uses","Antall brukere"
"Uses","Anvendelser"
"Block Information","Blokkinformasjon"
"Use spaces to separate tags. Use single quotes (') for phrases.","Bruk mellomrom for å skille tagger. Omgi setninger med apostrof (')."
"CSV","CSV-format"
"Disabled","Deaktivert"
"You have not tagged any products yet.","Du har ikke tagget noen produkter ennå."
"Change status","Endre status"
"Edit Tag","Endre tagg"
"Edit Tag '%s'","Endre tagg '%s'"
"Email","Epost"
"Are you sure you want to delete this tag?","Er du sikker på at du vil slette taggen?"
"Are you sure that you want to delete this tag?","Er du sikker på at du vil slette taggen?"
"Are you sure?","Er du sikker?"
"Are you sure you want to do this?","Er du sikker?"
"Last Name","Etternavn"
"No matches found.","Fant ingen treff."
"Unable to find any products tagged with '%s' in the current store","Finner ingen produkter merket med '%s' i gjeldende butikk"
"First Name","Fornavn"
"General Information","Generell informasjon"
"Approved","Godkjent"
"Action","Handling"
"Actions","Handlinger"
"ID","ID"
"Tag Information","Informasjon om tagg"
"Click on a tag to view your corresponding products.","Klikk på en tagg for å vise tilsvarende produkter"
"Customer Since","Kunde siden"
"Customers","Kunder"
"Customers Tagged '%s'","Kunder som har brukt taggen '%s'"
"Unable to save tag(s)","Kunne ikke lagre tagg(er)"
"Unable to save your tag. Please, try again later.","Kunne ikke lagre taggen din. Vennligst prøv igjen senere."
"Unable to remove tag. Please, try again later.","Kunne ikke slette tagg. Vennligst prøv igjen senere."
"Save Tag","Lagre tagg"
"Country","Land"
"Add to Wishlist","Legg i ønskelisten"
"Add to Cart","Legg i handlekurven"
"Add New Tag","Legg til ny tagg"
"Add Tags","Legg til tagger"
"Add Your Tags:","Legg til tagger:"
"List","Liste"
"My Recent Tags","Mine siste tagger"
"My Tags","Mine tagger"
"Name","Navn"
"Tag Name: %s","Navn på tagg: %s"
"New Tag","Ny tagg"
"Popularity","Popularitet"
"Popular","Populære"
"Popular Tags","Populære tagger"
"ZIP/Post Code","Postnummer"
"Price","Pris"
"Products","Produkter"
"Products tagged with '%s'","Produkter tagget med '%s'"
"Products Tagged with '%s'","Produkter tagget med '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produkter tagget med '%s' (<a href='%s'>RSS</a>)"""
"Product Name","Produktnavn"
"Product Tags","Produkttagger"
"Grid","Rutenett"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Søkeresultater for '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Delete","Slett"
"Delete Tag","Slett taggen"
"Status","Status"
"Visible In","Synlig i"
"Tag","Tagg"
"Tag ""%s"" has already been added to the product","Taggen ""%s"" er allerede lagt til dette produktet"
"Your tag was successfully saved","Taggen ble lagret"
"Your tag was successfully deleted","Taggen ble slettet"
"Tag can't be empty.","Taggen kan ikke være tom."
"Tags","Tagger"
"Tags Aren't Available","Tagger er ikke tilgjengelig"
"Tags:","Tagger:"
"Tagged in","Tagget i"
"Tag Name","Taggnavn"
"Thank you. Your tag has been accepted for moderation.","Takk. Taggen er akseptert for moderering."
"Telephone","Telefon"
"Back","Tilbake"
"Back to Tags List","Tilbake til listen over tagger"
"Back to view Tag","Tilbake til visning av taggen"
"SKU","Varekode"
"Product SKU","Varekode"
"Pending","Ventende"
"Pending Tags","Ventende tagger"
"View All","Vis alle"
"View All Tags","Vis alle tagger"
"View Customers","Vis kunder"
"View Products","Vis produkter"
"XML","XML-format"
