"Tax Titles"," Mva-titler"
"-- Please Select --","-- Vennligst velg --"
"Manage Tax Zones & Rates","behandle moms-soner og rater"
"Manage Customer Tax Classes","Behandle momsklasser for kunder"
"Manage Product Tax Classes","Behandle momsklasser for produkter"
"Manage Tax Rules","Behandle momsregler"
"Manage Tax Rates","Behandle momssatser"
"CSV","CSV-type"
"This class no longer exists","Denne klassen eksisterer ikke lenger"
"You cannot delete this tax class as it is used for %d customer groups.","Du kan ikke slette denne momsklassen da den er i bruk i %d kundegrupper."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Du kan ikke slette denne momsklassen da den er i bruk i en eller flere momsregler. Du må først slette reglene før du kan slette klassen."
"You cannot delete this tax class as it is used for %d products.","Du kan ikke slette denne momsklassen da den er i bruk på %d produkter."
"Custom price if available","Egendefinert pris hvis tilgjengelig"
"Excluding tax","Eksklusive mva"
"Excl. Tax:","Eksl mva:"
"Incl. Tax","Eksl. mva"
"Excl. Tax","Eksl. mva"
"Export Tax Rates","Eksporter momssatser"
"Edit Tax Rate","Endre momssats"
"Edit Rule","Endre regel"
"Are you sure you want to do this?","Er du sikker?"
"One of the country has invalid code.","Et av landene har en ugyldig kode."
"Error while saving this tax class. Class with the same name ","Feil under lagring av denne momsklassen. Klasse med samme navn "
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Feil under lagring av momsregel"
"Error while saving this tax class. Please try again later.","Feil ved lagring av momsklasse"
"Error while saving this tax rule. Please try again later.","Feil ved lagring av momsregel"
"Error while saving this rate. Please try again later.","Feil ved lagring av sats. Prøv igjen senere."
"Error while deleting this class. Please try again later.","Feil ved sletting av klasse. Prøv igjen senere."
"Error while deleting this tax rule. Please try again later.","Feil ved sletting av momsregel. Prøv igjen senere."
"Error while deleting this rate. Incorrect rate ID","Feil ved sletting av momssats. Feil sats-ID"
"Error while deleting this rate. Please try again later.","Feil ved sletting av momssats. Prøv igjen senere."
"Shipping prices include tax","Fraktpriser inkludert mva"
"County","Fylke"
"State/Region","Fylke/Region"
"Import Tax Rates","Importer momssatser"
"Import / Export Tax Rates","Importere / eksportere momssatser"
"Tax Rule Information","Informasjon om momsregel"
"Tax Rate Information","Informasjon om momssats"
"None","Ingen"
"Incl. Tax:","Inkl mva"
"Inc. Tax","Inkl. moms"
"Including tax","Inkludert mva"
"Including and excluding tax","Inkludert og ekskludert mva"
"Calculation","Kalkulering"
"Catalog prices include tax","Katalogpriser er inkludert moms"
"Code","Kode"
"Original price only","Kun orginalpris"
"Rate","Kurs"
"Save Class","Lagre klasse"
"Save Rate","Lagre momssats"
"Save Rule","Lagre regel"
"Country","Land"
"Country/Region/Postal code combination","Land/Region/Postkode (kombinasjon)"
"Apply Tax After Discount","Legg til moms etter rabatt er lagt til"
"Apply Tax On","Legg til moms på"
"Add New Class","Legg til ny klasse"
"Add New Tax Rule","Legg til ny momsregel"
"Add New Tax Rate","Legg til ny momssats"
"Apply Discount On Prices Including Tax","Legg til rabatt på priser inkl moms"
"Tax","Moms"
"Tax Based On","Moms basert på"
"Tax Section","Moms-seksjon"
"Tax Identifier","Momsidentifikasjon"
"Tax class was successfully saved","Momsklasse ble lagret"
"Tax class was successfully deleted","Momsklasse ble slettet"
"Tax Class for Shipping","Momsklasse for frakt"
"Customer Tax Class Information","Momsklasse for kunde"
"Customer Tax Class","Momsklasse for kunde"
"Product Tax Classes","Momsklasse for produkt"
"Product Tax Class Information","Momsklasse for produkt"
"Product Tax Class","Momsklasse for produkt"
"Tax Classes","Momsklasser"
"Customer Tax Classes","Momsklasser for kunde"
"Tax rates at the same priority are added, others are compounded.","Momsklasser med samme prioritet legges til."
"Tax rule was successfully saved","Momsregel ble lagret"
"Tax rule was successfully deleted","Momsregel ble slettet"
"Tax Rules","Momsregler"
"Tax Rate","Momssats"
"Tax rate was successfully imported","Momssats ble importert"
"Tax rate was successfully saved","Momssats ble lagret"
"Tax rate was successfully deleted","Momssats ble slettet"
"Name","Navn"
"Class Name","Navn på klasse"
"New Class","Ny klasse"
"New Tax Rate","Ny momssats"
"New Rule","Ny regel"
"Ignored when 'Apply Tax After Discount' option is enabled","Overse dersom 'Legg til moms etter rabatt' er Aktivert"
"Zip/Post Code","Postnummer"
"Priority","Prioritet"
"Edit Class","Rediger klasse"
"Edit Class '%s'","Rediger klasse '%s'"
"This rule no longer exists","Regelen eksisterer ikke"
"Sales","Salg"
"Delete Class","Slett klasse"
"Delete Rule","Slett regel"
"Delete Rate","Slett sats"
"Sort Order","Sorteringsrekkefølge"
"Default State","Standard fylke"
"Default Country","Standard land"
"Default Tax Origin Calculation","Standard opprinnelse for momskalkulasjon"
"Default Post Code","Standard postkode"
"State","Stat"
"Back","Tilbake"
"Reset","Tilbakestill"
"Invalid data for tax rate calculation","Ugyldig data for å beregne momssats"
"Invalid file format upload attempt","Ugyldig filformat for opplasting"
"Invalid file upload attempt","Ugyldig filopplasting"
"Incorrect rate Data","Ukorrekt momssats-data"
"Please select County","Velg fylke"
"Please select State","Velg kommune"
"Please select Country","Velg land"
"Display","Vis"
"Display Shipping Prices","Vis fraktkostnader"
"Display full tax summary","Vis fullt moms-sammendrag"
"Display Cart/Order Prices","Vis Handlekurv/Ordrepris"
"Display Product Prices","Vis produktpriser"
"Display Zero Tax Subtotal","Vis subtotal dersom ingen moms"
"XML","XML-format"
